CBS	Naam	Prov	Beschermd wonen	Participatie	armoedebestrijding kinderen	beeldende kunst en vormgeving	bodembescherming	BRP: Centralisering Inschrijving Vergunninghouders	extra capaciteit BOA's	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	LHBTI-beleid	maatschappelijke opvang	Nationaal Actieplan Dakloosheid	openbare bibliotheken	personen met verward gedrag	regionale doelgroepen specifieke aanpak	Regionale Energie Strategieën	toekomstbestendig maken energiebeleid	Uitstapprogramma prostituees	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	voorschoolse voorziening peuters	vrouwenopvang	 Wet betaalbare huur 	Wet kwaliteitsborging bouw
638	Zoeterwoude	8	0	29603	20.856	 - 	 - 	 - 	29.988	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	52.048	 - 	 - 	15.153	 - 	22.663	7.801
1892	Zuidplas	8	0	2013135	147.385	 - 	 - 	 - 	36.724	 - 	 - 	 - 	 - 	 - 	141.137	 - 	 - 	265.721	 - 	 - 	7.062	 - 	 - 	138.146	 - 	 - 	81.552	 - 	31.263	21.062
642	Zwijndrecht	8	0	3633969	331.790	 - 	 - 	 - 	36.670	 - 	18.958	 - 	 - 	 - 	132.378	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	197.490	 - 	 - 	74.358	 - 	38.103	24.111
654	Borsele	9	0	1837993	62.569	 - 	 - 	 - 	32.587	 - 	134.038	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	331.744	 - 	 - 	48.131	 - 	21.079	18.103
664	Goes	9	0	6392108	157.205	 - 	 - 	 - 	35.521	816	86.036	20.000	 - 	 - 	117.062	 - 	136.659	 - 	370.500	 - 	7.062	 - 	 - 	186.302	 - 	400.077	62.165	 - 	40.160	21.931
677	Hulst	9	0	4209981	83.136	 - 	 - 	 - 	33.471	714	183.131	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	156.630	 - 	 - 	46.365	 - 	32.199	18.029
678	Kapelle	9	0	460877	39.106	 - 	 - 	 - 	30.739	 - 	34.069	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	81.720	 - 	 - 	21.513	 - 	21.829	9.554
687	Middelburg	9	0	5758688	255.491	150.000	 - 	 - 	37.449	21.076	47.544	20.000	 - 	 - 	147.512	210.021	 - 	 - 	 - 	 - 	7.062	 - 	161.700	176.087	 - 	 - 	83.432	 - 	53.641	26.114
1695	Noord-Beveland	9	0	566566	23.898	 - 	 - 	 - 	29.753	 - 	85.816	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	59.831	 - 	 - 	18.318	 - 	21.866	9.358
703	Reimerswaal	9	0	1368182	79.776	 - 	 - 	 - 	32.601	 - 	98.533	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	106.528	 - 	 - 	48.972	 - 	23.085	13.637
1676	Schouwen-Duiveland	9	0	4478144	105.151	 - 	 - 	 - 	34.678	2.550	245.819	 - 	 - 	 - 	102.161	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	133.281	 - 	 - 	64.233	 - 	31.340	23.961
1714	Sluis	9	0	2025652	67.667	 - 	 - 	 - 	32.651	578	260.021	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	76.369	 - 	 - 	47.020	 - 	34.905	21.570
715	Terneuzen	9	0	9290955	233.910	 - 	 - 	 - 	38.472	2.346	240.001	 - 	 - 	 - 	162.639	 - 	 - 	376.059	 - 	 - 	7.062	 - 	 - 	423.192	 - 	 - 	96.253	 - 	53.603	33.386
716	Tholen	9	0	2315511	79.660	 - 	 - 	 - 	33.194	4.045	150.213	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	35.509	 - 	 - 	50.672	 - 	22.991	15.708
717	Veere	9	0	1283230	37.281	 - 	 - 	 - 	32.426	 - 	140.748	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	44.751	 - 	 - 	39.334	 - 	28.899	16.995
718	Vlissingen	9	40487660	7866053	279.128	 - 	 - 	 - 	36.593	306	34.892	 - 	7.023.440	998.515	133.898	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	308.395	 - 	 - 	78.661	4.296.201	58.634	28.428
1723	Alphen-Chaam	10	0	491370	22.421	 - 	 - 	 - 	30.272	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	 - 	 - 	 - 	21.230	 - 	21.858	11.181
1959	Altena	10	0	3472043	157.929	 - 	 - 	 - 	38.823	 - 	 - 	 - 	 - 	 - 	171.917	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	432.434	 - 	 - 	101.467	 - 	34.807	25.871
743	Asten	10	0	1619542	39.975	 - 	 - 	 - 	31.471	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	32.591	 - 	 - 	23.291	 - 	22.591	13.912
744	Baarle-Nassau	10	0	26912	21.030	 - 	 - 	 - 	29.626	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	29.186	 - 	 - 	12.907	 - 	21.687	10.304
1724	Bergeijk	10	0	2197610	39.859	 - 	 - 	 - 	31.831	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	16.052	 - 	 - 	30.794	 - 	24.287	14.202
748	Bergen op Zoom	10	14661056	11679858	399.921	 - 	 - 	 - 	40.899	 - 	 - 	 - 	3.064.527	435.833	205.597	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	130.849	 - 	 - 	115.633	 - 	57.809	36.399
1721	Bernheze	10	0	4794084	76.908	 - 	 - 	 - 	34.193	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	57.398	 - 	 - 	48.019	 - 	31.211	20.443
753	Best	10	0	3548928	89.219	 - 	 - 	 - 	33.962	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	27.240	 - 	 - 	42.545	 - 	31.934	17.469
1728	Bladel	10	0	5441328	43.943	 - 	 - 	 - 	32.161	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	81.720	 - 	 - 	31.928	 - 	28.752	15.866
755	Boekel	10	0	1327979	24.332	 - 	 - 	 - 	30.381	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	 - 	 - 	 - 	19.993	 - 	20.919	10.710
757	Boxtel	10	0	8839076	124.762	 - 	 - 	 - 	34.475	10.504	 - 	 - 	 - 	 - 	100.238	 - 	 - 	 - 	370.500	 - 	7.062	 - 	 - 	41.833	 - 	 - 	48.428	 - 	31.846	18.320
758	Breda	10	36793369	24147213	841.207	150.000	381.937	 - 	62.586	28.045	 - 	20.000	6.238.706	886.205	554.830	 - 	136.659	490.082	370.500	 - 	7.062	25.000	 - 	319.097	 - 	400.077	287.612	7.963.113	191.893	91.152
1706	Cranendonck	10	0	2170920	57.123	 - 	 - 	785.055	32.249	71.828	 - 	 - 	 - 	 - 	100.000	 - 	 - 	574.671	370.500	 - 	7.062	 - 	 - 	100.204	 - 	 - 	34.051	 - 	26.365	14.078
762	Deurne	10	0	4144039	99.126	 - 	 - 	 - 	34.376	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	65.668	 - 	 - 	47.296	 - 	46.961	23.908
766	Dongen	10	0	1533891	78.965	 - 	 - 	 - 	33.247	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	40.860	 - 	 - 	37.424	 - 	29.400	15.559
1719	Drimmelen	10	0	1446281	61.266	 - 	 - 	 - 	33.425	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	76.369	 - 	 - 	37.436	 - 	23.033	15.609
770	Eersel	10	0	2673129	39.540	 - 	 - 	 - 	31.975	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	94.853	 - 	 - 	33.382	 - 	25.660	14.416
772	Eindhoven	10	52184283	36304076	1.309.896	550.226	329.226	 - 	72.176	22.878	 - 	20.000	11.652.759	1.658.332	726.930	415.042	136.659	 - 	 - 	 - 	7.062	30.000	319.550	304.017	3.206	400.077	366.659	7.411.221	293.712	129.130
777	Etten-Leur	10	0	6087601	172.355	 - 	 - 	 - 	36.502	680	 - 	 - 	 - 	 - 	133.449	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	98.258	 - 	 - 	68.991	 - 	36.881	25.264
779	Geertruidenberg	10	0	2179339	98.488	 - 	 - 	 - 	32.392	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	176.573	 - 	 - 	31.117	 - 	25.801	13.917
1771	Geldrop-Mierlo	10	0	1928581	156.481	 - 	 - 	 - 	35.794	1.666	 - 	 - 	 - 	 - 	120.162	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	90.962	 - 	 - 	57.088	 - 	34.646	20.122
1652	Gemert-Bakel	10	0	4625508	105.846	 - 	 - 	 - 	34.064	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	110.419	 - 	 - 	52.593	 - 	33.340	22.018
784	Gilze en Rijen	10	0	1974968	107.555	 - 	 - 	636.291	33.313	118.365	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	 - 	 - 	 - 	43.327	 - 	25.442	16.615
785	Goirle	10	0	2493822	62.627	 - 	 - 	 - 	32.798	5.099	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	58.371	 - 	 - 	36.507	 - 	22.582	13.759
