CBS	Naam	Prov	Beschermd wonen	Participatie	armoedebestrijding kinderen	beeldende kunst en vormgeving	bodembescherming	BRP: Centralisering Inschrijving Vergunninghouders	extra capaciteit BOA's	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	LHBTI-beleid	maatschappelijke opvang	Nationaal Actieplan Dakloosheid	openbare bibliotheken	personen met verward gedrag	regionale doelgroepen specifieke aanpak	Regionale Energie Strategieën	toekomstbestendig maken energiebeleid	Uitstapprogramma prostituees	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	voorschoolse voorziening peuters	vrouwenopvang	 Wet betaalbare huur 	Wet kwaliteitsborging bouw
1711	Echt-Susteren	11	0	3377948	107.932	 - 	 - 	 - 	34.248	21.382	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	161.008	 - 	 - 	45.729	 - 	35.668	19.278
1903	Eijsden-Margraten	11	0	1617145	47.332	 - 	 - 	 - 	33.160	32.396	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	 - 	 - 	 - 	50.007	 - 	32.804	14.358
907	Gennep	11	0	5157594	52.923	 - 	 - 	 - 	31.511	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	28.213	 - 	 - 	26.594	 - 	24.421	13.638
1729	Gulpen-Wittem	11	0	1891492	34.123	 - 	 - 	 - 	30.985	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	 - 	 - 	 - 	32.500	 - 	29.279	10.039
917	Heerlen	11	34418812	28509439	799.320	150.000	317.129	 - 	44.511	43.478	 - 	20.000	5.796.185	835.140	258.010	 - 	136.659	454.883	 - 	 - 	7.062	 - 	 - 	207.705	 - 	400.077	157.765	3.103.086	107.589	46.726
1507	Horst aan de Maas	11	0	4053985	87.597	 - 	 - 	 - 	36.245	12.884	 - 	 - 	 - 	 - 	129.555	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	162.953	 - 	 - 	67.682	 - 	43.245	29.932
928	Kerkrade	11	0	18523510	330.313	 - 	 - 	 - 	36.794	 - 	 - 	 - 	 - 	 - 	133.667	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	152.252	 - 	 - 	69.825	 - 	63.414	26.575
882	Landgraaf	11	0	10181819	224.641	 - 	 - 	 - 	35.273	4.793	 - 	 - 	 - 	 - 	109.480	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	75.396	 - 	 - 	55.612	 - 	34.327	19.623
1640	Leudal	11	0	3177914	76.647	 - 	 - 	 - 	35.047	35.897	 - 	 - 	 - 	 - 	106.218	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	104.582	 - 	 - 	54.601	 - 	34.671	24.372
1641	Maasgouw	11	0	2322762	51.620	 - 	 - 	 - 	32.797	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	523.396	 - 	 - 	34.029	 - 	28.776	14.049
935	Maastricht	11	24944640	19542046	629.631	324.169	358.855	 - 	50.702	61.936	 - 	20.000	6.022.367	865.197	369.591	337.034	 - 	 - 	370.500	 - 	7.062	30.000	259.490	368.226	 - 	 - 	159.802	4.138.244	229.262	69.873
938	Meerssen	11	0	1996052	43.683	 - 	 - 	 - 	31.814	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	29.672	 - 	 - 	27.449	 - 	23.800	10.816
944	Mook en Middelaar	11	0	635831	12.861	 - 	 - 	 - 	29.814	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	41.833	 - 	 - 	12.488	 - 	20.059	6.678
946	Nederweert	11	0	2682879	34.876	 - 	 - 	 - 	31.536	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	86.584	 - 	 - 	27.612	 - 	24.866	15.754
1894	Peel en Maas	11	0	6376946	122.184	 - 	 - 	 - 	36.463	 - 	 - 	 - 	 - 	 - 	134.325	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	147.874	 - 	 - 	70.046	 - 	38.899	28.804
1669	Roerdalen	11	0	2876382	72.997	 - 	 - 	 - 	32.170	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	84.638	 - 	 - 	33.444	 - 	35.307	12.765
957	Roermond	11	0	11286649	359.657	 - 	 - 	 - 	39.272	7.513	 - 	20.000	 - 	 - 	179.192	 - 	136.659	 - 	 - 	 - 	7.062	 - 	 - 	239.323	 - 	400.077	99.806	 - 	70.122	32.915
965	Simpelveld	11	0	2203755	40.786	 - 	 - 	 - 	30.291	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	13.620	 - 	 - 	14.351	 - 	23.379	7.867
1883	Sittard-Geleen	11	0	13905662	485.432	150.000	 - 	 - 	45.405	10.368	 - 	20.000	 - 	 - 	273.318	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	213.055	 - 	 - 	134.586	 - 	89.099	51.804
971	Stein	11	0	2644396	79.254	 - 	 - 	 - 	32.969	1.904	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	149.333	 - 	 - 	29.601	 - 	26.078	13.212
981	Vaals	11	0	1599278	38.874	 - 	 - 	 - 	30.218	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	29.186	 - 	 - 	18.172	 - 	34.102	8.816
994	Valkenburg aan de Geul	11	0	1537322	48.057	 - 	 - 	 - 	31.387	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	31.618	 - 	 - 	23.989	 - 	37.510	10.991
983	Venlo	11	52591593	14628329	587.454	150.000	357.742	 - 	47.310	2.957	 - 	20.000	8.221.345	1.171.172	306.178	278.028	136.659	428.487	370.500	 - 	7.062	 - 	214.060	347.796	 - 	400.077	165.735	5.212.170	96.333	61.462
984	Venray	11	0	10456652	184.666	 - 	 - 	 - 	36.473	306	 - 	 - 	 - 	 - 	131.753	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	379.900	 - 	 - 	72.676	 - 	38.678	33.844
986	Voerendaal	11	0	947569	45.189	 - 	 - 	 - 	30.661	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	16.052	 - 	 - 	19.741	 - 	22.053	8.498
988	Weert	11	0	8025138	206.478	 - 	 - 	 - 	37.644	 - 	 - 	 - 	 - 	 - 	150.683	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	229.108	 - 	 - 	72.831	 - 	46.737	30.235
34	Almere	12	50326673	10241235	1.361.689	150.000	 - 	 - 	68.275	45.959	 - 	20.000	8.576.778	1.225.661	668.175	267.027	136.659	 - 	370.500	138.766	7.062	30.000	205.590	206.245	 - 	400.077	396.728	6.025.224	126.066	80.167
303	Dronten	12	0	1956310	164.244	 - 	 - 	 - 	36.156	132.234	 - 	 - 	 - 	 - 	130.844	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	124.039	 - 	 - 	72.716	 - 	33.064	25.404
995	Lelystad	12	0	7064520	585.485	150.000	 - 	 - 	43.186	 - 	 - 	20.000	 - 	 - 	248.036	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	322.502	 - 	 - 	148.526	 - 	61.942	37.874
171	Noordoostpolder	12	0	5870005	234.634	 - 	 - 	 - 	37.192	100.009	 - 	 - 	 - 	 - 	147.603	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	385.737	 - 	 - 	91.528	 - 	41.795	34.112
184	Urk	12	0	1784528	53.184	 - 	 - 	 - 	32.291	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	46.211	 - 	 - 	44.916	 - 	26.292	9.682
50	Zeewolde	12	0	478825	87.133	 - 	 - 	 - 	32.598	25.971	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	93.881	 - 	 - 	39.899	 - 	23.552	17.155
