CBS	Naam	Prov	herindeling	suppletie bommenregeling	Suppletie nieuwe verdeling GF	suppletie-uitkering ingroeipad decentralisatie-uitkering maatschappelijke opvang	ART.12	Beschermd wonen	Participatie	100 jaar vriendschap Turkije-Nederland	aanpak laaggeletterdheid	aanpak recreatieparken	alleenverdieners	armoedebestrijding kinderen	bed, bad en brood	beeldende kunst en vormgeving	begeleiding jongeren naar werk	behoud sociale voorzieningen Groningen	bodembescherming	BRP: Centralisering Inschrijving Vergunninghouders	dakloze EU burgers	einde lening inburgeringsplichtig	Ex Ante Impact Analyse NPLV	experiment gesloten coffeeshopketen	extra capaciteit BOA's	faciliteitenbesluit opvangcentra	gemeentelijke antidiscriminatie voorzieningen	jeugd	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	landelijke aanpak adreskwaliteit	LHBTI-beleid	maatschappelijke begeleiding	maatschappelijke opvang	Nationaal Actieplan Dakloosheid	Nederlands-Soedanese repatrianten	outreachend werken	personen met verward gedrag	regionale doelgroepen specifieke aanpak	Regionale Energie Strategieën	slavernijverleden	social labs	toekomstbestendig maken energiebeleid	Uitstapprogramma prostituees	uitvoeringskosten Lbv en Lbv-plus	uitvoeringskosten Omgevingswet	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	versterking omgevingsveiligheidsdiensten	voorschoolse voorziening peuters	vrouwenopvang	weerbare gemeenschappen tegen ondermijnende criminaliteit	Wet betaalbare huur	Wet kwaliteitsborging bouw	work in Nederland
106	Assen	3	0	0	3803444	0	0	40249453	19789952	0	0	0	57280	349949	13560	150000	0	0	0	0	0	9515	0	0	41145	959392	9743	0	99363	0	5816	20000	2370	4591866	660349	0	0	257026	0	0	0	0	0	168872	0	242155	7062	30000	197890	217433	0	0	16000	117583	0	0	60570	34030	0
1681	Borger-Odoorn	3	0	0	-453906	0	0	0	5500830	0	0	0	31780	92735	0	0	0	0	0	0	0	1020	0	0	33104	0	3638	0	1768	0	2909	0	4740	0	0	0	0	0	0	0	0	0	0	0	0	240028	7062	0	0	74423	0	0	4000	66636	0	0	21887	17237	0
109	Coevorden	3	0	0	0	0	0	0	4731968	0	0	0	76780	179145	0	0	0	0	0	0	0	9175	0	0	34911	0	5011	0	32328	0	2409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274916	7062	0	0	189220	0	0	18000	74072	0	0	23891	24302	0
1690	De Wolden	3	0	0	-423938	0	0	0	1063355	0	0	0	9280	74826	0	0	0	0	0	0	0	3738	0	0	32876	0	3453	0	9654	0	2863	0	0	0	0	0	0	0	0	0	0	0	0	0	13028	209962	7062	0	0	128903	0	0	7000	50026	0	0	22647	18364	0
114	Emmen	3	0	0	-2024630	0	0	16003057	26830658	0	149573	0	159280	623547	259887	150000	266701	0	476125	0	0	13253	0	0	48247	204956	15266	82888	148211	0	7997	20000	0	3171268	457217	0	0	0	136659	0	0	0	370500	0	0	472309	7062	0	0	810875	0	400077	25000	199059	5035351	0	61891	52992	0
118	Hoogeveen	3	0	0	-1604755	0	0	0	20535462	0	0	0	76780	288508	0	0	0	0	0	0	0	4417	0	0	38684	417559	7921	0	34571	0	3772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235229	7062	0	0	177060	0	0	21000	101966	0	0	31061	29752	0
119	Meppel	3	0	0	1499855	0	0	0	8176103	0	0	0	51280	146108	0	0	0	0	0	0	0	4078	0	0	34738	0	4978	0	0	0	3681	0	0	0	0	0	0	0	0	0	0	0	0	0	6514	146344	7062	0	0	218893	0	0	9000	57894	0	0	28596	19365	0
1731	Midden-Drenthe	3	0	16954	0	0	0	0	185116	0	0	0	24280	106037	0	0	0	0	0	0	0	2039	0	0	34551	0	4770	0	4793	0	2590	0	2370	0	0	0	0	0	0	0	0	0	0	0	13028	294436	7062	0	0	122093	0	0	11000	70744	0	0	23861	23848	0
1699	Noordenveld	3	0	0	0	0	0	0	3463424	0	0	0	19780	110944	0	0	0	0	0	0	0	2718	0	0	34148	0	4434	0	13767	0	2136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213353	7062	0	0	125985	0	0	6000	57614	0	0	25894	19428	0
1730	Tynaarlo	3	0	0	3441092	0	0	0	182742	0	0	0	19780	98241	0	0	0	0	0	0	0	2039	0	0	34662	20322	4855	0	42322	0	3136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190176	7062	0	0	50589	0	0	8000	68166	0	0	24566	18484	0
1701	Westerveld	3	0	0	-276538	0	0	0	3208104	0	0	0	9280	49011	0	0	0	0	0	0	0	680	0	0	31999	0	2788	0	16317	0	2590	0	0	0	0	0	0	0	0	0	0	0	0	0	19542	227326	7062	0	0	39887	0	0	3000	47689	0	0	21998	15402	0
141	Almelo	4	0	0	0	0	0	14916097	12903890	0	0	0	127780	496548	58757	0	0	0	343916	0	0	8495	0	0	41944	0	10379	296468	39160	0	6543	0	7110	3004614	431116	0	0	0	0	0	0	0	0	0	0	245264	7062	30000	0	256348	2404	0	17000	132381	0	0	58171	39780	0
147	Borne	4	0	0	0	0	0	0	2974981	0	0	0	16780	68038	56497	0	0	0	0	0	0	5097	0	0	32745	0	3442	0	0	0	2272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104285	7062	0	0	0	0	0	4000	38198	0	0	23639	13026	0
148	Dalfsen	4	0	0	-127683	0	0	0	3259722	0	0	0	9280	67547	0	0	0	0	0	0	0	4418	0	0	33718	0	4156	0	2516	0	1863	0	7110	0	0	0	0	0	0	0	0	0	0	0	0	190494	7062	0	0	48643	0	0	5000	49938	0	0	23693	20472	0
150	Deventer	4	0	250024	0	0	0	19781349	18941406	50000	0	0	136780	544305	42938	150000	0	0	327498	0	0	14272	0	0	47170	367019	14426	235941	50990	0	13222	20000	26070	3820455	549295	0	0	0	0	0	0	0	0	0	0	348459	7062	0	0	258780	0	0	27000	173806	0	0	71777	49999	0
1774	Dinkelland	4	0	49057	-256847	0	0	0	2282791	0	0	0	12280	68147	0	0	0	0	0	0	0	3398	0	0	33291	0	3754	0	0	0	2136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189277	7062	0	0	63236	0	0	5000	42021	0	0	27208	19281	0
153	Enschede	4	0	389320	-3419822	0	0	38424274	28256033	0	227505	0	315280	1176902	38418	404571	567020	0	400083	0	0	24126	0	0	58049	0	22631	793023	12340	0	49208	20000	4740	8992912	1291071	0	0	360036	136659	0	0	0	370500	216359	0	494744	7062	30000	277200	330285	6412	400077	28000	285440	7255262	0	98288	83184	0
158	Haaksbergen	4	0	0	-2275180	0	0	0	2557871	0	0	0	36280	71963	0	0	0	0	0	0	0	3398	0	0	32849	0	3439	0	918	0	2136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146139	7062	0	0	40860	0	0	4000	36443	0	0	24045	17055	0
160	Hardenberg	4	0	0	0	0	0	0	9857022	0	0	0	19780	197327	0	0	0	0	0	0	0	7815	0	0	39754	316169	8774	0	51602	0	3817	0	0	0	0	0	0	0	0	0	0	0	0	0	6514	347924	7062	0	0	261698	0	0	17000	115711	0	0	30174	37111	0
163	Hellendoorn	4	0	0	-1814803	0	0	0	4056160	0	0	0	19780	106446	0	0	0	0	0	0	0	4078	0	0	35025	0	5090	0	3739	0	2954	0	0	0	0	0	0	0	0	0	0	0	0	0	6514	192113	7062	0	0	148847	0	0	6000	56411	0	0	24516	21063	0
164	Hengelo	4	0	0	-3322559	0	0	0	14427537	0	0	0	111280	424748	24859	0	0	0	361198	0	0	14611	0	0	43416	0	11553	74792	42798	0	8315	20000	11850	0	0	0	0	0	0	0	0	0	0	0	0	262058	7062	30000	0	231540	0	0	19000	129634	0	0	65404	42144	0
1735	Hof van Twente	4	0	0	-1390602	0	0	0	2976402	0	0	0	19780	108190	0	0	0	0	0	0	0	5437	0	0	34860	0	4976	0	10402	0	3635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229578	7062	0	0	133768	0	0	7000	52254	0	0	27765	25723	0
166	Kampen	4	0	12778	-2754544	0	0	0	6109945	0	0	0	63280	216326	0	0	0	0	0	0	0	5777	0	0	38474	0	7806	0	11184	0	5362	0	0	0	0	65640	0	0	0	0	0	0	0	0	0	240063	7062	0	0	251483	0	0	13000	99659	0	0	32632	28234	0
168	Losser	4	0	0	970968	0	0	0	3316999	0	0	0	24280	94997	0	0	0	0	0	0	0	2718	0	0	32600	0	3279	0	0	0	4226	0	7110	0	0	0	0	0	0	0	0	0	0	0	0	140180	7062	0	0	84638	0	0	3000	36565	0	0	24092	14410	0
173	Oldenzaal	4	0	0	-1234832	0	0	0	7132688	0	0	0	36280	135204	0	0	0	0	0	0	0	4078	0	0	34239	0	4481	0	0	0	2182	0	7110	0	0	0	0	0	0	0	0	0	0	0	0	119769	7062	0	0	71505	0	0	5000	46795	0	0	25384	17719	0
1773	Olst-Wijhe	4	0	0	1186766	0	0	0	2287571	0	0	0	9280	58389	0	0	0	0	0	0	0	2378	0	0	31758	0	2622	0	14889	0	3272	0	0	0	0	0	0	0	0	0	0	0	0	0	19542	136838	7062	0	0	25294	0	0	5000	31070	0	0	23209	13348	0
175	Ommen	4	0	0	-1114101	0	0	0	3144436	0	0	0	12280	66784	0	0	0	0	0	0	0	3398	0	0	31745	0	2661	0	15093	0	2681	0	0	0	0	0	0	0	0	0	0	0	0	0	6514	172579	7062	0	0	15566	0	0	8000	38689	0	0	22912	15457	0
177	Raalte	4	0	0	0	0	0	0	4753110	0	0	0	28780	113833	0	0	0	0	0	0	0	4758	0	0	35394	0	5404	0	272	0	2500	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	215061	7062	0	0	125985	0	0	9000	62461	0	0	24421	24341	0
1742	Rijssen-Holten	4	0	0	0	0	0	0	3191373	0	0	0	12280	110398	0	0	0	0	0	0	0	5097	0	0	35448	0	5403	0	2040	0	2545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174195	7062	0	0	50102	0	0	9000	65626	0	0	28024	20196	0
180	Staphorst	4	0	0	-1574528	0	0	0	1292375	0	0	0	9280	46395	0	0	0	0	0	0	0	1699	0	0	31553	0	2474	0	0	0	2045	0	7110	0	0	0	0	0	0	0	0	0	0	0	13028	145106	7062	0	0	90962	0	0	4000	35249	0	0	21800	12664	0
1708	Steenwijkerland	4	0	0	-1928701	0	0	0	7366826	0	0	0	43780	169686	0	0	0	0	0	0	0	6116	0	0	36589	0	6369	0	0	0	3408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293984	7062	0	0	157603	0	0	7000	94208	0	0	27585	26455	0
183	Tubbergen	4	0	0	67661	0	0	0	2456630	0	0	0	16780	42197	0	0	0	0	0	0	0	3398	0	0	32307	0	3005	0	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161167	7062	0	0	58371	0	0	3000	36418	0	0	25533	17561	0
1700	Twenterand	4	0	0	1186548	0	0	0	7012549	0	0	0	57280	129343	0	0	0	0	0	0	0	3398	0	0	34610	0	4754	0	1156	0	2454	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	169398	7062	0	0	93394	0	0	6000	58347	0	0	24289	18418	0
189	Wierden	4	0	0	-356803	0	0	0	2358430	0	0	0	31780	55608	0	0	0	0	0	0	0	2718	0	0	32906	36649	3490	0	18220	0	2590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141587	7062	0	0	57398	0	0	5000	41859	0	0	23875	15915	0
1896	Zwartewaterland	4	0	0	0	0	0	0	1151538	0	0	0	19780	70464	0	0	0	0	0	0	0	4757	0	0	32588	0	3280	0	0	0	3045	0	7110	0	0	0	0	0	0	0	0	0	0	0	0	131338	7062	0	0	333690	0	0	3000	40327	0	0	22331	14510	0
193	Zwolle	4	0	80349	0	0	0	72581962	15324563	0	178695	0	120280	626082	76836	150000	384151	0	295526	0	0	18689	0	0	52490	126937	18585	207412	16827	0	19583	20000	7110	10661647	1523370	0	0	280028	136659	0	0	0	0	184828	0	409222	7062	0	215600	400817	0	400077	26000	230194	6111948	0	82623	64256	0
197	Aalten	5	0	13463	-1692378	0	0	0	7065373	0	0	0	24280	80632	0	0	0	0	0	0	0	4418	0	0	33387	0	3824	0	0	0	2727	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	148370	7062	0	0	37455	0	0	5000	44984	0	0	24110	18220	0
200	Apeldoorn	5	0	3306652	0	0	0	46766034	22624369	0	209407	0	219280	732664	29378	150000	474696	0	0	0	0	29902	0	0	58988	364804	23467	75177	40112	0	18402	20000	16590	4243061	604321	0	0	413041	136659	0	0	0	0	286747	82821	615017	7062	0	318010	179492	0	400077	30000	272355	5626997	0	81461	80680	182645
202	Arnhem	5	0	0	-7465209	0	0	72542264	31600803	0	193490	0	346780	1161882	126553	374923	384383	0	309352	507363	0	12573	12389	162500	58550	352018	23267	565178	143758	0	49526	20000	2370	8424610	1210923	0	0	362036	136659	0	0	0	0	246851	0	482786	7062	30000	278740	226675	0	400077	29000	320023	8008313	35000	123900	79475	0
203	Barneveld	5	0	0	0	0	0	0	2940841	0	0	0	28780	160282	0	0	0	0	0	0	0	7815	0	0	39500	0	8654	0	0	0	5407	0	0	0	0	0	0	0	0	0	0	0	0	0	400149	273481	7062	0	0	81720	0	0	12000	121345	0	0	35097	36568	0
1945	Berg en Dal	5	0	105918	0	0	0	0	4113052	0	0	0	28780	124300	0	0	0	0	0	0	0	2718	0	0	34854	0	4972	0	28181	0	4135	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	162429	7062	0	0	148847	0	0	5000	58683	0	0	26895	17787	0
1859	Berkelland	5	0	0	-1759825	0	0	0	6376408	0	0	0	24280	132233	0	0	0	0	0	0	0	5437	0	0	36497	68487	6179	0	2719	0	2954	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	274690	7062	0	0	173168	0	0	7000	74353	0	0	26383	31047	0
209	Beuningen	5	0	0	734091	0	0	0	3096129	0	0	0	9280	73027	0	0	0	0	0	0	0	2718	0	0	33208	0	3730	0	0	0	2727	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	118164	7062	0	0	129876	0	0	7000	41275	0	0	23845	14505	0
1876	Bronckhorst	5	0	0	-329500	0	0	0	4561998	0	0	0	19780	93116	0	0	0	0	0	0	0	5437	0	0	35054	0	5092	0	8532	0	2999	0	0	0	0	880	0	0	0	0	0	0	0	0	13028	269579	7062	0	0	128903	0	0	8000	61412	0	0	27434	26593	0
213	Brummen	5	0	0	349601	0	0	0	2236917	0	0	0	31780	63949	0	0	0	0	0	0	0	1699	0	0	32227	0	2962	0	0	0	3045	0	2370	0	0	7080	0	0	0	297737	0	0	370500	0	0	126704	7062	0	0	37941	0	0	4000	31328	0	0	21686	13854	0
214	Buren	5	0	0	-651637	0	0	0	2121439	0	0	0	16780	88591	0	0	0	0	0	0	0	2718	0	0	33366	0	3891	0	0	0	4135	0	0	0	0	11540	0	0	0	0	0	0	0	0	6514	169203	7062	0	0	158576	0	0	3000	51941	0	0	22164	16999	0
216	Culemborg	5	0	0	530541	0	0	0	3878293	0	0	0	28780	105928	0	0	0	0	0	0	0	2378	0	0	33759	0	4173	0	10402	0	2909	0	2370	0	0	0	0	0	0	281176	0	0	370500	0	0	118573	7062	0	0	68586	0	0	3000	45039	0	0	26085	15848	0
221	Doesburg	5	0	0	1374169	0	0	0	1583046	0	0	0	40780	55608	0	0	0	0	0	0	0	1699	0	0	30401	0	1555	0	0	0	1682	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	64237	7062	0	0	20430	0	0	1000	16301	0	0	20846	7938	0
222	Doetinchem	5	0	0	974034	0	0	30163605	9115118	0	145493	0	76780	277086	0	0	262211	0	0	0	0	6117	0	0	39180	0	8309	0	30900	0	5362	0	9480	3892527	558989	0	0	0	136659	303978	0	0	370500	0	31640	216045	7062	0	0	143983	0	400077	8000	92958	0	0	35066	29616	0
225	Druten	5	0	0	1923394	0	0	0	2327007	0	0	0	12280	56290	0	0	0	0	0	0	0	3398	0	0	31875	0	2738	0	0	0	4726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98222	7062	0	0	152738	0	0	3000	29545	0	0	23798	11922	0
