CBS	Naam	Prov	vest	bo31	bo31hk	bo3_nw	doelgroep	ephh	groei_jong	groei_llvo	kernen500	lidr_w_nw	inwo	inw75+dr	wad1	wad3	wad2	jong	kernen	LOdr	ll_so	ll_vo	loonksub	nwmigr	cf.landelijk	cf.lokaal	cf.regionaal	oeverdhbftot	oeverbftot	oadw	goab	opbebnk	opbebnkbfnk	opbebk	opbebkbfk	biwa	buiwamax	histk40	histk65	histk4164	landbftot	land	WOZnwe70	WOZnwg70	WOZwe80	vast nieuw	Amsterdam	Den Haag	Rotterdam	woonr	woonrbfk
1979	Eemsdelta	1	4.375,00	2.847,00	2.216,00	1.275,67	481,00	8.140,00	0,00	0,00	5,00	5.521,50	45.394,00	2.743,36	0,00	0,00	0,00	7.733,00	27,00	6.490,60	715,80	1.390,40	131,00	4.306,00	29.860,00	44.530,00	32.090,00	18.898,75	7.606,48	16.982,49	3.268,53	201,00	239,19	292,00	353,32	707,00	8.887,00	15,00	0,00	0,00	31.907,47	26.813,00	954.100.000,00	876.750.000,00	3.810.800.000,00	1,00	0,00	0,00	0,00	23.785,00	28.779,85
14	Groningen	1	31.180,00	25.791,00	23.468,00	9.722,33	1.734,00	83.476,00	0,00	0,00	3,00	24.283,30	238.147,00	1.659,18	0,00	0,00	0,00	34.326,00	18,00	4.185,30	8.089,93	12.707,20	525,00	31.133,00	460.600,00	254.920,00	517.800,00	123.102,61	9.175,62	462.355,82	7.195,95	116,00	127,60	991,00	1.080,19	1.326,00	0,00	0,00	112,00	0,00	20.132,30	18.470,00	3.624.250.000,00	3.515.750.000,00	28.955.600.000,00	1,00	0,00	0,00	0,00	133.167,00	145.152,03
1966	Het Hogeland	1	5.570,00	1.523,00	0,00	982,67	339,00	7.706,00	0,00	0,00	12,00	5.360,00	48.298,00	2.463,12	0,00	0,00	0,00	8.978,00	41,00	4.870,20	0,00	1.080,00	69,00	2.138,00	5.860,00	45.200,00	7.530,00	11.175,78	10.901,31	9.757,80	1.317,02	277,00	307,47	318,00	359,34	2.047,00	10.000,00	0,00	0,00	0,00	52.641,75	47.425,00	1.183.000.000,00	1.183.000.000,00	4.368.000.000,00	1,00	0,00	0,00	0,00	23.400,00	26.442,00
1952	Midden-Groningen	1	6.445,00	3.173,00	0,00	1.613,33	548,00	10.364,00	0,00	0,00	9,00	7.135,10	61.554,00	2.823,76	0,00	0,00	0,00	10.805,00	23,00	7.604,60	415,80	1.115,20	158,00	5.761,00	38.630,00	58.050,00	42.330,00	18.170,47	8.601,00	25.853,93	3.615,36	180,00	180,00	395,00	395,00	1.804,00	0,00	0,00	0,00	0,00	27.773,00	27.773,00	838.600.000,00	782.250.000,00	5.354.000.000,00	1,00	0,00	0,00	0,00	29.649,00	29.649,00
1895	Oldambt	1	3.920,00	3.452,00	2.903,00	1.243,67	436,00	7.260,00	0,00	0,00	6,00	5.155,40	39.044,00	2.264,36	0,00	0,00	0,00	6.396,00	21,00	6.145,60	1.205,04	1.537,60	112,00	1.883,00	23.440,00	40.180,00	28.100,00	12.640,44	6.171,12	16.529,10	2.414,74	130,00	141,70	274,00	282,22	1.399,00	5.545,00	10,00	0,00	0,00	24.465,24	22.653,00	519.050.000,00	485.800.000,00	3.618.400.000,00	1,00	0,00	0,00	0,00	19.446,00	20.029,38
765	Pekela	1	970,00	2.102,00	0,00	344,00	164,00	1.966,00	0,00	0,00	1,00	1.818,80	12.404,00	562,76	0,00	0,00	0,00	2.245,00	4,00	1.909,60	0,00	229,60	34,00	485,00	6.440,00	12.570,00	8.580,00	3.575,42	1.447,00	3.109,42	932,88	22,00	22,00	97,00	97,00	119,00	0,00	0,00	0,00	0,00	4.901,00	4.901,00	88.550.000,00	78.400.000,00	851.600.000,00	1,00	0,00	0,00	0,00	5.812,00	5.812,00
37	Stadskanaal	1	3.255,00	3.442,00	0,00	828,67	398,00	5.427,00	0,00	231,30	3,00	4.452,10	32.135,00	2.238,90	0,00	0,00	0,00	5.511,00	13,00	5.356,50	1.247,72	1.608,00	164,00	1.526,00	22.840,00	35.240,00	29.170,00	8.784,55	3.279,00	13.002,36	2.002,92	65,00	65,00	216,00	216,00	220,00	0,00	0,00	0,00	0,00	11.775,00	11.775,00	331.450.000,00	289.450.000,00	2.770.800.000,00	1,00	0,00	0,00	0,00	15.479,00	15.479,00
47	Veendam	1	2.610,00	3.654,00	0,00	778,67	357,00	4.575,00	0,00	0,00	1,00	3.387,30	27.616,00	1.374,04	0,00	0,00	0,00	4.929,00	6,00	4.348,40	935,84	1.496,00	66,00	2.269,00	25.620,00	30.120,00	29.200,00	11.561,66	3.294,00	13.337,03	1.798,36	59,00	59,00	189,00	189,00	272,00	0,00	0,00	0,00	0,00	7.596,00	7.596,00	317.100.000,00	304.500.000,00	2.168.000.000,00	1,00	0,00	0,00	0,00	13.127,00	13.127,00
1969	Westerkwartier	1	8.065,00	0,00	0,00	851,67	391,00	8.138,00	0,00	0,00	11,00	5.365,70	64.946,00	2.589,24	0,00	0,00	0,00	13.310,00	40,00	4.495,40	0,00	1.542,40	106,00	2.378,00	19.240,00	59.440,00	23.340,00	15.590,63	8.474,76	13.888,07	835,45	273,00	297,57	395,00	414,75	645,00	0,00	0,00	0,00	0,00	39.141,36	36.242,00	888.650.000,00	797.300.000,00	6.594.000.000,00	1,00	0,00	0,00	0,00	28.343,00	29.760,15
1950	Westerwolde	1	3.045,00	0,00	0,00	433,00	212,00	3.718,00	0,00	0,00	6,00	2.954,30	26.537,00	1.624,78	0,00	0,00	0,00	4.684,00	30,00	3.866,30	0,00	893,60	53,00	2.371,00	6.750,00	24.970,00	10.730,00	5.862,65	6.144,00	3.575,16	1.638,92	146,00	146,00	179,00	179,00	504,00	0,00	0,00	0,00	0,00	27.560,00	27.560,00	423.850.000,00	371.700.000,00	2.455.200.000,00	1,00	0,00	0,00	0,00	12.457,00	12.457,00
