CBS	Naam	Prov	vest	bo31	bo31hk	bo3_nw	doelgroep	ephh	groei_jong	groei_llvo	kernen500	lidr_w_nw	inwo	inw75+dr	wad1	wad3	wad2	jong	kernen	LOdr	ll_so	ll_vo	loonksub	nwmigr	cf.landelijk	cf.lokaal	cf.regionaal	oeverdhbftot	oeverbftot	oadw	goab	opbebnk	opbebnkbfnk	opbebk	opbebkbfk	biwa	buiwamax	histk40	histk65	histk4164	landbftot	land	WOZnwe70	WOZnwg70	WOZwe80	vast nieuw	Amsterdam	Den Haag	Rotterdam	woonr	woonrbfk
1979	Eemsdelta	1	4.375,00	2.847,00	2.216,00	1.275,67	494,00	8.062,00	0,00	0,00	5,00	5.604,71	45.106,00	2.891,64	0,00	0,00	0,00	7.669,00	27,00	6.519,40	715,80	1.390,40	152,00	4.405,00	29.390,00	44.230,00	31.580,00	18.778,85	7.606,48	17.004,62	3.433,75	201,00	239,19	292,00	353,32	707,00	8.887,00	15,00	0,00	0,00	31.907,47	26.813,00	1.071.700.000,00	992.250.000,00	4.124.800.000,00	1,00	0,00	0,00	0,00	23.816,00	28.817,36
14	Groningen	1	31.180,00	25.791,00	23.468,00	9.722,33	1.908,00	88.754,00	0,00	0,00	3,00	24.760,25	243.768,00	2.027,92	0,00	0,00	0,00	34.212,00	18,00	3.623,20	8.089,93	12.707,20	650,00	32.913,00	471.090,00	260.880,00	528.400,00	126.008,21	9.175,62	464.914,69	7.370,84	116,00	127,60	991,00	1.080,19	1.326,00	0,00	0,00	112,00	0,00	20.132,30	18.470,00	4.627.700.000,00	4.522.350.000,00	30.038.000.000,00	1,00	0,00	0,00	0,00	133.904,00	145.955,36
1966	Het Hogeland	1	5.570,00	1.523,00	0,00	982,67	363,00	7.857,00	0,00	0,00	12,00	5.441,36	48.224,00	2.754,56	0,00	0,00	0,00	8.902,00	41,00	4.877,60	0,00	1.080,00	93,00	2.239,00	5.680,00	45.100,00	7.300,00	11.158,65	10.901,31	9.753,21	1.540,91	277,00	307,47	318,00	359,34	2.047,00	10.000,00	0,00	0,00	0,00	52.641,75	47.425,00	1.181.250.000,00	1.181.250.000,00	4.605.600.000,00	1,00	0,00	0,00	0,00	23.389,00	26.429,57
1952	Midden-Groningen	1	6.445,00	3.173,00	0,00	1.613,33	604,00	10.469,00	0,00	0,00	9,00	7.260,86	61.433,00	3.088,02	0,00	0,00	0,00	10.683,00	23,00	7.616,70	415,80	1.115,20	193,00	5.961,00	38.230,00	57.860,00	41.850,00	18.134,75	8.601,00	25.875,73	3.810,29	180,00	180,00	395,00	395,00	1.804,00	0,00	0,00	0,00	0,00	27.773,00	27.773,00	909.650.000,00	847.000.000,00	6.188.400.000,00	1,00	0,00	0,00	0,00	29.674,00	29.674,00
1895	Oldambt	1	3.920,00	3.452,00	2.903,00	1.243,67	470,00	7.305,00	0,00	0,00	6,00	5.259,23	39.405,00	2.334,70	0,00	0,00	0,00	6.416,00	21,00	6.109,50	1.205,04	1.537,60	154,00	2.080,00	23.370,00	40.550,00	28.000,00	12.757,31	6.171,12	16.545,25	2.340,51	130,00	141,70	274,00	282,22	1.399,00	5.545,00	10,00	0,00	0,00	24.465,24	22.653,00	585.550.000,00	551.250.000,00	3.920.000.000,00	1,00	0,00	0,00	0,00	19.465,00	20.048,95
765	Pekela	1	970,00	2.102,00	0,00	344,00	172,00	2.033,00	0,00	0,00	1,00	1.846,39	12.517,00	592,98	0,00	0,00	0,00	2.283,00	4,00	1.898,30	0,00	229,60	44,00	509,00	6.500,00	12.710,00	8.650,00	3.607,99	1.447,00	3.109,42	957,81	22,00	22,00	97,00	97,00	119,00	0,00	0,00	0,00	0,00	4.901,00	4.901,00	92.050.000,00	82.250.000,00	894.800.000,00	1,00	0,00	0,00	0,00	5.812,00	5.812,00
37	Stadskanaal	1	3.255,00	3.442,00	0,00	828,67	441,00	5.469,00	0,00	231,30	3,00	4.516,23	32.013,00	2.328,22	0,00	0,00	0,00	5.379,00	13,00	5.368,70	1.247,72	1.608,00	179,00	1.607,00	22.500,00	35.080,00	28.770,00	8.751,20	3.279,00	13.028,40	2.009,71	65,00	65,00	216,00	216,00	220,00	0,00	0,00	0,00	0,00	11.775,00	11.775,00	350.350.000,00	307.300.000,00	3.041.600.000,00	1,00	0,00	0,00	0,00	15.510,00	15.510,00
47	Veendam	1	2.610,00	3.654,00	0,00	778,67	371,00	4.574,00	0,00	0,00	1,00	3.443,79	27.520,00	1.493,80	0,00	0,00	0,00	4.850,00	6,00	4.358,00	935,84	1.496,00	104,00	2.352,00	25.260,00	30.070,00	28.830,00	11.521,46	3.294,00	13.337,03	1.862,81	59,00	59,00	189,00	189,00	272,00	0,00	0,00	0,00	0,00	7.596,00	7.596,00	368.900.000,00	358.400.000,00	2.330.800.000,00	1,00	0,00	0,00	0,00	13.127,00	13.127,00
1969	Westerkwartier	1	8.065,00	0,00	0,00	851,67	423,00	8.373,00	0,00	0,00	11,00	5.458,00	64.896,00	2.825,24	0,00	0,00	0,00	13.147,00	40,00	4.500,40	0,00	1.542,40	144,00	2.442,00	18.970,00	59.290,00	22.950,00	15.578,63	8.474,76	13.893,95	895,81	273,00	297,57	395,00	414,75	645,00	0,00	0,00	0,00	0,00	39.141,36	36.242,00	946.400.000,00	857.500.000,00	6.572.400.000,00	1,00	0,00	0,00	0,00	28.355,00	29.772,75
1950	Westerwolde	1	3.045,00	0,00	0,00	433,00	230,00	3.733,00	0,00	0,00	6,00	2.998,68	26.465,00	1.754,10	0,00	0,00	0,00	4.685,00	30,00	3.873,50	0,00	893,60	65,00	2.361,00	6.560,00	24.890,00	10.500,00	5.846,74	6.144,00	3.572,00	1.567,74	146,00	146,00	179,00	179,00	504,00	0,00	0,00	0,00	0,00	27.560,00	27.560,00	442.750.000,00	382.900.000,00	2.605.200.000,00	1,00	0,00	0,00	0,00	12.446,00	12.446,00
59	Achtkarspelen	2	3.375,00	0,00	0,00	563,33	240,00	3.892,00	0,00	0,00	5,00	3.109,48	28.226,00	1.017,44	0,00	0,00	0,00	5.720,00	13,00	3.947,40	0,00	1.096,00	83,00	718,00	7.500,00	28.170,00	10.970,00	6.946,56	2.457,00	5.487,80	1.328,60	77,00	77,00	198,00	198,00	188,00	0,00	0,00	0,00	0,00	10.210,00	10.210,00	317.100.000,00	285.250.000,00	2.616.400.000,00	1,00	0,00	0,00	0,00	12.444,00	12.444,00
60	Ameland	2	715,00	0,00	0,00	5,67	28,00	808,00	0,00	0,00	4,00	323,66	3.839,00	234,66	2.500,00	0,00	1.339,00	672,00	4,00	466,10	0,00	117,60	13,00	81,00	70,00	3.840,00	680,00	669,55	1.044,00	1.035,65	0,00	10,00	10,00	48,00	48,00	78,00	10.000,00	0,00	0,00	0,00	5.908,00	5.908,00	93.800.000,00	93.800.000,00	1.326.800.000,00	1,00	0,00	0,00	0,00	3.850,00	3.850,00
1891	Dantumadiel	2	2.045,00	573,00	0,00	403,67	183,00	2.480,00	0,00	0,00	3,00	2.189,33	19.135,00	1.008,90	0,00	0,00	0,00	3.809,00	8,00	2.666,50	927,28	0,00	78,00	556,00	3.720,00	18.770,00	6.250,00	5.675,78	2.596,00	3.876,09	754,61	49,00	49,00	116,00	116,00	302,00	0,00	0,00	0,00	0,00	8.450,00	8.450,00	191.800.000,00	158.900.000,00	1.974.800.000,00	1,00	0,00	0,00	0,00	8.408,00	8.408,00
1940	De Fryske Marren	2	7.775,00	1.818,00	0,00	676,67	295,00	7.406,00	0,00	0,00	12,00	4.622,06	51.929,00	3.062,26	0,00	0,00	0,00	9.633,00	45,00	5.337,10	0,00	970,40	116,00	2.187,00	16.150,00	49.270,00	32.000,00	17.797,70	14.330,00	13.783,02	1.404,12	211,00	211,00	357,00	357,00	6.719,00	10.000,00	5,00	0,00	0,00	35.098,00	35.098,00	844.900.000,00	747.600.000,00	6.749.600.000,00	1,00	0,00	0,00	0,00	25.619,00	25.619,00
72	Harlingen	2	2.030,00	2.541,00	2.541,00	464,67	132,00	3.174,00	0,00	0,00	1,00	2.117,29	16.229,00	1.159,26	0,00	0,00	0,00	2.810,00	2,00	2.057,10	0,00	876,80	35,00	955,00	10.770,00	17.560,00	17.570,00	9.529,05	1.480,60	8.998,93	812,68	26,00	28,34	102,00	116,28	170,00	10.000,00	0,00	0,00	45,00	2.743,40	2.494,00	312.550.000,00	299.600.000,00	1.560.000.000,00	1,00	0,00	0,00	0,00	8.166,00	9.309,24
74	Heerenveen	2	7.015,00	2.234,00	1.600,00	1.257,00	415,00	8.939,00	0,00	0,00	5,00	5.340,30	51.787,00	2.785,78	0,00	0,00	0,00	9.591,00	23,00	3.961,30	1.129,34	2.725,60	119,00	3.987,00	43.440,00	54.560,00	56.100,00	24.969,71	9.449,00	27.143,78	1.854,30	160,00	160,00	318,00	318,00	836,00	0,00	9,00	0,00	0,00	18.981,00	18.981,00	1.001.350.000,00	965.650.000,00	6.170.400.000,00	1,00	0,00	0,00	0,00	24.498,00	24.498,00
80	Leeuwarden	2	15.995,00	15.191,00	12.319,00	5.342,00	1.122,00	32.551,00	0,00	0,00	5,00	14.018,67	128.810,00	3.712,40	0,00	0,00	0,00	22.537,00	24,00	7.989,00	3.789,78	5.830,40	249,00	14.871,00	166.880,00	138.830,00	219.640,00	77.985,23	13.364,51	151.917,68	5.607,99	124,00	140,12	705,00	817,80	1.774,00	0,00	0,00	0,00	44,00	26.816,03	23.731,00	2.151.450.000,00	2.076.550.000,00	13.073.600.000,00	1,00	0,00	0,00	0,00	67.881,00	78.741,96
1970	Noardeast-Fryslân	2	5.585,00	1.908,00	1.331,00	866,67	394,00	7.049,00	0,00	0,00	9,00	5.210,02	45.866,00	2.040,04	0,00	0,00	0,00	9.037,00	37,00	6.043,40	742,50	2.151,20	145,00	1.461,00	13.270,00	44.240,00	18.870,00	14.775,93	10.550,11	10.368,55	1.205,31	197,00	216,70	298,00	315,88	1.809,00	10.000,00	22,00	0,00	0,00	40.960,02	37.578,00	705.950.000,00	613.200.000,00	4.642.000.000,00	1,00	0,00	0,00	0,00	21.737,00	23.041,22
