CBS	Naam	Prov	vest	bo31	bo31hk	bo3_nw	doelgroep	ephh	groei_jong	groei_llvo	kernen500	lidr_w_nw	inwo	inw75+dr	wad1	wad3	wad2	jong	kernen	LOdr	ll_so	ll_vo	loonksub	nwmigr	cf.landelijk	cf.lokaal	cf.regionaal	oeverdhbftot	oeverbftot	oadw	goab	opbebnk	opbebnkbfnk	opbebk	opbebkbfk	biwa	buiwamax	histk40	histk65	histk4164	landbftot	land	WOZnwe70	WOZnwg70	WOZwe80	vast nieuw	Amsterdam	Den Haag	Rotterdam	woonr	woonrbfk
1979	Eemsdelta	1	4638,946433	2847	2216	1282,610298	545,3067689	8203,12282	0	0	5	5566,969148	46206,588	2962,055361	0	0	0	7788,515769	27	6207,398189	719,7140035	1394,546805	172,6693789	4445,318216	30077,66755	44854,60603	32323,92337	18898,74942	7606,48	17478,73122	3256,921125	201,7695354	240,1057471	295,0852449	356,8002009	707	8887	15	0	0	31907,47	26813	1005179177	923688128,8	4144270696	1	0	0	0	24480,01571	29620,81901
14	Groningen	1	33061,10852	25791	23468	9775,253345	1965,825233	84123,32684	0	0	3	24483,2712	242410,017	1791,446625	0	0	0	34572,42885	18	4002,684442	8134,162622	12745,09865	691,9956024	32140,29076	463957,5912	256778,2657	521574,5566	123102,6065	9175,62	475866,2113	7170,392063	116,44411	128,088521	1001,470814	1090,829868	1326	0	0	112	0	20132,3	18470	3818279670	3703970960	31489410245	1	0	0	0	137058,2406	149393,4822
1966	Het Hogeland	1	5906,041515	1523	0	988,0154579	384,3222342	7765,757303	0	0	12	5404,139208	49162,57187	2659,475169	0	0	0	9042,453714	41	4657,700468	0	1083,221051	90,94799346	2207,173792	5902,717075	45529,49007	7584,890712	11175,77567	10901,31	10042,93031	1312,342325	278,060504	308,6471594	321,3599584	362,8794979	2047	10000	0	0	0	52641,75	47425	1246333683	1246333683	4750229453	1	0	0	0	24083,76572	27214,65527
1952	Midden-Groningen	1	6833,830802	3173	0	1622,114931	621,2642606	10444,36915	0	0	9	7193,857026	62655,86461	3048,864694	0	0	0	10882,56988	23	7272,791463	418,0735997	1118,526034	208,2577241	5947,393926	38911,59737	58473,16147	42638,5689	18170,46942	8601	26609,39936	3602,519285	180,6891362	180,6891362	399,1735333	398,8907487	1804	0	0	0	0	27773	27773	883495711,2	824128929,3	5822511102	1	0	0	0	30515,36623	30515,36623
1895	Oldambt	1	4156,496004	3452	2903	1250,436117	494,2905431	7316,298731	0	0	6	5197,854342	39742,91805	2444,870406	0	0	0	6441,917349	21	5877,451439	1211,629174	1542,185823	147,6257285	1943,92341	23610,8683	40472,89626	28304,83785	12640,43818	6171,12	17012,09282	2406,163541	130,4977095	142,2425033	276,8950585	284,9998661	1399	5545	10	0	0	24465,24	22653	546838121,7	511808033	3935034399	1	0	0	0	20014,22685	20614,65365
765	Pekela	1	1028,520695	2102	0	345,8724398	185,9258006	1981,245634	0	0	1	1833,777685	12626,04127	607,6221403	0	0	0	2261,117018	4	1826,27917	0	230,2847716	44,8149533	500,6919032	6486,945045	12661,63031	8642,544796	3575,415936	1447	3200,279607	929,5666796	22,08422775	22,08422775	98,02489298	97,95544969	119	0	0	0	0	4901	4901	93290657,32	82597261,82	926120742,3	1	0	0	0	5981,831042	5981,831042
37	Stadskanaal	1	3451,376146	3442	0	833,1772145	451,2101747	5469,084465	0	231,3	3	4488,762718	32710,24156	2417,380784	0	0	0	5550,563869	13	5122,781931	1254,542549	1612,795787	216,1662453	1575,372875	23006,49454	35496,88562	29382,63773	8784,548979	3279	13382,29881	1995,806206	65,24885473	65,24885473	218,2822359	218,1275993	220	0	0	0	0	11775	11775	349194673,8	304946140,7	3013263683	1	0	0	0	15931,3081	15931,3081
47	Veendam	1	2767,4629	3654	0	782,9050576	404,7287245	4610,477506	0	0	1	3415,194168	28110,34794	1483,575815	0	0	0	4964,385649	6	4158,667964	940,957185	1500,461752	86,99373287	2342,412223	25806,75963	30339,56285	29412,85641	11561,65531	3294	13726,75018	1791,972744	59,22588352	59,22588352	190,9969564	190,8616494	272	0	0	0	0	7596	7596	334076425	320801865,1	2357714619	1	0	0	0	13510,58088	13510,58088
1969	Westerkwartier	1	8551,566395	0	0	856,3024067	443,2743174	8201,10731	0	0	11	5409,886147	66108,58405	2795,649212	0	0	0	13405,55346	40	4299,25397	0	1547,000138	139,7172073	2454,938857	19380,25197	59873,29402	23510,13934	15590,63178	8474,76	14293,88992	832,4827228	274,0451899	298,7092569	399,1735333	418,8352862	645	0	0	0	0	39141,36	36242	936225213,2	839984653,6	7171019463	1	0	0	0	29171,20393	30629,76412
1950	Westerwolde	1	3228,706717	0	0	435,3568792	240,3431081	3746,831774	0	0	6	2978,628444	27012,033	1754,304324	0	0	0	4717,626776	30	3697,603244	0	896,2651216	69,85860367	2447,712376	6799,204822	25152,02139	10808,21744	5862,649658	6144	3679,627854	1633,099029	146,558966	146,558966	180,8912974	180,7631494	504	0	0	0	0	27560	27560	446541446,7	391599518,1	2670046555	1	0	0	0	12821,00297	12821,00297
