CBS	Naam	Prov	vest	bo31	bo31hk	bo3_nw	doelgroep	ephh	groei_jong	groei_llvo	kernen500	lidr_w_nw	inwo	inw75+dr	wad1	wad3	wad2	jong	kernen	LOdr	ll_so	ll_vo	loonksub	nwmigr	cf.landelijk	cf.lokaal	cf.regionaal	oeverdhbftot	oeverbftot	oadw	goab	opbebnk	opbebnkbfnk	opbebk	opbebkbfk	biwa	buiwamax	histk40	histk65	histk4164	landbftot	land	WOZnwe70	WOZnwg70	WOZwe80	vast nieuw	Amsterdam	Den Haag	Rotterdam	woonr	woonrbfk
313	Bunschoten	6	3126,573018	717	0	168,7871393	114,5007495	2327,457845	0	0	1	1214,124679	22843,12581	340,4119969	0	0	0	5152,684349	2	3420,743297	0	348,1460807	28,89102205	1359,847223	8273,516498	20921,18763	8829,125054	7915,402183	1054,68	10993,66638	987,7107826	22,0797534	22,742146	132,3774772	132,3373562	442	0	0	0	0	3099,78	3039	435173209,7	415325782,9	3120424009	1	0	0	0	9070,681832	9070,681832
310	De Bilt	6	7326,203327	2889	0	566,4773855	136,6998744	7347,545412	0	0	4	2478,046651	44517,74772	2936,963242	0	0	0	9262,515458	10	1680,793605	1218,893432	1979,547759	46,77594047	4334,513024	14920,61522	36134,76009	14799,39154	13869,67377	2140	26400,28917	605,7061859	35,12688041	35,12688041	211,1976545	211,1336446	119	0	0	0	0	6594	6594	561608669,3	519708546,1	8871841306	1	0	0	0	20673,67985	20673,67985
736	De Ronde Venen	6	7892,690424	0	0	429,3997674	158,8989994	6220,231101	0	0	5	2534,308502	45998,33017	1846,53018	0	0	0	8682,030838	22	3828,129551	0	1099,490295	50,90322933	4219,093892	7263,319124	37993,52326	6818,832279	169517,9726	17564,85	17999,39436	835,3829766	69,25013567	93,48768315	245,5551677	326,4893904	1737	0	0	0	0	13447,35	9961	751261858,7	691719578,3	8257748846	1	0	0	0	20111,05515	26747,70335
317	Eemnes	6	1792,060145	0	0	80,92534078	31,54612487	1279,127339	0	0	1	491,0033331	9669,318654	339,8655892	0	0	0	1903,989554	3	315,2989433	0	0	9,630340685	678,8743467	919,2796109	7677,500047	929,3815847	3257,012163	815,76	4021,926183	30,1946854	12,04350186	12,40480691	48,50472448	48,97492388	266	0	0	0	0	3198,15	3105	151796060,5	142974981,9	1732167594	1	0	0	0	4180,796448	4222,604412
321	Houten	6	7102,876683	0	0	514,6191059	217,3177491	6033,542107	0	0	2	2185,62644	51490,91245	0	0	0	0	11503,69086	9	1839,444026	1212,072448	1593,408008	41,27288865	4872,785883	36548,94101	49843,13846	36720,67457	40422,87321	2998,76	33963,32772	239,4960387	45,16313196	56,45391495	224,3343507	260,1489768	410	0	0	0	0	6696,58	5489	746851319,4	724431078	8331478746	1	0	0	0	21577,71774	25030,15258
353	IJsselstein	6	4395,721996	703	703	470,6882066	169,4143743	4609,782086	0	0	1	2262,393058	34204,83103	839,5663587	0	0	0	6820,4419	2	2909,858914	604,514777	727,3074023	45,40017751	4894,820444	16334,89155	33316,30942	16052,03628	24724,35361	1088,19	27743,7228	994,1042483	19,06887794	20,97576573	134,3985074	157,1985954	77	0	10	0	0	2362,83	2091	351372963,3	344389609,4	4654199963	1	0	0	0	14749,45391	17256,86107
327	Leusden	6	4586,366692	0	0	310,8193701	167,0776243	4247,687499	0	0	2	1445,434622	31425,79723	1436,199854	0	0	0	6179,384972	4	1059,704734	0	0	24,76373319	2024,031862	13476,03298	28618,89162	14142,76324	4975,412124	954	17713,98101	173,4800197	45,16313196	45,16313196	132,3774772	132,3373562	38	0	0	0	0	5851	5851	445464468,1	426352131,2	5076691695	1	0	0	0	13828,24435	13828,24435
331	Lopik	6	2227,81945	0	0	131,4623903	64,26062474	1567,36694	0	0	2	705,3438131	14848,79919	225,4259606	0	0	0	2988,23387	14	2200,886719	0	0	23,38797023	885,5795187	505,0986873	10041,3619	494,9967136	22741,61592	5994,56	2242,69376	604,4613522	42,15225649	55,64097857	106,1040848	134,7113469	323	0	0	0	0	9923,25	7575	218321694,7	186345284,9	2061526821	1	0	0	0	6077,760867	7718,7563
335	Montfoort	6	2015,386789	0	0	105,3680968	51,40849979	1689,432821	0	0	2	725,3435374	14138,69261	511,3501817	0	0	0	2905,451715	4	1539,659792	0	0	24,76373319	818,4265694	899,0756634	10677,78625	848,5657947	8997,760712	1453,28	4431,832113	288,4727744	32,11600495	40,46616623	80,84120747	92,13104492	61	0	10	0	0	4661,16	3759	208030436,4	191490914,1	1966939119	1	0	0	0	5877,761423	6700,648022
356	Nieuwegein	6	8159,592999	567	0	1285,556842	432,2987482	11615,74818	0	0	1	5189,120394	66052,19009	1541,700253	0	0	0	11950,9164	1	7201,427865	432,6627501	4032,756716	66,03662184	12909,10524	56267,99377	67622,61226	54914,32929	82431,73179	2471,52	60820,72168	3304,15702	33,1196301	37,75637832	306,1860733	345,8853999	247	0	0	0	0	2641,38	2317	1463563954	1448127066	8460506072	1	0	0	0	30936,27756	34957,99364
589	Oudewater	6	1797,507136	707	707	85,54964597	24,5358749	1404,270511	0	0	1	564,4366644	10394,77335	431,0719624	0	0	0	2037,248632	3	1215,252213	0	0	8,25457773	494,2037362	848,5657947	9324,121768	818,2598735	31594,08465	4675,22	3796,983374	58,97523976	33,1196301	52,66021186	52,54678485	79,32159701	109	0	13	0	0	6163,58	3901	138931987,6	119452105,7	1504672046	1	0	0	0	4456,553256	6729,395417
339	Renswoude	6	958,6704725	0	0	26,42460107	16,35724993	583,6595476	0	0	1	282,7233757	5782,150234	21,79073906	0	0	0	1412,344319	1	465,3412023	0	0	4,127288865	226,6412038	353,5690811	4111,503315	474,7927661	1199,807131	393	1176,086627	120,8783283	30,10875464	30,10875464	34,35751317	34,34710008	12	0	0	0	0	1839	1839	130478453,9	128640729,2	801812666,9	1	0	0	0	2223,226137	2223,226137
340	Rhenen	6	2854,223452	872	872	220,9757265	118,0058745	2668,011394	0	0	3	1554,928062	20735,31667	950,858679	0	0	0	4306,691111	9	2175,562709	0	198,4975426	45,40017751	1410,211935	3555,894759	17860,28958	5050,986873	3316,512	716	8084,401748	1061,514481	37,13413072	37,13413072	100,0409942	100,0106738	177	0	5	0	0	4198	4198	230818222,7	212440975,7	2816773235	1	0	0	0	8692,905105	8692,905105
342	Soest	6	7620,340858	1926	0	647,0724188	293,2621238	7273,690425	0	0	2	2967,433845	48206,41373	2503,880499	0	0	0	9268,572689	4	3682,191183	600,6141547	1100,265676	27,5152591	6516,983875	26032,78634	44236,54304	26356,0495	4089,282576	403	32148,98529	2388,298037	24,08700371	24,08700371	252,6287733	252,5522065	18	0	0	0	0	4625	4625	751996948,6	744646049,8	7863390891	1	0	0	0	21840,34327	21840,34327
1904	Stichtse Vecht	6	9967,994118	1520	0	736,9160624	241,853624	9630,895417	0	0	7	4008,530606	66754,111	2245,29852	0	0	0	13297,64072	17	5270,997572	228,4621064	2872,01132	22,01220728	7153,887629	21274,75671	55793,201	20365,57907	182107,4254	15625,68	35444,40138	1648,767253	64,23200989	96,99033494	275,8706205	339,2180216	1070	0	0	0	0	13649,04	9612	745381139,6	695027482,8	10817922624	1	0	0	0	29611,02872	36421,56532
344	Utrecht	6	59802,51771	39725	37288	10080,98531	1943,007617	94739,53571	0	3106,696024	2	24380,47203	370093,4273	0	0	0	0	71147,22364	5	10980,51091	8971,843337	12651,11682	315,0497167	93396,11202	801682,5345	404654,7624	714350,9715	219860,4873	5449,6	623733,1231	23522,69563	99,35889031	107,3076015	1257,080776	1281,833775	551	0	0	132	0	9743,76	9369	9305502807	9305502807	61083282227	1	0	0	0	174373,2522	177860,7172
1581	Utrechtse Heuvelrug	6	8769,656027	1930	0	625,2721229	240,685249	7823,499771	0	0	5	2424,310018	51140,9752	3653,434874	0	0	0	9930,829925	17	2444,217427	750,3084002	1774,071787	75,66696252	4001,896072	17941,10537	46034,69436	19779,6646	6194,449754	1658	19948,64146	742,0503276	75,2718866	75,2718866	256,6708337	256,5930418	189	0	0	0	0	13205	13205	627031668,8	580353461,3	8876691957	1	0	0	0	25251,44489	25251,44489
345	Veenendaal	6	8502,753452	2384	0	1119,74247	509,4114979	9716,033805	0	0	1	5716,587871	69241,53044	1481,57355	0	0	0	14904,82596	1	6308,881618	1346,143578	4466,97009	104,5579846	9198,904788	80674,36234	77088,16166	86220,34593	32154,01978	937	66413,53238	3209,718959	4,014500618	4,014500618	359,7433732	359,634342	35	0	0	0	0	1937	1937	1130200693	1124687518	8576436639	1	0	0	0	29701,93756	29701,93756
