Naam 	Prov	Beschermd wonen	Participatie	armoedebestrijding kinderen	beeldende kunst en vormgeving	bodembescherming	BRP: Centralisering Inschrijving Vergunninghouders	extra capaciteit BOA's	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	LHBTI-beleid	maatschappelijke opvang	Nationaal Actieplan Dakloosheid	personen met verward gedrag	regionale doelgroepen specifieke aanpak	Regionale Energie Strategieën	Uitstapprogramma prostituees	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	voorschoolse voorziening peuters	vrouwenopvang	Wet kwaliteitsborging bouw
De Ronde Venen	6	0	1925798	136262	0	0	0	36660	0	0	0	0	0	0	0	0	0	7062	0	0	190680	0	0	79712	0	21831
Eemnes	6	0	260880	21899	0	0	0	30084	0	0	0	0	0	0	0	0	0	7062	0	0	79288	0	0	15502	0	7331
Houten	6	0	811997	134205	0	0	0	37683	0	0	0	0	0	0	0	0	0	7062	0	0	62263	0	0	83445	0	23189
IJsselstein	6	0	2740971	133915	0	0	0	34633	68	0	0	0	0	0	0	0	0	7062	0	0	41346	0	0	49676	0	17054
Leusden	6	0	1487794	71259	0	0	0	34023	31512	0	0	0	0	0	0	0	0	7062	0	0	58858	0	0	46087	0	16223
Lopik	6	0	785658	62164	0	0	0	31031	0	0	0	0	0	0	0	0	0	7062	0	0	87557	0	0	32522	0	10028
Montfoort	6	0	498204	47043	0	0	0	30927	0	0	0	0	0	0	0	0	0	7062	0	0	113824	0	0	22436	0	9378
Nieuwegein	6	0	3059447	287297	0	0	0	40221	0	0	0	0	0	0	0	0	0	7062	0	0	151279	0	0	95051	0	31889
Oudewater	6	0	500833	38816	0	0	0	30228	0	0	0	0	0	0	0	0	0	7062	0	0	77342	0	0	16085	0	8401
Renswoude	6	0	303997	12977	0	0	0	29376	0	0	0	0	0	0	0	0	0	7062	0	0	0	0	0	9834	0	6658
Rhenen	6	0	1438306	63264	0	0	0	32100	0	0	0	0	0	0	0	0	0	7062	0	0	51561	0	0	37373	0	11876
Soest	6	0	3098743	182493	0	0	0	37066	544	0	0	0	0	0	0	0	0	7062	0	0	108473	0	0	69775	0	22866
Stichtse Vecht	6	0	3199986	192806	0	0	0	40452	0	0	0	0	0	0	0	0	0	7062	0	0	142037	0	0	106785	0	28897
Utrecht	6	100016577	18461208	2001169	951227	0	0	95177	109255	0	50000	25858716	3693552	710071	136659	562946	518448	7062	50000	546700	430002	4809	400077	608582	12823025	191409
Utrechtse Heuvelrug	6	0	1550098	138869	0	0	0	37632	42730	0	0	0	0	0	0	0	0	7062	0	0	127444	0	0	85054	0	24798
Veenendaal	6	0	7490249	321188	0	0	0	40787	1938	0	0	0	0	0	0	0	0	7062	0	0	81233	0	0	109351	0	31881
Vijfheerenlanden	6	0	3742481	221773	0	0	0	39098	1462	139139	0	0	0	0	0	0	0	7062	0	0	147874	0	0	105280	0	27770
Wijk bij Duurstede	6	0	1188279	78617	0	0	0	32792	0	0	0	0	0	0	0	0	0	7062	0	0	42806	0	0	35483	0	13246
Woerden	6	0	5803452	187997	0	0	0	38143	0	0	0	0	0	0	0	0	0	7062	0	0	76856	0	0	85883	0	25261
Woudenberg	6	0	473131	40786	0	0	0	30880	0	0	0	0	0	0	0	0	0	7062	0	0	44265	0	0	23421	0	9680
Zeist	6	0	5774010	340306	0	0	0	40439	60270	0	0	0	0	0	0	0	0	7062	0	0	154198	0	0	107880	0	30690
Aalsmeer	7	0	822071	87944	0	0	0	34293	374	0	0	0	0	0	0	0	0	7062	0	0	139605	0	0	46890	0	17876
Alkmaar	7	21406186	12221920	514023	150000	311944	0	48781	0	81155	20000	3597871	513905	327033	136659	0	234266	7062	0	251790	151766	5610	400077	175850	5727153	56877
Amstelveen	7	0	2483941	358498	0	0	0	45235	0	0	17500	0	0	0	0	0	0	7062	0	0	99231	0	0	141900	0	44948
Amsterdam	7	123129257	74578500	6852767	2605874	0	0	194565	175202	56248	50000	64893204	9269077	879088	136659	0	470264	7062	50000	676830	416382	15228	400077	1658060	24340179	696376
Bergen (NH.)	7	0	1336114	67262	0	0	0	33869	2040	45823	0	0	0	0	0	0	0	7062	0	0	39887	0	0	36908	0	18447
Beverwijk	7	0	4999110	231969	0	0	0	36129	0	0	0	0	0	0	0	0	0	7062	0	0	70532	0	0	67195	0	25575
Blaricum	7	0	182816	38324	0	0	0	30566	0	0	0	0	0	0	0	0	0	7062	0	0	0	0	0	21839	0	7968
Bloemendaal	7	0	877576	53184	0	0	0	32709	0	0	0	0	0	0	0	0	0	7062	0	0	10215	0	0	39101	0	12224
Castricum	7	0	911644	77864	0	0	0	35054	0	21316	0	0	0	0	0	0	0	7062	0	0	66154	0	0	51171	0	17817
Den Helder	7	8331746	7348638	354442	0	0	0	38866	93686	44715	0	1786882	255231	0	0	0	0	7062	0	0	185815	0	0	90209	1785532	31546
Diemen	7	0	1934199	135914	0	0	0	34170	0	0	0	0	0	0	0	0	0	7062	0	0	49129	3206	0	43363	0	19993
Dijk en Waard	7	0	6113678	319508	0	0	0	44471	55205	0	0	0	0	0	0	0	0	7062	0	0	267535	0	0	135760	0	36780
Drechterland	7	0	1345734	58340	0	0	0	32032	0	52804	0	0	0	0	0	0	0	7062	0	0	16052	0	0	36795	0	12458
Edam-Volendam	7	0	1649752	93941	0	0	0	35088	0	52997	0	0	0	0	0	0	0	7062	0	0	64695	0	0	55524	0	17856
Enkhuizen	7	0	1662232	86670	0	0	0	31809	4079	11658	0	0	0	0	0	0	0	7062	0	0	83179	0	0	27445	0	12054
Gooise Meren	7	0	1562294	169458	0	0	0	39227	0	0	0	0	0	0	0	0	0	7062	0	0	85611	0	0	104827	0	28172
Haarlem	7	47590802	17013138	816006	150000	287749	0	58572	9654	0	20000	7745734	1106369	285029	136659	0	185999	7062	0	219450	88043	0	400077	259778	7089627	89712
Haarlemmermeer	7	0	5894238	583978	150000	0	70542	57688	57313	0	20000	0	0	0	0	0	0	7062	0	0	1134350	0	0	260363	0	71688
Heemskerk	7	0	4408163	206826	0	0	0	35632	0	0	0	0	0	0	0	0	0	7062	0	0	10215	0	0	58489	0	20754
Heemstede	7	0	1315903	47854	0	0	0	33466	0	0	0	0	0	0	0	0	0	7062	0	0	10215	0	0	40826	0	15016
Heiloo	7	0	1061899	54806	0	0	0	32833	0	0	0	0	0	0	0	0	0	7062	0	0	10215	0	0	33009	0	13080
Hilversum	7	13532419	7658709	432770	0	0	0	45311	0	0	20000	2287298	326708	128013	136659	0	0	7062	0	98560	71991	0	400077	155639	2982267	47540
Hollands Kroon	7	0	3132312	170791	0	0	0	37378	0	55651	0	0	0	0	0	0	0	7062	0	0	489346	0	0	89250	0	31126
Hoorn	7	11598129	6328965	377153	0	0	0	42034	0	14871	20000	2259991	322808	0	0	0	0	7062	0	0	104582	0	0	115425	0	32985
Huizen	7	0	1778043	180321	0	0	0	35985	0	0	0	0	0	0	0	0	0	7062	0	0	25781	0	0	62109	0	20943
Koggenland	7	0	665630	52257	0	0	0	32609	12476	69916	0	0	0	0	0	0	0	7062	0	0	58371	0	0	47108	0	13365
Landsmeer	7	0	183852	37976	0	0	0	30494	748	26062	0	0	0	0	0	0	0	7062	0	0	26267	0	0	22208	0	7750
Laren	7	0	134161	40149	0	0	0	30463	0	0	0	0	0	0	0	0	0	7062	0	0	0	0	0	16113	0	8404
Medemblik	7	0	2658144	167430	0	0	0	36743	3671	117432	0	0	0	0	0	0	0	7062	0	0	116256	0	0	79833	0	23405
Oostzaan	7	0	30791	30763	0	0	0	30145	0	15091	0	0	0	0	0	0	0	7062	0	0	29672	0	0	15440	0	7046
Opmeer	7	0	358508	28678	0	0	0	30576	0	36242	0	0	0	0	0	0	0	7062	0	0	0	0	0	20098	0	8984
Ouder-Amstel	7	0	260199	51098	0	0	0	30970	4963	0	0	0	0	0	0	0	0	7062	0	0	79774	0	0	22816	0	9778
Purmerend	7	6321233	6805160	415389	0	0	0	45414	7343	81601	20000	1499859	214234	0	0	0	0	7062	0	0	126471	0	0	132776	0	44136
Schagen	7	0	4981269	133017	0	0	0	36997	25121	103830	0	0	0	0	0	0	0	7062	0	0	175114	0	0	77591	0	28300
Stede Broec	7	0	2187930	86380	0	0	0	32387	0	14623	0	0	0	0	0	0	0	7062	0	0	21403	0	0	29897	0	11955
Texel	7	0	2503223	52315	0	0	0	30883	0	0	0	0	0	0	0	0	0	7062	0	0	105068	0	0	35115	0	13933
Uitgeest	7	0	879834	39888	0	0	0	30878	0	19547	0	0	0	0	0	0	0	7062	0	0	10215	0	0	19014	0	8628
Uithoorn	7	0	1301155	149471	0	0	0	33961	3025	0	0	0	0	0	0	0	0	7062	0	0	55939	0	0	46257	0	16642
Velsen	7	0	5697950	353400	0	0	0	41104	46231	0	20000	0	0	0	0	0	0	7062	0	0	160035	0	0	103370	0	34911
Waterland	7	0	548842	57355	0	0	0	31563	4113	51516	0	0	0	0	0	0	0	7062	0	0	29186	0	0	32621	0	10240
Wijdemeren	7	0	562583	58659	0	0	0	32893	0	0	0	0	0	0	0	0	0	7062	0	0	58858	0	0	44027	0	13134
Wormerland	7	0	92374	66509	0	0	0	31381	0	42258	0	0	0	0	0	0	0	7062	0	0	65668	0	0	26634	0	10677
