CBS	Naam 	Prov	Beschermd wonen	Participatie	Voogdij/18+	CBS	aanpak laaggeletterdheid	armoedebestrijding kinderen	beeldende kunst en vormgeving	begeleiding jongeren naar werk	BRP: Centralisering Inschrijving Vergunninghouders	experiment gesloten coffeeshopketen	extra capaciteit BOA's	jeugd	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	LHBTI-beleid	maatschappelijke opvang	personen met verward gedrag	Regionale Energie Strategieën	slavernijverleden	Uitstapprogramma prostituees	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	versterking omgevingsveiligheidsdiensten	voorschoolse voorziening peuters	vrouwenopvang	Wet kwaliteitsborging bouw
114	Emmen	3	15144042	24468496	0	114	149573	623547	150000	266701	0	0	48247	82888	176393	0	0	3200999	0	0	0	0	7062	0	0	810875	0	400077	25000	200954	5063799	52992
118	Hoogeveen	3	0	18726632	0	118	0	288508	0	0	0	0	38684	0	58841	0	0	0	0	0	0	0	7062	0	0	177060	0	0	21000	102724	0	29752
119	Meppel	3	0	7378480	0	119	0	146108	0	0	0	0	34738	0	0	0	0	0	0	0	0	0	7062	0	0	218893	0	0	9000	58288	0	19365
1731	Midden-Drenthe	3	0	141780	0	1731	0	106037	0	0	0	0	34551	0	3190	0	0	0	0	0	0	0	7062	0	0	122093	0	0	11000	69753	0	23848
1699	Noordenveld	3	0	3136877	0	1699	0	110944	0	0	0	0	34148	0	3621	0	0	0	0	0	0	0	7062	0	0	125985	0	0	6000	58187	0	19428
1730	Tynaarlo	3	0	139962	0	1730	0	98241	0	0	0	0	34662	0	60306	0	0	0	0	0	0	0	7062	0	0	50589	0	0	8000	65030	0	18484
1701	Westerveld	3	0	2881825	0	1701	0	49011	0	0	0	0	31999	0	0	0	0	0	0	0	0	0	7062	0	0	39887	0	0	3000	48526	0	15402
141	Almelo	4	14115428	11722898	0	141	0	496548	0	0	0	0	41944	296468	57418	0	0	3018261	0	0	0	0	7062	30000	0	256348	2404,46	0	17000	133596	0	39780
147	Borne	4	0	2629952	0	147	0	68038	0	0	0	0	32745	0	0	0	0	0	0	0	0	0	7062	0	0	0	0	0	4000	37674	0	13026
148	Dalfsen	4	0	2959840	0	148	0	67547	0	0	0	0	33718	0	0	0	0	0	0	0	0	0	7062	0	0	48643	0	0	5000	49943	0	20472
150	Deventer	4	18719522	17072338	0	150	0	544305	150000	0	0	0	47170	235941	86645	0	0	3845636	0	0	0	0	7062	0	0	258780	0	0	27000	173277	0	49999
1774	Dinkelland	4	0	2053823	0	1774	0	68147	0	0	0	0	33291	0	0	0	0	0	0	0	0	0	7062	0	0	63236	0	0	5000	42261	0	19281
