CBS	Naam 	Prov	Beschermd wonen	Participatie	Voogdij/18+	CBS	aanpak laaggeletterdheid	armoedebestrijding kinderen	beeldende kunst en vormgeving	begeleiding jongeren naar werk	BRP: Centralisering Inschrijving Vergunninghouders	experiment gesloten coffeeshopketen	extra capaciteit BOA's	jeugd	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	LHBTI-beleid	maatschappelijke opvang	personen met verward gedrag	Regionale Energie Strategieën	slavernijverleden	Uitstapprogramma prostituees	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	versterking omgevingsveiligheidsdiensten	voorschoolse voorziening peuters	vrouwenopvang	Wet kwaliteitsborging bouw
1961	Vijfheerenlanden	6	0	3545858	0	1961	0	228838	0	0	0	0	39098	0	3362	136010	0	0	0	0	0	0	7062	0	0	147874	0	0	9000	103648	0	27770
352	Wijk bij Duurstede	6	0	1159431	0	352	0	78151	0	0	0	0	32792	0	0	0	0	0	0	0	0	0	7062	0	0	42806	0	0	3000	36598	0	13246
632	Woerden	6	0	5661390	0	632	0	175493	0	0	0	0	38143	0	0	0	0	0	0	0	0	0	7062	0	0	76856	0	0	10000	85897	0	25261
351	Woudenberg	6	0	354903	0	351	0	40561	0	0	0	0	30880	0	0	0	0	0	0	0	0	0	7062	0	0	44265	0	0	4000	22020	0	9680
355	Zeist	6	0	5695927	0	355	0	340790	0	0	0	0	40439	0	119061	0	0	0	0	0	0	0	7062	0	0	154198	0	0	7000	107232	0	30690
358	Aalsmeer	7	0	790116	0	358	0	87665	0	0	0	0	34293	0	0	0	0	0	0	0	0	0	7062	0	0	139605	0	0	3000	47162	0	17876
361	Alkmaar	7	20237957	11639984	0	361	210775	512739	150000	479205	0	0	48781	165775	4483	79330	0	3597871	327033	0	0	234266	7062	0	251790	151766	5610,39	400077	19000	175083	5728504	56877
362	Amstelveen	7	0	2227105	0	362	0	325634	0	0	0	0	45235	0	0	0	18700	0	0	0	0	0	7062	0	0	99231	0	0	14000	141620	0	44948
363	Amsterdam	7	116446489	72439640	0	363	521777	6750659	2605874	1104923	0	0	194565	4209153	201955	54983	0	64893204	879088	0	958000	470264	7062	50000	676830	416382	15228,22	400077	235000	1668307	24354692	696376
373	Bergen (NH.)	7	0	1251670	0	373	0	79160	0	0	0	0	33869	0	0	44793	0	0	0	0	0	0	7062	0	0	39887	0	0	6000	35811	0	18447
375	Beverwijk	7	0	4828268	0	375	0	218998	0	0	0	0	36129	0	0	0	0	0	0	0	0	0	7062	0	0	70532	0	0	13000	66667	0	25575
376	Blaricum	7	0	186713	0	376	0	40888	0	0	0	0	30566	0	0	0	0	0	0	0	0	0	7062	0	0	0	0	0	0	21638	0	7968
377	Bloemendaal	7	0	828556	0	377	0	54218	0	0	0	0	32709	0	0	0	0	0	0	0	0	0	7062	0	0	10215	0	0	1000	38885	0	12224
383	Castricum	7	0	810801	0	383	0	73272	0	0	0	0	35054	0	0	20837	0	0	0	0	0	0	7062	0	0	66154	0	0	4000	51021	0	17817
400	Den Helder	7	7875768	6906888	0	400	0	342235	0	0	0	0	38866	0	141649	43710	0	1786882	0	0	0	0	7062	0	0	185815	0	0	8000	91296	1786333	31546
384	Diemen	7	0	1790055	0	384	0	127899	0	0	0	0	34170	0	0	0	0	0	0	0	0	0	7062	0	0	49129	3205,94	0	9000	41596	0	19993
1980	Dijk en Waard	7	0	5713045	0	1980	0	313859	0	0	0	0	44471	0	64401	0	0	0	0	0	0	0	7062	0	0	267535	0	0	9000	136088	0	36780
498	Drechterland	7	0	1217335	0	498	0	60079	0	0	0	0	32032	0	0	51617	0	0	0	0	0	0	7062	0	0	16052	0	0	2000	36866	0	12458
385	Edam-Volendam	7	0	1696712	0	385	0	92898	0	0	0	0	35088	0	0	51805	0	0	0	0	0	0	7062	0	0	64695	0	0	4000	56935	0	17856
388	Enkhuizen	7	0	1677225	0	388	0	88973	0	0	0	0	31809	0	0	11396	0	0	0	0	0	0	7062	0	0	83179	0	0	3000	27357	0	12054
1942	Gooise Meren	7	0	1620716	0	1942	0	184270	0	0	0	0	39227	0	0	0	0	0	0	0	0	0	7062	0	0	85611	0	0	11000	103180	0	28172
392	Haarlem	7	44986263	16446878	0	392	173174	781376	150000	313979	0	0	58572	313817	0	0	0	7745734	285029	0	0	185999	7062	0	219450	88043	0	400077	15000	259248	7079555	89712
394	Haarlemmermeer	7	0	5639607	0	394	0	563441	150000	0	190000	0	57688	0	28364	0	20000	0	0	0	0	0	7062	0	0	1134350	0	0	31000	259191	0	71688
396	Heemskerk	7	0	4223332	0	396	0	191848	0	0	0	0	35632	0	0	0	0	0	0	0	0	0	7062	0	0	10215	0	0	8000	58615	0	20754
397	Heemstede	7	0	1276747	0	397	0	52828	0	0	0	0	33466	0	0	0	0	0	0	0	0	0	7062	0	0	10215	0	0	2000	40806	0	15016
399	Heiloo	7	0	929071	0	399	0	55199	0	0	0	0	32833	0	0	0	0	0	0	0	0	0	7062	0	0	10215	0	0	4000	33052	0	13080
402	Hilversum	7	12798387	7349919	0	402	141457	409864	0	222005	0	0	45311	0	1035	0	20000	2287298	128013	0	0	0	7062	0	98560	71991	0	400077	12000	155304	2991316	47540
1911	Hollands Kroon	7	0	2962518	0	1911	0	181544	0	0	0	0	37378	0	0	54400	0	0	0	0	0	0	7062	0	0	489346	0	0	14000	89326	0	31126
405	Hoorn	7	10963389	5995106	0	405	0	383205	0	0	0	0	42034	0	474	14537	20000	2259991	0	0	0	0	7062	0	0	104582	0	0	7000	115526	0	32985
406	Huizen	7	0	1641638	0	406	0	178164	0	0	0	0	35985	0	0	0	0	0	0	0	0	0	7062	0	0	25781	0	0	4000	62057	0	20943
1598	Koggenland	7	0	622628	0	1598	0	57571	0	0	0	0	32609	0	0	68344	0	0	0	0	0	0	7062	0	0	58371	0	0	3000	46996	0	13365
415	Landsmeer	7	0	166664	0	415	0	38871	0	0	0	0	30494	0	0	25476	0	0	0	0	0	0	7062	0	0	26267	0	0	1000	22068	0	7750
417	Laren	7	0	251855	0	417	0	41788	0	0	0	0	30463	0	0	0	0	0	0	0	0	0	7062	0	0	0	0	0	2000	15935	0	8404
420	Medemblik	7	0	2497816	0	420	0	163635	0	0	0	0	36743	0	0	114792	0	0	0	0	0	0	7062	0	0	116256	0	0	5000	78470	0	23405
431	Oostzaan	7	0	21812	0	431	0	36772	0	0	0	0	30145	0	0	14751	0	0	0	0	0	0	7062	0	0	29672	0	0	4000	16325	0	7046
432	Opmeer	7	0	338883	0	432	0	24588	0	0	0	0	30576	0	0	35427	0	0	0	0	0	0	7062	0	0	0	0	0	2000	20080	0	8984
437	Ouder-Amstel	7	0	227229	0	437	0	48848	0	0	0	0	30970	0	0	0	0	0	0	0	0	0	7062	0	0	79774	0	0	5000	22909	0	9778
439	Purmerend	7	5994988	6228645	0	439	0	403377	0	0	0	0	45414	0	0	79765	0	1499859	0	0	0	0	7062	0	0	126471	0	0	12000	132514	0	44136
441	Schagen	7	0	4693016	0	441	0	130515	0	0	0	0	36997	0	7802	101496	0	0	0	0	0	0	7062	0	0	175114	0	0	8000	78583	0	28300
532	Stede Broec	7	0	2039173	0	532	0	89300	0	0	0	0	32387	0	0	14294	0	0	0	0	0	0	7062	0	0	21403	0	0	3000	30465	0	11955
448	Texel	7	0	2348945	0	448	0	53237	0	0	0	0	30883	0	0	0	0	0	0	0	0	0	7062	0	0	105068	0	0	1000	34776	0	13933
450	Uitgeest	7	0	871449	0	450	0	33120	0	0	0	0	30878	0	0	19107	0	0	0	0	0	0	7062	0	0	10215	0	0	1000	19674	0	8628
451	Uithoorn	7	0	1244804	0	451	0	128062	0	0	0	0	33961	0	0	0	0	0	0	0	0	0	7062	0	0	55939	0	0	3000	46123	0	16642
453	Velsen	7	0	5398571	0	453	0	341390	0	0	0	0	41104	0	8406	0	20000	0	0	0	0	0	7062	0	0	160035	0	0	22000	105622	0	34911
852	Waterland	7	0	534390	0	852	0	54872	0	0	0	0	31563	0	0	50358	0	0	0	0	0	0	7062	0	0	29186	0	0	1000	32795	0	10240
1696	Wijdemeren	7	0	518709	0	1696	0	67466	0	0	0	0	32893	0	0	0	0	0	0	0	0	0	7062	0	0	58858	0	0	1000	44553	0	13134
880	Wormerland	7	0	65437	0	880	0	64113	0	0	0	0	31381	0	0	41308	0	0	0	0	0	0	7062	0	0	65668	0	0	2000	26495	0	10677
479	Zaanstad	7	12298675	9041866	0	479	176222	961747	150000	319823	0	83750	57523	256374	560	0	20000	2548339	183018	0	0	113443	7062	30000	140910	301099	0	400077	24000	258158	4438033	69488
473	Zandvoort	7	0	696360	0	473	0	98623	0	0	0	0	31536	0	0	0	0	0	0	0	0	0	7062	0	0	51075	0	0	3000	24800	0	12103
482	Alblasserdam	8	0	1435784	0	482	0	78996	0	0	0	0	32088	0	0	5147	0	0	0	0	0	0	7062	0	0	85125	0	0	5000	35672	0	11361
613	Albrandswaard	8	0	159957	0	613	0	76543	0	0	0	0	33144	0	0	17400	0	0	0	0	0	0	7062	0	0	10215	0	0	6000	40054	0	12645
484	Alphen aan den Rijn	8	0	13410088	0	484	0	380316	0	0	0	0	49281	0	2155	0	0	0	0	423374	0	0	7062	0	0	194085	0	0	22000	171602	0	51495
489	Barendrecht	8	0	109061	0	489	0	150251	0	0	0	0	37389	0	5000	11688	0	0	0	570000	0	0	7062	0	0	45238	0	0	14000	75273	0	21043
1901	Bodegraven-Reeuwijk	8	0	1184474	0	1901	0	103475	0	0	0	0	34904	0	34011	0	0	0	0	0	0	0	7062	0	0	63236	0	0	10000	67743	0	18176
502	Capelle aan den IJssel	8	0	5938791	0	502	0	462256	0	0	0	0	40863	0	0	0	0	0	0	0	0	0	7062	0	0	9242	4808,92	0	9000	111524	0	32577
503	Delft	8	19695409	11603098	0	503	0	569111	150000	0	0	0	47607	0	9182	0	0	2653716	0	0	0	0	7062	0	0	86098	0	0	13000	148053	3618697	64316
505	Dordrecht	8	42120747	19652824	0	505	166099	729175	150000	281903	0	0	50496	525469	0	0	20000	5427247	254025	274187	0	0	7062	30000	195580	359470	0	400077	41000	205562	4287442	61132
1924	Goeree-Overflakkee	8	0	5341450	0	1924	0	162245	0	0	0	0	37751	0	0	301329	0	0	0	146634	0	0	7062	0	0	141064	0	0	7000	92445	0	28262
512	Gorinchem	8	0	7214272	0	512	124986	193538	0	170081	0	0	35300	0	55349	11276	0	0	0	159769	0	0	7062	0	0	98745	0	400077	11000	59955	0	19957
513	Gouda	8	17172578	9978716	0	513	142732	387076	0	208570	0	0	42046	0	0	0	20000	2178246	0	0	0	0	7062	0	0	98258	0	400077	10000	117263	2536168	36380
523	Hardinxveld-Giessendam	8	0	76343	0	523	0	49230	0	0	0	0	31767	0	0	10821	0	0	0	0	0	0	7062	0	0	165385	0	0	5000	30270	0	9965
531	Hendrik-Ido-Ambacht	8	0	1084591	0	531	0	112443	0	0	0	0	34156	0	0	5563	0	0	0	0	0	0	7062	0	0	151766	0	0	9000	53116	0	14668
534	Hillegom	8	0	1839462	0	534	0	65939	0	0	0	0	32471	0	0	0	0	0	0	0	0	0	7062	0	0	37455	0	0	3000	30878	0	13039
1963	Hoeksche Waard	8	0	4783356	0	1963	0	230774	0	0	0	0	44718	0	83455	294404	0	0	0	153189	0	0	7062	0	0	151765	0	0	16000	139534	0	38502
1884	Kaag en Braassem	8	0	61801	0	1884	0	83412	0	0	0	0	33465	0	0	0	0	0	0	0	0	0	7062	0	0	44751	0	0	3000	51248	0	14656
537	Katwijk	8	0	6632396	0	537	0	212892	0	0	0	0	40616	0	159538	0	0	0	0	0	0	0	7062	0	0	113824	0	0	9000	105223	0	30540
542	Krimpen aan den IJssel	8	0	2122307	0	542	0	127572	0	0	0	0	33813	0	0	4317	0	0	0	0	0	0	7062	0	0	103123	0	0	3000	46790	0	15218
1931	Krimpenerwaard	8	0	3260157	0	1931	0	183180	0	0	0	0	38873	0	0	127954	0	0	0	0	0	0	7062	0	0	154198	0	0	9000	103257	0	25978
1621	Lansingerland	8	0	134646	0	1621	0	219706	0	0	0	0	40127	0	6337	0	0	0	0	0	0	0	7062	0	0	68586	0	0	7000	110993	0	29553
546	Leiden	8	34342892	20045627	0	546	190119	594461	150000	368946	0	0	51421	213580	0	0	0	8042702	383038	0	0	0	7062	0	294910	117229	0	400077	12000	171907	6652117	76532
547	Leiderdorp	8	0	138144	0	547	0	80632	0	0	0	0	33434	0	0	0	0	0	0	0	0	0	7062	0	0	19457	0	0	5000	39194	0	15811
1916	Leidschendam-Voorburg	8	0	2860831	0	1916	0	376663	0	0	0	0	42558	0	0	0	20000	0	0	0	0	0	7062	0	0	41346	0	0	11000	124873	0	41271
553	Lisse	8	0	1683680	0	553	0	67984	0	0	0	0	32617	0	0	0	0	0	0	0	0	0	7062	0	0	26267	0	0	1000	32335	0	13410
556	Maassluis	8	0	4278844	0	556	0	222814	0	0	0	0	34586	0	0	0	0	0	0	0	0	0	7062	0	0	22862	0	0	5000	54766	0	17506
1842	Midden-Delfland	8	0	59984	0	1842	0	53427	0	0	0	0	31954	0	0	0	0	0	0	0	0	0	7062	0	0	38428	0	0	5000	37078	0	12099
1978	Molenlanden	8	0	1209530	0	1978	0	105764	0	0	0	0	36550	0	0	174034	0	0	0	0	0	0	7062	0	0	204299	0	0	12000	90872	0	21761
569	Nieuwkoop	8	0	85431	0	569	0	73599	0	0	0	0	33764	0	0	0	0	0	0	0	0	0	7062	0	0	35509	0	0	2000	49574	0	15090
1930	Nissewaard	8	14982635	9242418	0	1930	0	542779	0	0	0	0	44233	0	0	75229	20000	2639974	0	0	0	0	7062	0	0	85611	0	0	24000	145323	3249607	40219
575	Noordwijk	8	0	2542233	0	575	0	124300	0	0	0	0	36537	0	0	0	0	0	0	0	0	0	7062	0	0	36482	0	0	4000	61385	0	24104
579	Oegstgeest	8	0	767876	0	579	0	66239	0	0	0	0	33004	0	24010	0	0	0	0	0	0	0	7062	0	0	10215	0	0	4000	40128	0	13305
590	Papendrecht	8	0	1847682	0	590	0	126372	0	0	0	0	34326	0	0	2561	0	0	0	0	0	0	7062	0	0	177060	0	0	9000	47312	0	16538
1926	Pijnacker-Nootdorp	8	0	139962	0	1926	0	178546	0	0	0	0	38697	0	0	0	0	0	0	0	0	0	7062	0	0	31131	0	0	5000	94758	0	23209
597	Ridderkerk	8	0	158139	0	597	0	227421	0	0	0	0	37023	0	0	20068	0	0	0	0	0	0	7062	0	0	28213	0	0	13000	74019	0	23109
603	Rijswijk	8	0	2237184	0	603	0	380507	0	0	0	0	38613	0	35003	0	0	0	0	0	0	0	7062	0	0	36969	0	0	11000	94857	0	32967
599	Rotterdam	8	112618178	50210840	0	599	550185	6291647	2111492	1466163	0	0	149530	4407313	4009	5011	50000	40912356	1005101	0	0	603578	7062	0	773850	2249243	30456,44	400077	317000	1377067	18177342	395508
606	Schiedam	8	0	9747155	0	606	0	560170	0	0	0	0	43087	316901	129	0	0	0	0	0	0	0	7062	0	0	138632	0	0	11000	134412	0	44384
518	's-Gravenhage	8	78648634	40575890	0	518	378014	4564334	1654253	820624	0	0	130317	2139274	22588	0	50000	29810221	760076	0	0	634685	7062	50000	585200	305963	4007,43	400077	62000	1090257	16263095	354117
610	Sliedrecht	8	0	2399309	0	610	0	122801	0	0	0	0	33103	0	0	11863	0	0	0	0	0	0	7062	0	0	148361	0	0	8000	42233	0	13831
1525	Teylingen	8	0	2746556	0	1525	0	82703	0	0	0	0	35371	0	0	0	0	0	0	0	0	0	7062	0	0	57885	0	0	6000	54843	0	18589
622	Vlaardingen	8	13615852	9278328	0	622	0	554691	0	0	0	0	42091	0	0	0	0	2271543	0	0	0	0	7062	0	0	134741	0	0	23000	129656	2969268	38995
1992	Voorne aan Zee	8	0	216305	0	1992	0	300665	0	0	0	61250	98540	0	43	119224	0	0	0	0	0	0	7062	0	0	69559	0	0	8000	108491	0	40524
626	Voorschoten	8	0	81796	0	626	0	89573	0	0	0	0	33113	0	862	0	0	0	0	0	0	0	7062	0	0	10215	0	0	3000	38643	0	13727
627	Waddinxveen	8	0	2249185	0	627	0	98105	0	0	0	0	34011	0	0	0	0	0	0	0	0	0	7062	0	0	32591	0	0	4000	49619	0	17127
629	Wassenaar	8	0	1053154	0	629	0	104892	0	0	0	0	33355	0	1897	0	0	0	0	0	0	0	7062	0	0	57885	0	0	6000	41746	0	14523
1783	Westland	8	0	7133949	0	1783	0	362488	150000	0	0	0	49057	0	0	0	0	0	0	0	0	0	7062	0	0	151279	0	0	17000	160163	0	50260
637	Zoetermeer	8	0	7939685	0	637	174997	791489	150000	293113	0	0	51640	104477	9828	0	20000	0	0	0	0	0	7062	0	0	89503	0	400077	14000	205220	0	57799
638	Zoeterwoude	8	0	19995	0	638	0	23552	0	0	0	0	29988	0	0	0	0	0	0	0	0	0	7062	0	0	52048	0	0	3000	15017	0	7801
1892	Zuidplas	8	0	1931871	0	1892	0	141964	0	0	0	0	36724	0	0	0	0	0	0	265721	0	0	7062	0	0	138146	0	0	12000	79920	0	21062
642	Zwijndrecht	8	0	3484945	0	642	0	337110	0	0	0	0	36670	0	0	18531	0	0	0	0	0	0	7062	0	0	197490	0	0	17000	74129	0	24111
654	Borsele	9	0	1677380	0	654	0	62695	0	0	0	0	32587	0	0	131025	0	0	0	0	0	0	7062	0	0	331744	0	0	8000	47826	0	18103
664	Goes	9	0	5952700	0	664	177693	151123	0	313002	0	0	35521	0	129	84102	20000	0	0	376059	0	0	7062	0	0	186302	0	400077	9000	61321	0	21931
677	Hulst	9	0	3948697	0	677	0	85865	0	0	0	0	33471	0	0	179014	0	0	0	0	0	0	7062	0	0	156630	0	0	5000	45726	0	18029
678	Kapelle	9	0	451342	0	678	0	43423	0	0	0	0	30739	0	0	33304	0	0	0	0	0	0	7062	0	0	81720	0	0	4000	21668	0	9554
687	Middelburg	9	0	5676776	0	687	0	260459	150000	0	0	0	37449	0	28106	46475	20000	0	210021	0	0	0	7062	0	161700	176087	0	0	6000	83380	0	26114
1695	Noord-Beveland	9	0	549303	0	1695	0	22489	0	0	0	0	29753	0	0	83886	0	0	0	0	0	0	7062	0	0	59831	0	0	1000	18260	0	9358
703	Reimerswaal	9	0	1329788	0	703	0	88319	0	0	0	0	32601	0	0	96318	0	0	0	0	0	0	7062	0	0	106528	0	0	11000	47677	0	13637
1676	Schouwen-Duiveland	9	0	4324054	0	1676	0	119067	0	0	0	0	34678	0	0	240292	0	0	0	0	0	0	7062	0	0	133281	0	0	6000	63384	0	23961
1714	Sluis	9	0	1981559	0	1714	0	66566	0	0	0	0	32651	0	0	254175	0	0	0	0	0	0	7062	0	0	76369	0	0	4000	46355	0	21570
715	Terneuzen	9	0	8882633	0	715	0	251381	0	0	0	0	38472	0	0	234605	0	0	0	0	0	0	7062	0	0	423192	0	0	25000	96666	0	33386
716	Tholen	9	0	2143536	0	716	0	85457	0	0	0	0	33194	0	0	146835	0	0	0	0	0	0	7062	0	0	35509	0	0	3000	49303	0	15708
717	Veere	9	0	1167497	0	717	0	43587	0	0	0	0	32426	0	0	137584	0	0	0	0	0	0	7062	0	0	44751	0	0	2000	39108	0	16995
718	Vlissingen	9	38051306	7395307	0	718	0	280385	0	0	0	0	36593	0	0	34108	0	6990649	0	0	0	0	7062	0	0	308395	0	0	12000	79047	4308077	28428
1723	Alphen-Chaam	10	0	480810	0	1723	0	29440	0	0	0	0	30272	0	0	0	0	0	0	0	0	0	7062	0	0	0	0	0	3000	21474	0	11181
1959	Altena	10	0	3459925	0	1959	0	164426	0	0	0	0	38823	0	0	0	0	0	0	0	0	0	7062	0	0	432434	0	0	9000	101428	0	25871
743	Asten	10	0	500932	0	743	0	43342	0	0	0	0	31471	0	0	0	0	0	0	0	0	0	7062	0	0	32591	0	0	5000	23560	0	13912
744	Baarle-Nassau	10	0	18177	0	744	0	22788	0	0	0	0	29626	0	1983	0	0	0	0	0	0	0	7062	0	0	29186	0	0	1000	12278	0	10304
1724	Bergeijk	10	0	2160464	0	1724	0	44078	0	0	0	0	31831	0	0	0	0	0	0	0	0	0	7062	0	0	16052	0	0	4000	30132	0	14202
748	Bergen op Zoom	10	14033967	10937765	0	748	0	398852	0	0	0	0	40899	0	216	0	0	3051283	0	0	0	0	7062	0	0	130849	0	0	26000	113271	0	36399
1721	Bernheze	10	0	4564532	0	1721	0	77197	0	0	0	0	34193	0	0	0	0	0	0	406434	0	0	7062	0	0	57398	0	0	8000	47992	0	20443
753	Best	10	0	3371443	0	753	0	88537	0	0	0	0	33962	0	0	0	0	0	0	0	0	0	7062	0	0	27240	0	0	8000	43051	0	17469
1728	Bladel	10	0	5088109	0	1728	0	43369	0	0	0	0	32161	0	0	0	0	0	0	0	0	0	7062	0	0	81720	0	0	5000	32802	0	15866
755	Boekel	10	0	1280551	0	755	0	22897	0	0	0	0	30381	0	0	0	0	0	0	0	0	0	7062	0	0	0	0	0	1000	19406	0	10710
757	Boxtel	10	0	8429860	0	757	0	122746	0	0	0	0	34475	0	0	0	0	0	0	0	0	0	7062	0	0	41833	0	0	10456	48764	0	18320
758	Breda	10	34579320	23145763	0	758	231951	862334	150000	530202	0	140000	62586	436799	11337	0	20000	6204361	0	490082	0	0	7062	0	0	319097	0	400077	36000	289183	7955452	91152
1706	Cranendonck	10	0	2108804	0	1706	0	65803	0	0	856322	0	32249	0	36942	0	0	0	0	574671	0	0	7062	0	0	100204	0	0	4000	33952	0	14078
762	Deurne	10	0	1330758	0	762	0	102929	0	0	0	0	34376	0	0	0	0	0	0	0	0	0	7062	0	0	65668	0	0	11000	47680	0	23908
766	Dongen	10	0	1440817	0	766	0	83739	0	0	0	0	33247	0	0	0	0	0	0	0	0	0	7062	0	0	40860	0	0	4000	36847	0	15559
1719	Drimmelen	10	0	1356440	0	1719	0	55172	0	0	0	0	33425	0	0	0	0	0	0	0	0	0	7062	0	0	76369	0	0	3000	36913	0	15609
770	Eersel	10	0	2703362	0	770	0	44486	0	0	0	0	31975	0	0	0	0	0	0	0	0	0	7062	0	0	94853	0	0	4000	33582	0	14416
772	Eindhoven	10	49044082	34548069	0	772	207521	1280785	550226	401215	0	0	72176	422920	11596	0	20000	11610051	415042	0	0	0	7062	0	319550	304017	3205,94	400077	37000	359195	7687654	129130
777	Etten-Leur	10	0	5672152	0	777	0	178164	0	0	0	0	36502	0	0	0	0	0	0	0	0	0	7062	0	0	98258	0	0	13000	68175	0	25264
779	Geertruidenberg	10	0	2027426	0	779	0	86138	0	0	0	0	32392	0	0	0	0	0	0	0	0	0	7062	0	0	176573	0	0	7000	31316	0	13917
1771	Geldrop-Mierlo	10	0	651780	0	1771	0	161182	0	0	0	0	35794	0	0	0	0	0	0	0	0	0	7062	0	0	90962	0	0	7000	58090	0	20122
1652	Gemert-Bakel	10	0	1577854	0	1652	0	107754	0	0	0	0	34064	0	0	0	0	0	0	0	0	0	7062	0	0	110419	0	0	12000	52232	0	22018
784	Gilze en Rijen	10	0	1895708	0	784	0	114869	0	0	618491	0	33313	0	156607	0	0	0	0	0	0	0	7062	0	0	0	0	0	6000	44498	0	16615
785	Goirle	10	0	2562860	0	785	0	62777	0	0	0	0	32798	0	0	0	0	0	0	0	0	0	7062	0	0	58371	0	0	4000	36343	0	13759
1655	Halderberge	10	0	5137578	0	1655	0	137494	0	0	0	0	34002	0	0	0	0	0	0	0	0	0	7062	0	0	159548	0	0	7000	48377	0	19610
1658	Heeze-Leende	10	0	1056435	0	1658	0	29767	0	0	0	0	31364	0	0	0	0	0	0	0	0	0	7062	0	0	40860	0	0	3000	24830	0	12090
794	Helmond	10	19166805	28350776	0	794	146222	598605	0	247909	0	0	45569	264084	15432	0	20000	3042290	0	0	0	0	7062	0	0	176573	2404,46	400077	22000	152615	2278679	45260
797	Heusden	10	0	3475999	0	797	0	128962	0	0	0	0	36713	0	0	0	0	0	0	0	0	0	7062	0	0	81720	0	0	9000	61894	0	22671
798	Hilvarenbeek	10	0	1274648	0	798	0	37399	0	0	0	0	31262	0	0	0	0	0	0	0	0	0	7062	0	0	109933	0	0	4000	27234	0	13527
1659	Laarbeek	10	0	646910	0	1659	0	64822	0	0	0	0	32584	0	0	0	0	0	0	0	0	0	7062	0	0	79288	0	0	3000	35054	0	15188
1982	Land van Cuijk	10	0	15309306	0	1982	0	291833	0	0	0	0	45117	0	156693	0	0	0	0	0	0	0	7062	0	0	602198	0	0	24000	141185	0	54749
809	Loon op Zand	10	0	2903517	0	809	0	70982	0	0	0	0	32714	0	0	0	0	0	0	0	0	0	7062	0	0	51561	0	0	5000	34775	0	13969
1991	Maashorst	10	0	9555781	0	1991	0	211992	0	0	0	0	39150	0	0	0	0	0	0	0	0	0	7062	0	0	325907	0	0	16000	90806	0	34608
1948	Meierijstad	10	0	15435508	0	1948	0	246965	0	0	0	0	43527	0	0	0	0	0	0	0	0	0	7062	0	0	267049	0	0	17000	122752	0	48587
1709	Moerdijk	10	0	2568972	0	1709	0	134931	0	0	0	0	35259	0	0	0	0	0	0	0	0	0	7062	0	0	719913	0	0	29000	66156	0	30234
820	Nuenen, Gerwen en Nederwetten	10	0	1458480	0	820	0	75016	0	0	0	0	32751	0	0	0	0	0	0	0	0	0	7062	0	0	0	0	0	3000	34614	0	13720
823	Oirschot	10	0	2496672	0	823	0	43178	0	0	0	0	31847	0	20777	0	0	0	0	0	0	0	7062	0	0	58371	0	0	4000	30041	0	14848
824	Oisterwijk	10	0	4140255	0	824	0	77611	0	0	0	0	34364	0	87895	0	0	0	0	0	0	0	7062	0	0	0	0	0	7227	43888	0	19305
826	Oosterhout	10	0	6403682	0	826	0	278068	0	0	0	0	38796	0	11854	0	0	0	0	0	0	0	7062	0	0	309855	0	0	13000	83821	0	32382
828	Oss	10	19063477	18396110	0	828	0	384623	0	0	0	0	45551	0	18751	0	20000	3183745	0	0	0	0	7062	0	0	334662	0	0	27000	150244	0	48642
1667	Reusel-De Mierden	10	0	2658359	0	1667	0	36145	0	0	0	0	30784	0	0	0	0	0	0	0	0	0	7062	0	0	0	0	0	1000	24383	0	12420
1674	Roosendaal	10	0	14713546	0	1674	0	438323	0	0	0	0	42700	0	0	0	20000	0	0	0	0	0	7062	0	0	147388	0	0	24000	123217	0	41771
840	Rucphen	10	0	6188166	0	840	0	81559	0	0	0	0	32635	0	0	0	0	0	0	0	0	0	7062	0	0	46697	0	0	5000	33419	0	14258
796	's-Hertogenbosch	10	32023374	22896864	0	796	201908	694665	150000	459546	0	0	57260	340803	70479	0	0	5177801	326033	0	0	869439	7062	0	251020	302558	0	989664	35000	237697	6670711	75672
845	Sint-Michielsgestel	10	0	4104685	0	845	0	72727	0	0	0	0	33829	0	0	0	0	0	0	0	0	0	7062	0	0	15566	0	0	3000	45153	0	15607
847	Someren	10	0	353735	0	847	0	54681	0	0	0	0	31956	0	0	0	0	0	0	0	0	0	7062	0	0	18971	0	0	6000	29667	0	16214
848	Son en Breugel	10	0	823723	0	848	0	51519	0	0	0	0	31607	0	0	0	0	0	0	0	0	0	7062	0	0	38914	0	0	4000	26823	0	11597
851	Steenbergen	10	0	2685403	0	851	0	83957	0	0	0	0	32864	0	0	0	0	0	0	0	0	0	7062	0	0	39887	0	0	5000	37873	0	15980
855	Tilburg	10	63494540	28649469	0	855	195306	1351090	150000	402742	0	173750	69620	826949	24226	0	0	8885938	599060	347526	0	523603	7062	0	461230	368712	4007,43	400077	48301	362108	6242577	124638
858	Valkenswaard	10	0	3621088	0	858	0	106310	0	0	0	0	34149	0	0	0	0	0	0	0	0	0	7062	0	0	18971	0	0	4000	42280	0	18776
861	Veldhoven	10	0	4093044	0	861	0	133487	0	0	0	0	36805	0	9915	0	0	0	0	0	0	0	7062	0	0	103609	0	0	7000	61142	0	23924
