CBS	Naam	Prov	vest	bo31	bo31hk	bo3_nw	doelgroep	ephh	groei_jong	groei_llvo	kernen500	lidr_w_nw	inwo	inw75+dr	wad1	wad3	wad2	jong	kernen	LOdr	ll_so	ll_vo	loonksub	nwmigr	cf.landelijk	cf.lokaal	cf.regionaal	oeverdhbftot	oeverbftot	oadw	goab	opbebnk	opbebnkbfnk	opbebk	opbebkbfk	biwa	buiwamax	histk40	histk65	histk4164	landbftot	land	WOZnwe70	WOZnwg70	WOZwe80	vast nieuw	Amsterdam	Den Haag	Rotterdam	woonr	woonrbfk
1979	Eemsdelta	1	4638,946433	2847	2216	1284,114114	512,3636904	7943,284024	0	0	5	5579,87607	45576,55642	2996,790269	0	0	0	7746,870643	27	6379,078387	719,7140035	1394,546805	174,1505403	4371,710721	29696,60341	44691,41778	31909,45	18778,84724	7606,48	17488,15375	3434,679681	201,7695354	240,1057471	295,0852449	356,8002009	707	8887	15	0	0	31907,47	26813	1096159580	1014896280	4312695212	1	0	0	0	24493,21253	29636,78716
14	Groningen	1	33061,10852	25791	23468	9786,714491	1978,926966	87447,06403	0	0	3	24650,53972	246311,0452	2101,662352	0	0	0	34559,38694	18	3545,215328	8134,162622	12745,09865	744,722705	32664,27128	476004,5219	263601,5616	533912,3933	126008,2058	9175,62	478134,6264	7372,83564	116,44411	128,088521	1001,470814	1090,829868	1326	0	0	112	0	20132,3	18470	4733318735	4625564315	31406307889	1	0	0	0	137711,5859	150105,6287
1966	Het Hogeland	1	5906,041515	1523	0	989,1738718	376,4939669	7741,302726	0	0	12	5417,249858	48727,08413	2854,725555	0	0	0	8992,390463	41	4772,615998	0	1083,221051	106,5526332	2222,079524	5739,255099	45570,49383	7376,155321	11158,65266	10901,31	10030,54748	1541,327198	278,060504	308,6471594	321,3599584	362,8794979	2047	10000	0	0	0	52641,75	47425	1208209857	1208209857	4815396884	1	0	0	0	24054,07071	27181,0999
1952	Midden-Groningen	1	6833,830802	3173	0	1624,016804	626,4527713	10314,84005	0	0	9	7228,687828	62073,88354	3200,311341	0	0	0	10791,47465	23	7452,76043	418,0735997	1118,526034	221,125357	5915,951784	38628,82437	58463,60916	42286,58906	18134,75075	8601	26611,50929	3811,321628	180,6891362	180,6891362	399,1735333	398,8907487	1804	0	0	0	0	27773	27773	930411087,1	866331216,1	6470297481	1	0	0	0	30517,78589	30517,78589
1895	Oldambt	1	4156,496004	3452	2903	1251,90221	487,4715273	7197,431133	0	0	6	5235,926858	39816,08225	2419,597959	0	0	0	6481,147743	21	5978,000952	1211,629174	1542,185823	176,4419947	2064,281112	23613,80135	40973,02716	28292,1026	12757,31141	6171,12	17015,71736	2341,143688	130,4977095	142,2425033	276,8950585	284,9998661	1399	5545	10	0	0	24465,24	22653	598914101,1	563831266,7	4098566047	1	0	0	0	20018,49101	20619,04574
765	Pekela	1	1028,520695	2102	0	346,2779633	178,3938355	2003,063312	0	0	1	1838,208824	12647,58029	614,5428524	0	0	0	2306,181468	4	1857,441559	0	230,2847716	50,4119985	505,1534068	6567,809532	12842,59372	8740,238839	3607,987849	1447	3197,836955	958,0693252	22,08422775	22,08422775	98,02489298	97,95544969	119	0	0	0	0	4901	4901	94150871,83	84127204,87	935560433,4	1	0	0	0	5977,265336	5977,265336
37	Stadskanaal	1	3451,376146	3442	0	834,1540859	457,3934969	5388,466922	0	231,3	3	4496,21902	32346,96716	2412,882323	0	0	0	5433,618097	13	5253,145709	1254,542549	1612,795787	205,0851757	1594,855648	22734,7253	35445,96283	29070,13542	8751,198583	3279	13398,86506	2010,254125	65,24885473	65,24885473	218,2822359	218,1275993	220	0	0	0	0	11775	11775	358346093,9	314313556,9	3180152676	1	0	0	0	15951,02983	15951,02983
47	Veendam	1	2767,4629	3654	0	783,8229866	384,7913546	4506,646133	0	0	1	3428,530898	27807,09513	1548,119857	0	0	0	4899,246658	6	4264,199713	940,957185	1500,461752	119,1556328	2334,225566	25523,51827	30383,69733	29130,76136	11521,46416	3294	13716,27307	1863,314352	59,22588352	59,22588352	190,9969564	190,8616494	272	0	0	0	0	7596	7596	377319463,5	366579820,4	2436973914	1	0	0	0	13500,26877	13500,26877
1969	Westerkwartier	1	8551,566395	0	0	857,3063916	438,7243746	8249,704432	0	0	11	5433,816128	65573,01037	2927,97573	0	0	0	13280,49398	40	4403,534738	0	1547,000138	164,9847223	2423,545421	19167,89951	59908,52725	23189,41981	15578,62901	8474,76	14289,02714	896,0525388	274,0451899	298,7092569	399,1735333	418,8352862	645	0	0	0	0	39141,36	36242	967999838,2	877070859,3	6871789665	1	0	0	0	29161,27987	30619,34386
1950	Westerwolde	1	3228,706717	0	0	435,86732	238,5498964	3678,030174	0	0	6	2985,393138	26741,08912	1817,885287	0	0	0	4732,571256	30	3790,127946	0	896,2651216	74,4722705	2343,157551	6628,435466	25149,65835	10609,53847	5846,743158	6144	3673,572563	1568,164463	146,558966	146,558966	180,8912974	180,7631494	504	0	0	0	0	27560	27560	452854953,9	391638987,8	2723873537	1	0	0	0	12799,9044	12799,9044
