CBS	Naam	Prov	Beschermd wonen	Participatie	Voogdij/18+	aanpak laaggeletterdheid	armoedebestrijding kinderen	beeldende kunst en vormgeving	BRP: Centralisering Inschrijving Vergunninghouders	experiment gesloten coffeeshopketen	extra capaciteit BOA's	jeugd	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	maatschappelijke opvang	personen met verward gedrag	slavernijverleden	Uitstapprogramma prostituees	veiligheidshuizen	vergunningverlening, toezicht en handhaving	versterking arbeidsmarktregio's	versterking omgevingsveiligheidsdiensten	voorschoolse voorziening peuters	vrouwenopvang	Wet kwaliteitsborging bouw
402	Hilversum	7	12831532	7250247	0	148963	409864	0	0	0	45311	0	1035	0	2219585	128013	0	0	98560	71991	398593	12000	155304	2896430	47540
1911	Hollands Kroon	7	0	2923526	0	0	181544	0	0	0	37378	0	0	54400	0	0	0	0	0	489346	0	14000	89326	0	31126
405	Hoorn	7	10992051	5919236	0	0	383205	0	0	0	42034	0	474	14537	2245640	0	0	0	0	104582	0	7000	115526	0	32985
406	Huizen	7	0	1620123	0	0	178164	0	0	0	35985	0	0	0	0	0	0	0	0	25781	0	4000	62057	0	20943
1598	Koggenland	7	0	614974	0	0	57571	0	0	0	32609	0	0	68344	0	0	0	0	0	58371	0	3000	46996	0	13365
415	Landsmeer	7	0	164826	0	0	38871	0	0	0	30494	0	0	25476	0	0	0	0	0	26267	0	1000	22068	0	7750
417	Laren	7	0	248508	0	0	41788	0	0	0	30463	0	0	0	0	0	0	0	0	0	0	2000	15935	0	8404
420	Medemblik	7	0	2465455	0	0	163635	0	0	0	36743	0	0	114792	0	0	0	0	0	116256	0	5000	78470	0	23405
431	Oostzaan	7	0	21812	0	0	36772	0	0	0	30145	0	0	14751	0	0	0	0	0	29672	0	4000	16325	0	7046
432	Opmeer	7	0	334795	0	0	24588	0	0	0	30576	0	0	35427	0	0	0	0	0	0	0	2000	20080	0	8984
437	Ouder-Amstel	7	0	224357	0	0	48848	0	0	0	30970	0	0	0	0	0	0	0	0	79774	0	5000	22909	0	9778
439	Purmerend	7	6009719	6149122	0	0	403377	0	0	0	45414	0	0	79765	1471798	0	0	0	0	126471	0	12000	132514	0	44136
441	Schagen	7	0	4629487	0	0	130515	0	0	0	36997	0	7802	101496	0	0	0	0	0	175114	0	8000	78583	0	28300
532	Stede Broec	7	0	2012051	0	0	89300	0	0	0	32387	0	0	14294	0	0	0	0	0	21403	0	3000	30465	0	11955
448	Texel	7	0	2317095	0	0	53237	0	0	0	30883	0	0	0	0	0	0	0	0	105068	0	1000	34776	0	13933
450	Uitgeest	7	0	859875	0	0	33120	0	0	0	30878	0	0	19107	0	0	0	0	0	10215	0	1000	19674	0	8628
451	Uithoorn	7	0	1228682	0	0	128062	0	0	0	33961	0	0	0	0	0	0	0	0	55939	0	3000	46123	0	16642
453	Velsen	7	0	5328347	0	0	341390	0	0	0	41104	0	8406	0	0	0	0	0	0	160035	0	22000	105622	0	34911
852	Waterland	7	0	527647	0	0	54872	0	0	0	31563	0	0	50358	0	0	0	0	0	29186	0	1000	32795	0	10240
1696	Wijdemeren	7	0	512034	0	0	67466	0	0	0	32893	0	0	0	0	0	0	0	0	58858	0	1000	44553	0	13134
880	Wormerland	7	0	65437	0	0	64113	0	0	0	31381	0	0	41308	0	0	0	0	0	65668	0	2000	26495	0	10677
479	Zaanstad	7	12330200	8927970	0	176228	961747	150000	0	83750	57523	256374	560	0	2543287	183018	0	113443	140910	301099	398593	24000	258158	4464401	69488
473	Zandvoort	7	0	687256	0	0	98623	0	0	0	31536	0	0	0	0	0	0	0	0	51075	0	3000	24800	0	12103
