CBS	Naam	Prov	vest	bo31	bo31hk	bo3_nw	doelgroep	ephh	groei_jong	groei_llvo	kernen500	lidr_w_nw	inwo	inw75+dr	wad1	wad3	wad2	jong	kernen	LOdr	ll_so	ll_vo	loonksub	nwmigr	cf.landelijk	cf.lokaal	cf.regionaal	oeverdhbftot	oeverbftot	oadw	goab	opbebnk	opbebnkbfnk	opbebk	opbebkbfk	biwa	buiwamax	histk40	histk65	histk4164	landbftot	land	WOZnwe70	WOZnwg70	WOZwe80	vast nieuw	Amsterdam	Den Haag	Rotterdam	woonr	woonrbfk
1701	Westerveld	3	3005,605946	0	0	262,6312741	121,6120204	2847,725858	0	0	4	1481,898766	20069,21289	1694,437712	0	0	0	3042,555051	28	2007,652874	0	162,0509648	22,10508164	463,4238851	1273,273325	17856,14259	3354,974159	2749,943411	3915	2253,654705	122,7369437	119,4313934	119,4313934	122,2723263	122,2352679	431	0	0	0	0	27843	27843	307201270,7	250953150,7	2792125488	1	0	0	0	10433,58659	10433,58659
141	Almelo	4	7965,906669	7097	7097	2557,857471	847,0541594	12498,90594	0	0	1	8657,86046	74728,00725	2572,348978	0	0	0	13997,76484	3	10282,59194	3919,181622	4163,279934	228,0313685	12242,03053	102629,8722	83156,87456	112957,5336	21801,10288	2046	55655,4944	6850,82159	151,5473983	151,5473983	426,4373694	426,3081245	230	0	10	0	0	6710	6710	1537809178	1466417333	7690204344	1	0	0	0	34633,16391	34633,16391
147	Borne	4	2653,550704	1224	0	282,0488745	159,6818703	2953,344802	0	0	1	1681,896009	24782,34526	1114,303246	0	0	0	5174,858095	3	1443,037885	0	272,4680438	58,17126749	1323,924635	14349,58827	23161,44811	16158,44482	3909,215596	417	13014,96744	212,4063131	21,07612825	21,07612825	128,3354169	128,2965209	19	0	0	0	0	2597	2597	270423653,8	254198234,6	3166628162	1	0	0	0	10453,78911	10453,78911
148	Dalfsen	4	3767,516545	0	0	240,9098905	156,5093828	3400,730705	0	80,54555903	3	1850,78257	29923,94421	1332,79653	0	0	0	6094,162332	11	3069,097154	0	243,0764472	57,00784214	918,8057071	8832,070526	28264,64675	14066,63864	4059,824405	2283	6658,787896	147,8367883	173,6271517	173,6271517	173,808596	173,7559181	150	0	0	0	0	16502	16502	478469584,8	418976381	3990950158	1	0	0	0	12805,36134	12805,36134
150	Deventer	4	12574,15215	8739	8234	2741,501896	954,918734	19063,22293	0	0	2	10050,36652	103863,7346	2765,171489	0	0	0	19615,1764	8	7607,848048	1700,431876	3901,138668	265,2609797	14025,35801	138170,3665	112411,845	150054,2509	22026,68595	2879	88764,78091	6265,966292	127,4603946	127,4603946	484,0367297	483,8900276	385	0	35	0	0	13049	13049	1659680105	1592254474	12763051114	1	0	0	0	47980,96265	47980,96265
1774	Dinkelland	4	3683,443651	0	0	198,1253471	114,2095496	2861,67553	0	0	5	1576,442917	27024,72106	1316,273053	0	0	0	4879,151918	11	2099,063881	0	188,2650915	51,19071539	696,6437145	6487,630753	22918,91986	9428,285814	2953,632246	1953	5431,945995	209,7138387	161,5836499	161,5836499	163,7034451	163,6538298	112	0	6	0	0	17571	17571	524982453,3	436644059,7	3274401709	1	0	0	0	11508,36016	11508,36016
153	Enschede	4	17565,98021	15963	11523	6102,721447	1998,667118	38164,30925	0	0	2	17921,26813	162933,5116	4178,689264	0	0	0	27941,2163	8	17870,00459	5797,526515	5899,767234	542,156213	30266,30441	239486,5439	169618,1966	243690,367	23306,32042	2063	180529,4185	12719,10941	135,4893959	135,4893959	797,2964086	797,0547636	204	0	9	0	0	14068	14068	2511334332	2447153785	18001095174	1	0	0	0	81392,8848	81392,8848
158	Haaksbergen	4	2979,333167	0	0	278,0995321	155,4518869	3165,579095	0	0	1	2015,426765	24760,11351	1613,674793	0	0	0	4422,51721	6	2143,0249	0	1103,376422	59,33469284	1521,960438	16512,13185	24202,29853	19412,36554	4217,59545	1816	11638,68756	510,3734791	97,35164	97,35164	165,7244753	165,6742474	74	0	0	0	0	10476	10476	398424183,3	342536628,2	3105459392	1	0	0	0	11158,85673	11158,85673
160	Hardenberg	4	7203,996071	1013	0	832,6530368	463,1831733	7443,146313	0	0	8	5004,880509	63167,49388	1770,554054	0	0	0	12999,00214	27	7445,561113	1118,317632	3117,892338	202,4360109	2387,487477	33115,2118	62380,2876	45625,62749	10258,84739	5205	15999,60756	2633,22001	312,1274231	312,1274231	369,8485242	369,7364303	504	0	0	0	0	31211	31211	1220151526	1096477775	6404411831	1	0	0	0	27728,95591	27728,95591
163	Hellendoorn	4	3893,625885	1341	0	395,2633586	250,6265116	4324,398259	0	0	2	2930,767684	36642,98734	1705,835369	0	0	0	6995,362109	9	3951,407759	1211,366584	1122,441242	115,1791096	1287,735351	31801,5171	36904,71575	36540,92337	4367,286423	1674	13305,00983	377,7741014	118,4277682	118,4277682	215,2397149	215,1744799	106	0	0	0	0	13793	13793	508396469,2	472339982	4554368624	1	0	0	0	16146,85659	16146,85659
164	Hengelo	4	9994,165227	6759	0	2190,23951	838,5941928	16036,14414	0	0	1	8283,724203	83178,09578	3020,629019	0	0	0	14517,76516	4	5670,971418	3457,397277	4445,280388	250,1364502	12185,73608	109683,4022	89624,29462	115655,6604	13709,62646	1030	75619,2901	3978,509854	55,1993835	55,1993835	485,0472448	484,9002364	104	0	0	0	0	6080	6080	1407284694	1363656345	9538999209	1	0	0	0	40394,91993	40394,91993
1735	Hof van Twente	4	5039,11906	1469	1469	409,744281	175,5443077	4731,927957	0	0	5	2625,115331	35828,49663	2631,358417	0	0	0	6229,945781	9	3752,636169	0	386,0625926	68,64209563	1520,95518	11065,35152	31983,41329	14935,69821	4416,032914	2683	9833,256871	512,088685	231,8374107	231,8374107	215,2397149	215,1744799	311	0	17	0	0	21230	21230	619811014,6	518852850,5	3936023099	1	0	0	0	16173,11985	16173,11985
166	Kampen	4	6410,558137	4545	3052	826,3999112	457,8956942	7341,51299	0	0	1	5083,566293	56199,8593	1183,689345	0	0	0	12655,01741	11	5770,357213	1513,187206	3301,391224	125,6499378	3624,959934	58883,83862	57125,50879	66846,84958	20229,21009	5771	35293,65671	1780,702841	114,4132676	114,4132676	278,9021658	284,3939887	2128	0	36	0	0	14051	14051	916555904	839395021,5	5957089194	1	0	0	0	23911,69154	24389,92537
168	Losser	4	2527,441364	0	0	272,1755184	188,2342576	2736,128484	0	0	3	1980,780778	23608,10431	1141,099199	0	0	0	4304,838221	7	2705,247453	90,49387811	407,5105145	80,27634913	1061,552327	6942,371226	19745,84189	8245,960583	3426,20779	1461	7986,850436	774,1960809	72,26101113	72,26101113	123,2828414	123,2454768	87	0	0	0	0	9875	9875	269702524,1	236530555,9	2879925559	1	0	0	0	10495,20425	10495,20425
173	Oldenzaal	4	3809,552991	2091	2091	474,2502079	290,8113531	5076,684132	0	0	1	3041,37222	32261,31025	1885,197393	0	0	0	6007,663246	3	3287,107921	830,5599755	2792,996041	90,74717728	2622,717823	28315,17347	33792,26984	31033,51097	4770,569476	328	22365,6237	983,1121494	21,07612825	21,07612825	221,3028054	221,2357329	40	0	8	0	0	2155	2155	569331932,5	554909337,6	4098307591	1	0	0	0	15040,76914	15040,76914
1773	Olst-Wijhe	4	2285,731795	526	0	203,7202489	120,5545246	2238,922325	0	0	2	1291,396341	18878,80338	786,6675035	0	0	0	3441,85897	8	1766,216168	0	280,4117185	36,06618584	766,0065085	3304,44744	16906,24026	5477,096368	4606,974571	2919	3966,530626	282,1314277	93,33713938	93,33713938	86,90429802	86,87795903	471	0	0	0	0	11366	11366	217060052,8	179200741,3	2405139392	1	0	0	0	8298,181225	8298,181225
175	Ommen	4	2543,205031	0	0	215,5682763	133,2444745	2487,027202	0	10,52459342	1	1213,215601	19154,67927	899,8314387	0	0	0	3778,803083	14	2167,647058	1447,881931	1023,939675	62,82496888	663,4702042	9488,917877	18472,56856	13430,00198	2737,90973	2629	4648,969413	221,0421754	125,4531443	125,4531443	108,125115	108,0923444	220	0	5	0	0	17981	17981	421860900	374987466,6	2548698750	1	0	0	0	9080,018385	9080,018385
177	Raalte	4	4534,681699	532	0	390,6557924	188,2342576	4844,521737	0	0	4	2816,82986	38905,57383	1847,170477	0	0	0	7260,894186	14	3758,118836	902,2227576	1819,895884	43,04673794	1503,865796	18189,61893	36823,873	23787,97943	4967,525683	2223	11529,94755	722,7897643	188,6815291	188,6815291	216,25023	216,1846887	135	0	0	0	0	17094	17094	643247731,2	572577016,4	4943435291	1	0	0	0	17286,27819	17286,27819
1742	Rijssen-Holten	4	4350,772244	1782	1782	334,7067741	234,7640741	3851,105823	0	0	2	2736,527937	38898,50009	1382,950386	0	0	0	9069,328561	7	4147,587544	537,772646	2734,212848	96,56430403	2184,425385	30255,39949	40118,21509	35813,33861	3826,050016	938	17579,57016	1038,666871	72,26101113	72,26101113	249,597228	249,52158	27	0	8	0	0	9410	9410	672814050,7	637478693,3	4455749587	1	0	0	0	16069,07692	16069,07692
180	Staphorst	4	2348,786465	660	0	117,4929384	79,31218721	1608,197878	0	0	2	1069,379199	17813,70014	210,7837174	0	0	0	4710,17696	6	2140,433094	0	333,6343393	31,41248444	447,3397589	7841,746829	16795,08148	11873,77903	3355,672784	2583	2332,056608	613,7744678	88,3190136	88,3190136	130,356447	130,3169385	171	0	0	0	0	13398	13398	395179099,5	342897193	1723960640	1	0	0	0	6477,935021	6477,935021
1708	Steenwijkerland	4	6126,812121	1650	1650	710,2234203	462,1256775	6818,400297	0	0	8	4290,546921	45854,00826	2186,224713	0	0	0	8477,916207	35	4896,918559	581,5911579	1228,886483	191,9651827	2165,325485	21787,12134	45312,36183	32458,36445	22392,39777	15840	12870,63161	1661,855027	165,5981505	165,5981505	278,9021658	278,8176359	3335	0	27	0	0	28824	28824	665602753,3	598898252	5220151155	1	0	0	0	21740,93177	21740,93177
183	Tubbergen	4	3037,133281	0	0	130,6574133	98,34711214	2198,069714	0	0	4	1223,316471	21633,52012	641,2692453	0	0	0	4128,82264	11	2032,773456	0	548,9079249	47,70043934	368,9296439	2304,018398	16805,18683	3597,502411	1588,358901	1094	2675,743738	0	175,6344021	175,6344021	123,2828414	123,2454768	42	0	0	0	0	14703	14703	464768119,7	364891650,2	2624015399	1	0	0	0	8979,005832	8979,005832
