;Gemeenten;Sociale basisvoorzieningen;Participatie;Individuele voorzieningen Wmo;Individuele voorzieningen Jeugd;Bestuur en ondersteuning;Orde en veiligheid;Onderwijs;Sport, cultuur en recreatie;Infrastructuur, ruimte en milieu;Overig;Overige eigen middelen;Onroerendezaakbelasting;Totaal
0;Eemsdelta;11285562.21044985;14609111.883918134;16937318.805220187;25172097.686982606;16160385.380974185;6382511.922907268;7574355.243630903;13734968.31228486;20166104.406059917;0.0;-7603470.011750918;-10521201.140718998;113897823.15367663
1;Groningen;83541444.54387185;92221408.2275675;78184676.06139934;113267480.05173603;87485544.44899721;42662915.45673215;37047168.812440425;109203209.5153788;85390010.526741;0.0;-39889491.402295545;-57445632.549826585;631669048.1055135
2;Het Hogeland;10278358.336304212;10977229.844134824;14320872.26791554;23048737.40353996;16927270.013358295;6584262.952569697;7367557.12504725;11086591.328167964;23568985.43201383;0.0;-8089888.414082731;-12398104.294332255;103671945.32291676
3;Midden-Groningen;15199527.358533753;17938729.673199054;20017696.720010724;32488054.060937583;21600428.67165426;8679708.825750927;9120296.171883393;17563109.4430365;20667428.44539937;0.0;-10310261.117040556;-11884145.593375199;141080672.8794246
4;Oldambt;9361518.6004449;13374479.483422492;15007120.694531916;22729231.132693976;13758538.013860393;5321178.1105034705;6878415.419120656;11723519.510095641;15946582.18742098;0.0;-6539848.508222163;-7724812.750374541;99835994.09131266
5;Pekela;2863607.33387935;4144157.044092671;4439421.197061359;7755190.245844306;4326841.933801992;1480574.7860656262;1810345.5907790498;3462112.2319014287;4093914.177897148;0.0;-2077663.1713253232;-1747838.8288181983;30550686.965477087
6;Stadskanaal;7908195.100317895;10381493.982866274;13428101.012976862;19839563.354289997;11289050.325575858;4188715.8094722377;6146758.634521088;9687685.51176895;10482969.528603813;0.0;-5382594.810967549;-5597780.7758201435;82372219.47000402
7;Veendam;7182921.443699242;8784833.495888025;10068180.552656097;16052381.301995087;9682379.5482585;3587424.7958092582;5087772.480463729;8891922.124347676;8726764.780692345;0.0;-4625664.797989717;-4816535.529168392;68622428.40332474
8;Westerkwartier;14146776.605311926;10557196.365406213;15570650.580625137;25491032.86409633;22385887.308968693;7682732.778539792;8774990.088579338;16204703.711624969;23471770.632081546;0.0;-10878419.24909004;-13109557.71734422;120297836.11122751
9;Westerwolde;6184454.194461336;5624515.444933465;9417778.317470942;13124371.223870134;9244774.989857458;3736300.2954378794;4525055.360618165;6612834.67694156;12525828.856949596;0.0;-4444932.892215272;-5505558.650666059;61045462.370968916
10;Achtkarspelen;6049510.264133659;6739957.017079077;7837238.382916799;14333755.92812686;9714776.102255857;3433034.121233536;4245152.691379547;7037724.928720253;8990854.061429076;0.0;-4714942.005035749;-4920672.038504211;58746432.979486264
11;Ameland;813013.9771217884;321922.30535521475;1052847.6981962346;1110442.3334619734;1576797.889633012;985310.4934540252;587191.8391004557;863310.5481495785;2882167.958899555;1355422.1974702855;-643197.8861740602;-1982015.648493166;8923216.814954272
12;Dantumadiel;4101672.755713229;4992653.146534076;5838344.167039462;9882507.037201244;6624970.855694118;2309813.269875546;3145930.9584559775;4661679.524342761;5767024.371445495;0.0;-3214984.434390446;-3376774.7709026556;40732867.5271258
13;De Fryske Marren;12104750.497798508;8555963.157452436;16409879.302984402;21856338.1688001;18272284.037158057;6845510.078690736;6956484.240643802;13773725.563787319;23839660.971759833;0.0;-8708631.379173024;-12055304.428022068;107850722.07218702
14;Harlingen;4142048.633234475;4987921.440321709;6308809.71729719;9018238.724404052;5737576.058802162;2152570.127792363;2388953.2407294814;6420611.9947725935;6467935.584563294;0.0;-2711481.089414804;-3642907.6912740897;41270303.54007116
15;Heerenveen;13551153.477579297;12669719.393411895;17435690.026223287;25523090.89276559;18110534.94726917;7006227.80518978;8717021.329543043;16784150.40351661;18337997.947405733;0.0;-8649169.075707426;-12276397.238162136;117210091.82139312
16;Leeuwarden;39311549.54369213;49850395.8903702;42840808.25414999;65213542.45787093;45784491.072484635;19939983.13780634;20941745.86477115;49998632.99691185;45379356.585970916;0.0;-21284657.5452889;-27449346.758144252;330526682.2074496
17;Noardeast-Fryslân;10116996.251524383;10750142.060068311;14109932.659929983;22994760.574225217;16000436.22142177;5882933.437713663;8095829.066142695;12282169.05129104;20886846.949316856;0.0;-7673484.781155674;-9381136.296602618;104065495.28129949
18;Ooststellingwerf;5726482.157036345;5973381.793466094;8193016.066974642;11904430.089524908;9045724.944221014;3328461.887950703;4090368.3441715;6503237.126004148;10893086.650475467;0.0;-4327683.277483379;-5228430.046197712;56102112.10985651
19;Opsterland;6481619.511728044;5599324.467118597;7927058.218761887;12239009.9357632;10429088.243522394;3595872.8818518436;4506693.812642137;7231654.167860101;11567851.906983754;0.0;-5034028.455762869;-6075433.562720379;58468747.09954982
20;Schiermonnikoog;209158.37261886723;99908.51103026842;343066.40549782343;261327.52957695787;452506.0586898558;291213.9139635977;218088.29421686602;214363.23519494227;1312258.2722759913;375444.2547102817;-164484.45942916907;-622050.0810944873;2990801.180663999
21;Smallingerland;15350142.796287313;17294296.48111123;20127533.597004034;30542526.735997748;19726025.90391426;7556564.016470337;12058060.748817867;19517004.573048532;16758505.766540168;0.0;-9396384.119674519;-12447714.764906464;137086647.4852265
22;Súdwest-Fryslân;22562869.997438848;21881993.258849945;30249351.147959244;42498334.61999;32015001.926554665;11982426.707631616;15662428.35448216;29363823.666433424;40711941.406680904;0.0;-15222852.471771909;-21853507.9414629;209851930.68104294
23;Terschelling;1191726.1361873606;337314.71976705926;1744994.7221686493;1273380.2942907857;1918118.6829086165;956903.0548195908;670477.0083707798;1265431.3883668107;3278383.1174807334;1679879.1309803203;-825437.2872484229;-2164510.0051691243;11326663.793346772
24;Tytsjerksteradiel;7142493.988446902;6287468.446924909;9624891.75889617;13243847.731458733;11273791.974348236;4074148.9144197013;4617106.782043438;8021221.965843657;11630204.67953103;0.0;-5428322.161160521;-5961430.712911361;64525461.8093393
25;Vlieland;312426.2488675308;134937.49495132297;434353.3178587239;417935.2363971154;518983.30892834335;297915.3385765678;229884.3580149272;324838.90441219363;1397199.4429659843;493583.0272448811;-216241.78929688592;-678777.9470533452;3667038.092215139
26;Waadhoeke;10400879.815236086;10543900.562135639;13729328.865350675;21729095.477172263;16282252.315257423;6175214.999787918;7017799.46196725;12383456.027644461;19076676.606010355;0.0;-7825239.2835931685;-8224304.609327841;101289125.86711217
27;Weststellingwerf;6304993.72338449;5367612.26190799;9393932.862993533;13621488.716206621;9227757.345982619;3221071.440237357;4149146.7188051194;7334945.703452556;11616852.513931828;0.0;-4433207.930244823;-5372453.42189685;60432180.752224095
28;Aa en Hunze;5403199.274837438;3630380.5430164137;7277600.906562323;8101595.111136264;9106241.338196283;3223820.5740518607;3224536.3898957614;5779630.580379263;12184915.18495325;0.0;-4308755.838944976;-5614743.748629635;48008444.06090473
29;Assen;19947555.09586141;19668088.304575957;21839854.12148701;34160371.624506816;24578527.432545274;9275600.41286553;12101219.004140804;26223482.41816073;17006790.027428903;0.0;-11626806.789088424;-14060323.582799274;159114449.03237033
30;Borger-Odoorn;5486944.811189553;4882018.508218524;7909056.461028281;10739221.17149742;9058756.546057051;3256566.5400582934;3495337.3827882884;5892595.029010991;12922484.59729869;0.0;-4341418.232413538;-5731931.749605963;53569664.56013054
31;Coevorden;8210947.617234647;7554809.314399681;11645971.194574378;15557699.649380919;12576712.261237863;4761032.199056184;5422433.882737761;9763341.904829886;15317907.925153363;0.0;-5979730.348011517;-7825762.2077589305;77005409.1993988
32;De Wolden;5225728.04453919;2974170.754185775;6646919.307108628;8350723.136808405;8549445.548923045;2973922.783550337;2986007.1622269168;5763694.4476596;10291394.331098722;0.0;-4120821.456602579;-5499462.44570888;44141745.2655076
33;Emmen;28008469.639428094;34844925.4216727;40092010.38241652;61365402.868182816;38034663.25545565;14103633.594063783;18324776.933547493;34861496.32760491;32643767.636984035;0.0;-18218077.627279814;-20846992.59295041;263214256.2917678
34;Hoogeveen;14985572.7874714;13849020.749489456;20563404.368976977;30765512.015785918;19760070.023889504;7330845.419953501;9852858.029026184;18752005.36069628;16926348.732344594;0.0;-9452496.435426446;-11551802.57935455;131781426.1890013
35;Meppel;9446759.91108683;7607274.371679064;10346670.70102616;16452648.650564855;12445651.569570068;4593416.374155572;6042722.918506541;12381715.064912558;9723681.142623603;0.0;-5940200.478735409;-7884858.990014573;75215525.7438931
36;Midden-Drenthe;7482435.862459652;5581727.933248094;9328622.550992824;12980560.341050569;11913060.651524127;4129654.562467199;4513654.5171059165;8456140.04742689;15275594.153808583;0.0;-5692803.79126988;-7639919.880636523;66328764.63129843
37;Noordenveld;7109439.552360949;5372736.724823917;10304850.98472106;12048288.825868096;11101568.080240976;3715499.1027920814;4200988.762753839;8240732.173876147;11360440.48361082;0.0;-5291475.109684478;-7871466.07001549;60291638.516004816
38;Tynaarlo;7526621.1688113725;4641323.960924779;8390571.544799916;9744054.87439564;12041668.461941402;3968761.587146177;3816150.63234216;8500927.714522691;10874396.754324399;0.0;-5794140.957731702;-7711828.737372357;55998531.16140784
39;Westerveld;4188220.937557826;2964443.0349412104;6820482.917419162;6851262.033997092;7035780.362854825;2487840.3175625983;2639858.229523859;4487207.95453423;10315621.665648969;0.0;-3326539.067688552;-4856726.366765378;39607472.85508248
40;Almelo;22316884.27281258;25610689.840505164;25904284.176330775;42825743.20793693;25950006.21378988;11209033.94317119;15587343.090517636;28463486.96454087;20459570.02495253;0.0;-12386416.793231713;-17649677.900080692;188291068.77076322
41;Borne;5828147.6086063245;3519081.5490470324;5769512.34999707;8921867.973077256;8457741.753391987;2741428.5464464547;2754400.5215482344;6882291.150389575;5513405.580303821;0.0;-4107756.4998781676;-5091168.428938899;41188975.75144855
42;Dalfsen;6504174.565826218;3293122.731339979;7126825.592124585;10033526.021445302;10187147.18303399;3174512.611708879;3620260.514303559;7535871.444406619;10116925.614715857;0.0;-4959993.698781161;-7007922.588003843;49624476.01412291
43;Deventer;30408207.746393505;28050352.205001857;30594277.49909342;51482863.539536454;36108286.40280413;15088069.979288004;16511607.274659593;39322603.186716944;26672842.665061813;0.0;-17215760.914823562;-23967944.95805853;233055545.93382698
44;Dinkelland;5705702.933208147;2745105.326451572;6083911.204551349;8257560.09229835;9190596.992937481;3057910.156621971;3031156.1024392825;6706796.228273298;9717964.850760804;0.0;-4479437.77826334;-6432806.993491766;43584481.28057457
45;Enschede;50786391.85689494;59702568.667827174;53840528.625445195;86429753.76094976;57569559.088017106;26920244.354991753;28976025.166439626;62085593.97913714;43655601.14751991;0.0;-27006773.74562874;-35951798.40437919;407007946.4702446
46;Haaksbergen;5988912.49269975;3658058.487200544;7581921.147551009;10076339.581991764;8526335.876413194;2910209.8260471094;3378136.870741755;7163793.633316958;8272246.877155956;0.0;-4104071.5130616226;-5670788.106611273;47781123.51034546
47;Hardenberg;14554398.041588731;10617923.862599872;15570137.84220921;26198240.837783504;21595653.765159324;7207611.003915567;10471821.378169408;17538003.98907295;21128517.096362717;0.0;-10470223.090039559;-14145570.23804037;120266584.8574013
48;Hellendoorn;8881077.103821134;5497712.8703227695;10667349.703509279;15561251.765930483;12555344.1730447;3966168.8028589403;5520177.827151356;11416532.96178826;10594145.924673455;0.0;-6073697.539182715;-8007902.425261978;70578202.37524934
49;Hengelo;24463844.859614983;22921866.01565187;25803473.99782843;41120083.080376886;29169652.67130188;12523295.306799805;14855793.990998687;29761282.67332299;22169530.38833593;0.0;-13787047.190374903;-19186010.142512903;189815882.120506
50;Hof van Twente;7812548.444354821;5005664.872278863;10674827.189715505;12858869.884858832;12304780.304989293;4275496.4047045745;4185365.839754468;9567041.593776138;12912629.805481955;0.0;-5938692.983601244;-7890416.723547319;65768151.54188742
51;Kampen;14759915.897411926;10050483.66612152;14845948.480708487;26987757.294519223;19233581.190438367;6690552.295255082;10114896.67523043;19907483.977335606;16584427.28931671;0.0;-9315314.38650506;-11950213.902430851;117909589.95234351
52;Losser;5140856.686695112;3796982.6909982515;6034575.89739431;9317866.139885196;8096802.60534168;2765862.6792968796;2997091.8777122647;5801366.551734306;6502816.844461046;0.0;-3913122.140450895;-4798086.928934995;41743040.753910884
53;Oldenzaal;8314260.507878137;6004453.3495438825;10427342.967047177;14854229.745527858;11204865.370676633;4203162.049038722;5680623.282986217;10475716.039038017;8988798.065048242;0.0;-5347419.926713734;-7868384.2325971555;66937689.97916742
54;Olst-Wijhe;4006789.6822033683;2544437.5623307037;4242180.8982999325;6399879.269385001;6451339.757346705;2069349.5599249;2287226.123504314;4456256.743556006;5921349.181667967;0.0;-3129224.715438289;-3901427.1531806113;31348175.066632546
55;Ommen;4424540.785461555;2802567.9498021016;5358659.824689591;6743764.576282415;6625756.682907619;2053963.7402783108;4088813.086308135;5392909.830873611;8080303.893359294;0.0;-3174952.0656312616;-5134929.293368258;37261416.06877443
56;Raalte;8815698.419759104;4796979.512861178;10168982.8679557;14506869.189204533;13333818.595939277;4359027.870787909;5952755.188100966;10463125.839595772;12310812.183061799;0.0;-6448728.8069390915;-9072789.176208843;69186591.28874615
57;Rijssen-Holten;9545554.86776663;4807528.040731027;9767661.454671325;15538282.609406088;13221148.176726084;4339093.876947407;6693531.014745655;12183308.18061706;10867769.912011936;0.0;-6447556.3109078;-8764002.662149096;71752357.63614912
58;Staphorst;3949218.7021647994;1719050.541043049;3379051.001281758;6603925.719118862;5922647.240711892;1765604.0617557121;2829768.1720600873;4801420.923193132;6573553.71585249;0.0;-2952680.2959634676;-4023903.175564669;30567671.64112519
59;Steenwijkerland;10782103.198966023;9304289.822671155;14071818.639034739;20918747.555055555;15870748.834387187;5940489.560954148;6900849.605190698;13450255.788307805;18988569.39364426;0.0;-7600455.021482588;-9832241.005351515;98795236.69646715
60;Tubbergen;4341663.928648071;2035424.1413625344;3978242.202018742;6373254.817288512;7321347.189523556;2338213.9271237464;2678616.9744496252;4876835.743032286;8285107.850245016;0.0;-3585828.2158472007;-5296465.971571386;33346429.78610309
61;Twenterand;7413312.48157317;6285756.102661974;8571766.376016462;15176986.373955255;11623667.506075336;3763408.532843751;4812554.426377399;8704628.300007535;9928124.81687574;0.0;-5672703.856700187;-6759623.680605432;63847921.093716815
62;Wierden;5532082.422410928;2655691.3736370513;5752592.633056238;7996695.117986805;8569796.983685859;2646044.1180835995;3200065.0581385405;6497592.809951919;7764135.171191309;0.0;-4164371.3134556385;-5500008.5759524815;40950336.11586418
63;Zwartewaterland;5066280.585348635;2826726.3065607864;4542511.432230687;8974009.640491832;7956066.2933969395;2567401.6052749627;3235937.892488956;6509885.8857478015;7911111.965995453;0.0;-3914127.136101983;-5621835.478440056;40053992.81229396
64;Zwolle;41106776.51031303;34902603.63579215;38118768.3770353;63737642.68559128;46664582.17656107;18953205.100450493;25898892.118594404;55017322.480846494;33871795.49609376;0.0;-22178769.61547579;-35369774.79093163;300723202.19147015
65;Aalten;6419258.950795265;4014095.1803892897;8409963.27591896;12496625.756419346;9497518.003298618;3286509.2370312177;3841415.2664770912;7697511.640202533;9029396.25244815;0.0;-4563355.002978458;-5832650.0443368;54296324.64368642
66;Apeldoorn;49007648.465739645;36521604.037178546;55168796.85562082;75002894.09925684;58978139.23622537;23411521.154604502;28008677.360765487;63003292.33862941;45381543.79699565;0.0;-28004400.467329692;-42873919.893379174;363605991.0266752
67;Arnhem;56641339.578780524;67279394.70362107;53669389.39534864;90978216.16980645;59133025.67704004;29574837.96829378;31585071.04196144;72033120.71776511;40374724.090302795;0.0;-27766383.743141897;-39063193.71850163;434439788.770053
68;Barneveld;14585668.889899842;6978594.265235363;12479664.935686942;20922937.55393913;21388277.524817146;7614830.06148767;12211965.243886981;17303666.250290103;19911366.719547372;0.0;-10327178.560961716;-17852807.694690377;105217032.8675035
69;Berg en Dal;7662094.2152961055;7668722.700300283;10698833.868106136;14543822.95207396;12394219.199316459;4436790.764440674;5396038.693367684;8419330.774333851;8943272.128147732;0.0;-5932830.501787252;-7574700.369998505;66655640.15347183
70;Berkelland;9896919.310814248;7250582.737058248;13643544.357007422;17959602.156920068;15369113.827697612;5223149.796300573;7862015.796612317;11520209.455977056;17038209.106168162;0.0;-7373660.766412297;-10563287.9425799;87826450.95606765
71;Beuningen;6090997.54249816;4017739.319047616;5509119.011121658;9201391.688651867;9206710.589374332;3240657.162206351;2848954.0590228136;6849462.651814437;6566697.750062016;0.0;-4450962.872751934;-5571026.805469692;43509766.12894202
72;Bronckhorst;7608490.522531597;4496053.334204063;10690078.1855999;12837499.058083698;12629643.558414822;4329475.094719177;4163124.65046339;8457177.807436146;14256286.217300292;0.0;-6076377.530348172;-9257940.757323943;64133548.664949946
73;Brummen;4726415.926177953;3402390.874234792;6238701.845917885;7475356.52005389;7409962.214124122;2619539.6971591692;2534776.3203685577;5123188.119161695;6301234.7328022765;0.0;-3535075.8824261874;-4902983.506432335;37393529.358251914
74;Buren;5659342.937760928;2630106.6589488084;5770816.122586751;8658202.854319006;9489998.419384714;3432893.1187938154;3162385.1052067974;6245419.45706705;10600560.573923215;0.0;-4643922.238322372;-6251463.8761017;44754363.87314521
75;Culemborg;7800138.854889995;5082024.4157831585;6618818.888725558;11196255.86778596;10362676.074676141;4246048.8317724615;5794849.060557303;9125589.208274126;8673912.188041657;0.0;-4979591.13552531;-6620318.603440931;57300434.48086064
76;Doesburg;2661949.400747558;2802228.1291210447;3802109.976459515;5547148.89977215;3898874.129055825;1671594.4062045328;1220360.772211006;3443960.112925426;2831520.408451355;0.0;-1856061.3998632764;-2179569.036965091;23844133.695259206
77;Doetinchem;15597469.400959032;14170452.559185602;17668755.205647077;28283327.694781058;20719936.643510107;7730047.256485503;11508557.144079605;19845388.17058732;15603484.250714814;0.0;-9915129.914714485;-13109129.219218323;128103237.96669714
78;Druten;4461802.901450411;3024034.4098718883;4281799.964855612;7124909.389469911;6762341.8183731185;2498039.169494107;3326808.417633113;4997119.101471552;5182003.512086351;0.0;-3267076.762565421;-4096320.042453805;34295482.22380036
79;Duiven;6102085.738929836;4519189.465194377;5854268.417731348;10001915.528818313;8643175.206483334;3014412.843286495;3461745.89831936;7090265.0822426975;6790805.556031357;0.0;-4176933.772354506;-6736413.943871096;44564544.560797915
80;Ede;33189244.71742591;19148789.562034544;30601623.75335974;46395387.59394401;42453406.299991965;16044696.103772182;19448190.11777737;41124928.19950791;33928809.20449566;0.0;-20436942.835103475;-31274488.04798294;230623757.33087605
81;Elburg;5300713.981216655;2936112.2248857017;5769123.6084743235;9567938.87096208;8283741.033232896;2745553.989433728;3738244.42890322;6354412.443418889;6025725.078418747;0.0;-4026184.2688831664;-5260986.0955485385;41434421.79653915
82;Epe;7646046.884458953;4900474.366958963;10811729.22176168;13261271.04706812;11640923.258639157;4179084.290646013;4424264.236225545;8574536.199294876;10329956.317963067;0.0;-5574884.178332239;-8709921.350015568;61483519.07843095
83;Ermelo;6725631.904262291;4210660.651623517;7836793.176413644;8845754.114783518;9916468.040337391;3428791.913105456;5122120.662446885;7957469.562258684;8606292.629877804;0.0;-4605564.863420023;-7702940.769342389;50341499.3220515
84;Harderwijk;13391395.682969593;9084418.721773133;12592225.16260885;20489808.899065197;17070369.164798018;6696231.729210846;8822446.721607273;16586784.309744647;12016875.439332154;0.0;-8191728.078370097;-12308298.597284725;96250583.17067398
85;Hattem;2764496.417586467;1358436.9622978251;3094255.555116372;4728426.461226517;4360456.149537724;1430754.1966491523;1377651.1212802741;3377021.7021168894;2984493.4091704423;0.0;-2104295.5842572227;-2630911.231942567;20740798.481513392
86;Heerde;4173798.572896815;2220586.7577474304;5359865.786398752;6868959.141626522;6630843.786795812;2115579.6078777895;2607325.977916196;4707191.38006748;5567234.976585582;0.0;-3218334.423761651;-4152449.244017436;32880621.691421833
87;Heumen;3659627.557501086;2463697.364459995;3953432.167289882;4771619.375269081;5851137.017416392;1998457.802782082;1631880.276951319;3977503.0241805394;4331020.486133097;0.0;-2818010.73948487;-3629952.4890753096;26190425.143431883
88;Lingewaard;10393036.056551408;6261721.228447788;10776298.99117583;17317359.514195118;16313472.247489823;5395028.474658614;6188331.663127492;11788477.418992829;11011684.38518377;0.0;-7909324.007030956;-9864685.53194981;77671451.01779932
89;Lochem;7727965.226396694;4673878.43951538;10947145.106200274;10818739.046941798;12090643.219078772;4427146.303738268;4104705.819577284;8959424.490166172;12796432.641517892;0.0;-5747576.110610312;-9381858.982887475;61416675.0135248
90;Maasdriel;5401113.785414658;2988527.2258932223;5468201.469432453;8829429.533098524;8880584.29706468;3179112.4967400976;2750400.2748772535;5805667.17596398;9408670.750512473;0.0;-4358335.676334698;-5828272.205265673;42525125.31272089
91;Montferland;8425318.692152089;5425866.626525601;11308873.389733262;16155912.418231644;12801121.37448325;4565430.945364514;5077951.104884298;9900673.206045527;11129872.173644507;0.0;-6177714.696809994;-7098746.429326475;71514607.73447397
92;Neder-Betuwe;5232033.379968496;3087245.488070863;4848874.204678763;10455132.238983966;8567024.192598648;2828695.6599689703;4239118.915622702;5738996.853544539;7636788.175587278;0.0;-4262525.990926459;-4869392.041317096;43502020.386505954
93;Nijkerk;10669568.322687535;5618063.663775181;9823054.097849168;14827638.191949774;15433446.030891396;5274742.354519223;6935275.163591549;12775022.619117122;12224724.84577774;0.0;-7533287.741965958;-12035195.914661689;74013089.35783733
94;Nijmegen;60016235.4583145;64874993.09913291;59599339.15265978;98456966.86225696;64971017.714995235;29611573.848556563;30769759.8470013;79311793.97519188;44617860.72863172;0.0;-30565299.548680764;-46887343.708401054;454777168.6362198
95;Nunspeet;6780565.088618023;3971704.8727383693;7652748.504201017;10978615.637790978;10024823.122261971;3294296.737758967;4811060.517270254;8107061.390174466;8421460.029783903;0.0;-4812426.684300822;-6834331.579648626;52395605.608561926
96;Oldebroek;5278667.668785236;3586223.5860066055;5861130.771564163;9988533.281465113;8320365.201166313;2735017.705673321;3189064.476531809;6010468.947619659;7019468.326321604;0.0;-4064206.643025108;-5148160.400523219;42776601.17611521
97;Oost Gelre;6927555.253639596;3753365.6170758526;7881857.493288474;10929935.916062966;10443014.63263676;3491504.705983142;4474936.070812954;8479094.143831894;10434555.90631045;0.0;-4999188.570611928;-7152569.114627164;54664091.743317
98;Oude IJsselstreek;9440794.253223212;7564223.834836079;13094233.074442906;19284837.829478193;13779174.414874114;4910055.341065198;5435483.733340662;10990866.436485745;12272914.14812559;0.0;-6635155.694147323;-8786796.615561623;81350688.8274229
99;Overbetuwe;10771153.35056369;6699743.148545528;9825733.585857166;16380489.031466678;16750707.976518191;5769017.915244591;7401851.158608468;11999662.439788267;13303995.71880775;0.0;-8158395.688353321;-11901125.257040033;78842878.05326591
100;Putten;5875380.753309679;2858794.5822985503;6839970.957966901;8914452.826426895;8733328.93082077;2894081.450570849;3086250.2984495787;6985687.144828516;7552116.758382935;0.0;-4171406.2913009217;-6516449.964965586;43052230.41113829
101;Renkum;7132271.342583959;6314476.620172913;9988568.190898849;11451172.3147805;11116501.120612765;4091298.3230989138;4677006.48069311;7828907.022052084;7020202.269234315;0.0;-5269700.181257947;-7565425.389325071;56785312.720550194
102;Rheden;10481234.977581548;10543732.55880452;15633938.66827761;20104109.765002664;15491843.544178328;6311836.182251556;6078563.431141609;11042942.183676286;11207863.922894826;0.0;-7297951.015573754;-9428115.10872406;90170064.53447597
103;Rozendaal;374909.265255739;57123.506204548816;293820.49358007277;257952.56919978413;600323.6273504868;280058.25983528694;594600.5331251272;372848.2335677558;621707.8073387967;0.0;-293794.03453822207;-548435.5538152193;2611115.1161167016
104;Scherpenzeel;2222602.318921257;991956.7432268102;2121847.7939011743;3096631.8324844185;3575037.047264528;1158143.9579361344;1175748.0562687598;2435625.791410942;2512498.73180111;0.0;-1739649.2820598006;-2187461.3852192964;15362989.584521005
105;Tiel;11932563.576900192;11406194.550364241;12275876.988868706;20022882.416018836;14804343.992103893;6337346.999208552;8428702.226912884;14228283.52146503;11660621.914751137;0.0;-7136146.548337712;-9927023.07577816;94033703.7986705
106;Voorst;5463994.10817556;3113719.175576146;6488136.5539871305;8427093.159008175;8749926.32235385;2886212.5212426865;3972665.272810378;6036412.337652029;9206432.314498346;0.0;-4223498.6194758965;-6703568.400809731;43417548.33282888
107;Wageningen;11664918.381086346;6731489.548034289;10280587.495522924;13228198.709206648;14633121.940808184;6218342.548342887;5073198.494889054;13410255.320723685;9534848.127533061;0.0;-6860777.453186322;-10211108.642821541;73703111.93171175
108;West Betuwe;11355755.95837121;5816136.68416689;10903036.384520516;16485653.054731837;18006678.558398776;6315410.481850587;6887993.491527719;12978212.867886988;19162126.488229543;0.0;-8830570.979687618;-13009363.18570561;86071113.07014902
109;West Maas en Waal;4185608.860543242;2617668.866476475;4642676.253768402;7255248.295538525;6903149.221569261;2572511.026193116;2216875.1541006137;4585089.7795569515;7857658.339182023;0.0;-3360876.455013949;-4519318.58884172;34956312.58411749
110;Westervoort;3566784.5030237557;3542033.2408703016;3256860.3214276144;6492559.678468304;5260675.46733591;1977618.2077299282;1752179.3254143202;3771431.6720846444;2825832.7991371267;0.0;-2531586.680568778;-2562937.0924738226;27351471.62182166
