;Gemeenten;Sociale basisvoorzieningen;Participatie;Individuele voorzieningen Wmo;Individuele voorzieningen Jeugd;Bestuur en ondersteuning;Orde en veiligheid;Onderwijs;Sport, cultuur en recreatie;Infrastructuur, ruimte en milieu;Overig;Overige eigen middelen;Onroerendezaakbelasting;Totaal
0;Eemsdelta;11555039.826870674;14523638.054817727;17999847.117526844;25749056.35076622;16698853.717679173;6707707.586180281;7992389.361693313;14112943.547422418;21003859.14535529;0.0;-7828490.484367488;-11909547.51399208;116605215.41115804
1;Groningen;88556085.47153173;94261718.48641622;86464969.26019987;124593576.08634652;92934919.12622589;46362884.58614184;39192397.540489174;115607739.24762225;91453877.34254855;0.0;-42307796.485841;-66570421.94229067;670549589.5610266
2;Het Hogeland;10555476.142545346;11528325.663307661;15589099.417010568;24356977.121940468;17550319.69416018;6954821.186814295;7772102.523103473;11448452.017622594;24513980.22903044;0.0;-8369643.176360866;-13127033.020582343;108772798.86926141
3;Midden-Groningen;15638814.657566927;18430200.693207763;21316813.62439488;33603284.51659891;22416248.120175168;9184077.123476557;9493114.69772562;18125982.32037581;21605312.910686113;0.0;-10662165.920183085;-13568330.810772117;145583246.61127084
4;Oldambt;9748619.383825148;14086211.599399086;15778430.748668466;23683364.79478513;14431553.972064858;5683939.167237789;7208104.817974444;12236770.601652237;16668122.589340573;0.0;-6839038.433411293;-8721614.102479782;103964388.85160235
5;Pekela;2974732.3902044464;4174099.016038058;4647359.213558466;8354697.104155428;4526482.022490858;1579044.095761398;1930740.2960132987;3619938.154161758;4235495.698230639;0.0;-2172420.8612454617;-1882752.7699634437;31987387.576702874
6;Stadskanaal;8116006.803684815;10756273.695374973;14236233.532505054;20639205.33938354;11684491.862544205;4429274.845566992;6373783.263701575;9971201.192036092;10885157.427131003;0.0;-5556100.427523428;-6189141.506446728;85346320.51804698
7;Veendam;7379179.342221445;9081579.382049292;10860254.227421615;16396721.43035121;10030780.63409924;3779347.0881263856;5284394.528683992;9151283.11751224;9085638.565174049;0.0;-4776305.994183896;-5468994.2942022905;70803828.0735581
8;Westerkwartier;14539176.247588689;11082541.610295117;16863154.27828477;27186259.698671587;23235816.693162285;8144469.619890168;9134450.688810395;16743642.06369281;24692678.962524503;0.0;-11263195.994500622;-13953466.182514332;126405448.51520443
9;Westerwolde;6333158.8589105755;5701966.694181503;10125466.619803939;13825056.359650902;9573488.303435346;3918930.1692782897;4714337.921636702;6806660.12297833;13152247.083128983;0.0;-4593202.693691858;-5959124.340837272;63598941.601297416
10;Achtkarspelen;6240322.269239639;6907695.88508594;8216861.762138365;14655427.06524566;10116955.957040781;3624561.384583499;4361548.277665389;7296014.554650373;9466882.961388325;0.0;-4898837.6799302045;-5340019.415828329;60647367.916898474
11;Ameland;836066.9788288531;362951.5640974714;1294936.91896366;1510807.035976228;1644653.7505253009;1057190.9580855567;634010.4336423468;892299.8962901195;2992588.442316232;1404136.6008534464;-666287.7438240728;-2146226.1835217583;9817123.957402112
12;Dantumadiel;4192209.790128736;5105732.796774563;6123775.669895872;10123103.771371225;6855879.811131479;2412361.409886595;3284154.0669888323;4798809.891950617;6010147.016724345;0.0;-3321025.261138156;-3654115.343125512;41931001.86338983
13;De Fryske Marren;12445550.708662558;8900399.346357903;17636548.638945803;23111459.24784065;18970288.47299518;7471715.969411076;7290253.137467375;14227569.915473219;24887866.892234977;0.0;-9012674.198818017;-13285342.731835954;112643568.35371274
14;Harlingen;4298766.7170421975;5079673.916955251;6946208.208569565;9963134.75179188;5974118.773864228;2325430.7443161597;2500159.974697262;6660069.98338848;6790104.745651747;0.0;-2816666.7861462175;-3952517.575347701;43768452.74255611
15;Heerenveen;14018417.130590208;13842284.324779361;18507434.10643679;26853204.749579646;18861803.154559247;7442025.787565235;9045827.976045577;17443508.484676212;19204063.80807074;0.0;-8988029.01484091;-13642575.809104143;122587887.23494749
16;Leeuwarden;41338246.77763519;51194421.45660641;46678479.215721264;70991599.44399585;48237861.158031784;21638310.80200641;22368380.00036338;52506118.85473181;48429710.12120952;0.0;-22355958.3984262;-30558848.271916755;350468117.81295794
17;Noardeast-Fryslân;10416850.837290637;11031749.277491838;14930690.346198903;24299162.772283815;16635228.50863852;6247076.735169893;8410897.175518854;12713732.626114441;21657108.498865306;0.0;-7960394.283757793;-10150534.508416802;108231492.41175608
18;Ooststellingwerf;5880806.504019324;6301695.470514191;8881766.876253221;12533873.991651488;9386720.702388454;3510413.2201536037;4193525.229447488;6714351.930376418;11336145.079624537;0.0;-4481952.251301747;-5508052.944680989;58749254.6469445
19;Opsterland;6678971.190374145;5954835.853798979;8662464.598605666;12883027.415104715;10840423.74343214;3811379.0194757376;4732939.297267122;7486198.002376011;12190696.279063245;0.0;-5216968.817121326;-6463645.611500973;61560282.22292411
20;Schiermonnikoog;214016.41993285384;95751.00880498663;367858.871706672;265181.43704419927;467969.3978073127;305678.07243361685;218695.82845403173;219433.61307680863;1360499.6397574544;385061.9168219357;-168698.01692421868;-664677.8303793783;3066769.4562977995
21;Smallingerland;16015565.988051374;17996437.457822125;21471877.397470012;31737129.473087654;20671034.005301915;8054768.135483112;12602846.3339365;20392301.18735655;17586435.97878717;0.0;-9833948.906839816;-13782437.415156033;142911919.3029523
22;Súdwest-Fryslân;23130332.309675753;22328787.31904258;32762769.80755535;45256321.52496411;33115097.77691467;12694850.139400203;16298464.35977218;30235031.955909245;42398292.22837633;0.0;-15693254.513996722;-23591664.093832113;218934897.09914866
23;Terschelling;1222207.747945757;378079.2621971584;2013362.8785616169;1689401.8662157785;1990989.7215470464;1034571.2744859438;734109.2678096308;1302032.583350066;3431047.233297614;1731367.6103925272;-850085.2745047258;-2345407.4427871145;12331672.322193263
24;Tytsjerksteradiel;7394974.817597776;6793417.6663688375;10307348.134693481;14346799.188885892;11775202.109763084;4345501.459219514;4862457.410772826;8360349.679959167;12171671.157439796;0.0;-5657110.968319066;-6446036.619655899;68254531.26220852
25;Vlieland;312652.3806824455;173433.23120876183;538617.9670748162;795016.5977310141;528876.444573083;329424.0471587397;252027.0361748826;326048.81861853896;1446550.11778521;497173.5655212033;-217814.8264123329;-720765.6824054408;4261237.033931601
26;Waadhoeke;10757374.768568685;10724661.56208268;14838364.529482242;22984149.01750952;16964281.395457145;6558900.795359738;7313162.004111435;12861081.847138198;19833548.680664077;0.0;-8141762.008348877;-8848411.931741558;105845279.7092359
27;Weststellingwerf;6496329.384934878;5685620.380859036;10087778.244353814;13944380.870792191;9602911.529727735;3408318.444149221;4272325.077988686;7589188.947724912;12140385.421436777;0.0;-4597020.96170455;-5776774.623747816;62853400.42169292
28;Aa en Hunze;5615994.668400575;3714057.8147801743;7893001.76961118;8345045.876626691;9487261.062569538;3296441.8283979697;3386234.0663288017;6053177.387147711;12664833.321247548;0.0;-4485596.962067875;-5985525.246873391;49984900.981603496
29;Assen;20701108.218399264;20279623.800597068;23975379.69156236;36361095.76139169;25639991.19524714;9944560.750674047;12613589.406647095;27195235.81549993;17942575.50239867;0.0;-12097140.409004102;-15439235.465459017;167116684.12659094
30;Borger-Odoorn;5666161.346935579;4950989.348783003;8418222.608842013;11032051.411043406;9450458.200178593;3437908.740280588;3635886.8922779476;6125905.587147991;13438970.7438189;0.0;-4514928.202008152;-6180357.28058726;55461234.68867184
31;Coevorden;8484372.156931745;7892068.972485102;12413486.644866752;16262251.759705478;13073843.675864335;5064019.062794857;5592558.240514917;10117394.901323035;15772497.135524016;0.0;-6200346.352424183;-8362551.549115381;80109545.70885094
32;De Wolden;5368612.515895635;2932625.9864872415;7003608.399497656;8173956.730272299;8871476.25621524;3112945.5405207817;3046647.8423293857;5958206.663057959;10734882.241031967;0.0;-4266046.559067526;-5981627.886719805;44955264.69386397
33;Emmen;29043843.496763002;35190636.102525234;42581645.944510475;63300242.884081475;39684311.752818204;14923013.114325322;18994581.589586027;36301883.68596463;34274714.10209704;0.0;-18977832.66575594;-22431292.68848949;272885558.85952044
34;Hoogeveen;15505206.900597539;14196160.774510317;22134221.127919946;32273921.442769494;20550614.676944546;7765008.659517385;10385210.716396233;19464663.402025014;17707791.364650827;0.0;-9821799.872097826;-12621039.893855583;137539865.4599039
35;Meppel;9896588.482034694;7881180.456030734;11403346.24654365;17241292.223586515;13063708.618435945;4928963.607300241;6404954.81618581;12975882.96654672;10301123.425128136;0.0;-6215098.751017603;-8510599.2552706;79371295.25867075
