;Gemeenten;Sociale basisvoorzieningen;Participatie;Individuele voorzieningen Wmo;Individuele voorzieningen Jeugd;Bestuur en ondersteuning;Orde en veiligheid;Onderwijs;Sport, cultuur en recreatie;Infrastructuur, ruimte en milieu;Overig;Overige eigen middelen;Onroerendezaakbelasting;Totaal;index;0
11;Ameland;807735.4951400001;335211.9068507999;1179747.854628;1459258.0218663998;1573949.3853608;1008057.0253068;613802.244748;859171.852;2887369.2820336;1348924.3264;-640114.4064;-1925014.74626;9508102.694360398;;
12;Dantumadiel;4072618.9690900003;4857765.145690799;5653468.0650168;9847053.085948398;6593652.200634799;2305217.9041248;3171832.5741928;4639764.19536;5785571.762881399;0.0;-3199571.85324;-3280855.14654;40446547.40455381;;
13;De Fryske Marren;12016874.20654;8316072.656110798;16188336.521862399;22453095.699412;18204059.547744;7090000.341382;7012381.208677599;13706129.25808;23990093.1381552;0.0;-8666882.34832;-11717747.65646;108592476.73909003;;
14;Harlingen;4116469.85932;4845708.759530799;6365345.065833599;9688894.020002397;5719556.3379528;2190757.4462647997;2415721.4464432;6407463.456239999;6530718.908128799;0.0;-2698482.29448;-3548096.04408;42034086.3610444;;
15;Heerenveen;13458356.250990001;12558604.939159997;16980960.6852564;26130927.3056916;18036044.060185198;7041305.7443792;8768326.6697824;16713405.991239997;18446495.6172882;0.0;-8607705.10502;-11928860.319540001;117597936.10410698;;
16;Leeuwarden;39151573.31071;49006723.91426;42990228.8356156;68518519.454518;45693699.034326;20302409.202096;21304050.0307432;49792958.60616;46225679.3646494;0.0;-21182619.26158;-26766564.1705;335036852.49854827;;
17;Noardeast-Fryslân;10036379.96466;10501244.656450799;13917048.2111864;23622581.517477598;15931660.148107199;5920679.3804452;8125652.8345832005;12228226.356079997;20880970.547690406;0.0;-7636698.22552;-9122228.86402;104405589.0271628;;
18;Ooststellingwerf;5686465.902599999;5948699.000829199;8161407.045996399;12216619.732212;9006369.970304;3338881.34615;4107661.364984799;6472780.160279999;10926604.1633168;0.0;-4306936.43702;-5082054.296019999;56476535.52785519;;
19;Opsterland;6443006.389470001;5414841.40918;7975754.101268799;12530774.4076228;10389086.4552916;3610222.4773635995;4547505.969014401;7194968.245359998;11751085.254780198;0.0;-5009895.40884;-5906810.468119999;58940575.93292339;;
20;Schiermonnikoog;207660.87426;90611.0257892;331276.28021039994;260876.68507599997;450203.72583199997;290680.86678399995;216416.7717544;213335.58148;1315738.4627324;373644.38132;-163695.92372;-603259.8398399999;2983489.7627024003;;
21;Smallingerland;15250942.682500001;17067344.744410798;19915424.0933256;30710639.0474632;19657676.048970398;7580504.0917984005;12030785.6368336;19426386.734719995;16852035.222041596;0.0;-9351338.01308;-12110828.33788;137029658.43417156;;
22;Súdwest-Fryslân;22408581.179390002;21074776.179209195;30201777.232107602;44138224.241644405;31876044.410786796;12048204.1708868;15845691.670905603;29255124.489919998;40822991.90876059;0.0;-15149874.37418;-21238507.184839997;211283160.28811502;;
23;Terschelling;1183998.4206400001;352831.62736919994;1833747.8434016;1617157.7067631998;1914915.6842703999;982399.5419784;692013.6638744001;1259364.93172;3312637.8579532;1671825.8188799997;-821480.15488;-2103334.76508;11896082.336878402;;
24;Tytsjerksteradiel;7095726.96644;6448643.488249199;9424328.874637598;13894064.7045144;11231733.726096798;4120813.8443528;4649255.4033968;7983920.48972;11723516.115989998;0.0;-5402298.8756800005;-5800673.52936;65369072.16345361;;
25;Vlieland;310246.46114;164360.532;503083.20232519996;783633.4861880002;516582.06955599994;315197.97947400005;254842.95646880002;323281.63224;1399382.0330741997;491216.79866;-215205.12986000002;-657762.15466;4188862.4245322;;
26;Waadhoeke;10324955.355750002;10316514.591910798;13578198.4089696;22372182.3228316;16208629.8683652;6212170.9047412;7090955.543347199;12328409.868039997;19109357.845688593;0.0;-7787725.21828;-8001091.3378800005;101752626.25455223;;
27;Weststellingwerf;6265411.906250001;5246568.477469199;9276353.8569324;13511715.788118798;9201930.0325036;3230023.4877315997;4139347.3646336;7300934.225479999;11698108.3859262;0.0;-4411955.20682;-5231594.50764;60226884.2311894;;
28;Aa en Hunze;5364098.230470001;3529940.7473091995;7130092.9711928;8079370.3762212;9061144.946036398;3105930.0717284;3248625.7592376;5751490.44596;12221160.6166034;0.0;-4288099.73704;-5451428.52176;47752349.553694986;;
29;Assen;19817674.17378;19399902.560250796;21993849.071980797;35412899.519116;24487252.754272;9355996.894216;12177562.316970399;26105932.97592;17135058.2101244;0.0;-11571068.07444;-13679712.19368;160635444.12295842;;
30;Borger-Odoorn;5450506.97156;4610502.133050799;7669787.3189868;10644597.8675344;9033146.8390968;3259586.1282627997;3490481.459976;5865065.47116;12973905.0679028;0.0;-4320605.54674;-5580757.363460001;53096249.475936405;;
31;Coevorden;8145277.063560001;7420864.714059999;11360127.130239999;15850114.293003198;12522777.8323704;4777699.7760184;5463309.198603201;9720645.797799997;15197325.556991199;0.0;-5951063.622;-7609186.64008;76897938.03405437;;
32;De Wolden;5188824.71513;2849303.9854692;6377858.254874402;7943756.5128628;8512389.244791599;2951807.5145356;2963050.7633104003;5737215.5220800005;10353901.087735798;0.0;-4101066.30892;-5339548.18036;43437515.1897058;;
33;Emmen;27815183.04796;33458122.025829196;39264301.522418;61422505.6805192;37878281.4357024;14123795.835164402;18276240.7195312;34699808.2984;32913477.18626519;0.0;-18130740.4719;-20284919.04946;261436236.98063558;;
34;Hoogeveen;14870954.390180001;13451740.533839999;20398032.0824476;31393234.8983848;19664674.9202456;7348308.0590976;10030703.1624576;18659945.144119997;16989559.1372444;0.0;-9407181.32718;-11227670.765519999;132172390.37498958;;
35;Meppel;9393545.75754;7402700.614570799;10358673.8856608;16668665.2501656;12413338.8352232;4619506.160679201;6143397.769045599;12329510.7236;9858874.255470797;0.0;-5911723.25744;-7677525.750879999;75599009.65000398;;
36;Midden-Drenthe;7432116.37868;5399437.239730799;9124351.4530364;12458935.5921016;11891017.229375198;4123313.692565199;4485213.9608584;8418825.79888;15449706.262376402;0.0;-5665512.58602;-7447811.355459999;65669629.33992999;;
37;Noordenveld;7060391.502359999;5178567.15614;10261920.5179652;12330432.889152002;11061439.929624;3729702.9994699997;4318516.4236731995;8200793.559839999;11368632.430736002;0.0;-5266107.86786;-7648900.68642;60595424.95834239;;
38;Tynaarlo;7478924.66405;4580100.352239999;8217279.0911624;10031378.330206798;11999464.192119598;3994140.3209316004;3848422.7355616;8457437.472679999;11062319.640250199;0.0;-5766363.94432;-7492742.73432;56410385.385914214;;
39;Westerveld;4158622.36587;2918728.51816;6905384.068491999;7172282.528502;7008793.399454;2606678.737572;2694237.7976388;4464111.544199999;10327601.4880598;0.0;-3310591.6956;-4719132.74666;40226738.076814584;;
40;Almelo;22193677.443630002;24713944.809789196;25430328.1737428;42479246.262054;25879911.293277998;11364718.688008;15753276.359340798;28345902.863599997;20698412.457143396;0.0;-12327036.52054;-17181001.1509;187351501.27213624;;
41;Borne;5794954.64254;3360628.7014999995;5726482.279632799;8824485.654292;8437085.142864;2749839.2920040004;2745109.42524;6851447.126159999;5581376.3666248005;0.0;-4088063.98504;-4952299.9326;41031068.0300776;;
42;Dalfsen;6458399.4550600005;3196077.2543307994;6973626.1400064;10315655.7998592;10154745.1433624;3195106.6414624;3680076.737946;7500464.048279999;10173451.4954492;0.0;-4936215.57352;-6809686.37372;49901727.886208415;;
43;Deventer;30255007.17953;27553725.296269197;30572790.3013932;51434839.5511804;36001337.910078794;15181307.4997248;16696501.5748608;39179206.56832;26611085.8960002;0.0;-17133228.85526;-23306935.52526;233045778.79542345;;
44;Dinkelland;5679924.79516;2659770.1701199994;6093362.1078595985;8181906.499967201;9161649.977558399;3057611.9482664;3035060.7132719997;6675858.02016;10095016.970312398;0.0;-4457963.42978;-6253733.90728;43928485.74302399;;
45;Enschede;50439825.01810001;58269508.596770786;53358882.238942;86495601.59419198;57289865.533824;26913064.348044;29190168.225792002;61815798.945319995;43668572.530906394;0.0;-26877303.7281;-34924651.7508;405639583.83887124;;
46;Haaksbergen;5949219.25696;3493588.7789907996;7481589.7918944;10012646.832109598;8493943.7298912;2900352.9501632;3298507.8241079994;7131244.75168;8279848.384435601;0.0;-4084396.66292;-5509256.5412;47447317.206432804;;
47;Hardenberg;14440948.64758;10237115.465950798;15320823.4507748;26377437.256150395;21523169.3535488;7235556.094734799;10512517.307941599;17460075.16736;21119888.199636802;0.0;-10420029.01814;-13761378.45246;120046194.567584;;
48;Hellendoorn;8819616.39965;5345531.679149199;10498507.117949199;15839408.988650799;12505772.559047598;3982947.6356656;5563524.4067872;11363519.17484;10652321.799407398;0.0;-6044580.33606;-7778428.98554;70748182.74784099;;
49;Hengelo;24336737.06674;22507922.279639997;25732982.2857492;42205604.081978396;29092191.9751848;12656726.7715308;14956806.336248;29617874.284039997;22498765.664160803;0.0;-13720952.31906;-18673027.36486;191211752.013498;;
50;Hof van Twente;7763887.63157;4995291.362319999;10487520.749705998;13132658.937756399;12261557.195470799;4285445.0541308;4214117.8639672;9528206.251759999;13109230.596723797;0.0;-5910222.9893000005;-7673931.23004;66193799.38430899;;
51;Kampen;14660812.165089998;9878888.288049199;14694217.3243208;26802355.2539596;19171861.129341196;6688939.061137199;10198696.10718;19825959.20984;16807702.706584997;0.0;-9270656.92644;-11626325.78648;117832519.30611101;;
52;Losser;5106593.304750001;3764867.277639999;6126786.7435264;9620291.6349876;8067756.8180972;2788032.3084012;3013431.3333152;5773554.89788;6539386.6615293985;0.0;-3894362.69852;-4663540.55324;42242826.75213099;;
53;Oldenzaal;8257741.13724;5822669.975779999;10266545.009489998;14772744.964751199;11159592.7418864;4201283.7167224;5649169.3890688;10430783.12444;8991812.4961364;0.0;-5321784.4855;-7642662.870639999;66587937.6702792;;
54;Olst-Wijhe;3987509.1849599998;2504081.7252892;4230139.387230399;6676683.4528408;6441089.179957598;2096985.3867115998;2316673.7384671997;4431127.760079999;6081885.627137598;0.0;-3114223.26572;-3800435.57666;31851535.843420386;;
55;Ommen;4409343.49226;2777982.7901;5446416.720626;7057967.979888;6603668.136436;2072451.0155859997;4136569.1510079997;5368916.0042;8367442.737093998;0.0;-3159731.3993;-4990389.4845;38090655.419347994;;
56;Raalte;8752585.15698;4913414.653839999;10120801.010599999;15169272.4841952;13277413.9878744;4388722.7450864;5977184.0384648;10414605.324199999;12332292.732684398;0.0;-6417813.71;-8809484.33836;70119036.24256119;;
57;Rijssen-Holten;9491941.499809999;4619307.814939999;9664030.6820596;15408629.6093212;13181239.933716398;4348550.9570104;6663946.769787999;12131621.310479999;11064360.335231;0.0;-6416646.83478;-8522075.7623;71634944.34480661;;
58;Staphorst;3919208.2692700005;1746807.2977599998;3282597.8671415998;6558921.007758;5900938.6638859995;1767176.0808799998;2822110.6159063997;4773748.5289199995;6625787.3580906;0.0;-2938525.19688;-3910893.8679799996;30547891.509930592;;
59;Steenwijkerland;10694084.714879999;9003247.351809198;13901692.336907199;21158261.974724;15812056.176447999;6164774.795816;6949147.313628799;13386529.427319998;19058006.617425993;0.0;-7564018.56896;-9562829.11096;99001014.26089516;;
60;Tubbergen;4310147.235100001;2014908.4880707997;3964861.3850776;6696408.493796;7293557.313951999;2348934.84868;2696370.728688;4853023.59052;8306582.5620232;0.0;-3568637.81568;-5144673.49856;33771501.77588359;;
61;Twenterand;7362334.389900002;6035092.9647707995;8443067.1272724;15818265.854165599;11580541.278863199;3804445.7170971995;4874000.613658399;8663617.90308;10021730.8050356;0.0;-5645509.01082;-6571465.68054;64386168.1592772;;
62;Wierden;5493477.950800001;2594478.9291092;5649212.556226399;8276850.2460167995;8547630.574649598;2665237.1697896;3230253.1646;6466010.776679999;7798272.682337199;0.0;-4144407.38852;-5349996.93308;41227041.139396794;;
63;Zwartewaterland;5029471.666170001;2745372.0081507997;4696714.5249696;9301688.9163044;7921524.750806799;2588165.8269068003;3264672.7757896;6487736.377639999;7945150.688158601;0.0;-3895362.87728;-5462001.63864;40623158.0976806;;
64;Zwolle;40874574.12269;34885388.3921508;38151260.5923092;64665696.116798006;46531922.999506;19100300.026248;25898194.6322764;54796022.64163999;34131983.87547059;0.0;-22072444.96506;-34386331.741739996;302576728.6674028;;
65;Aalten;6374527.2815000005;4061724.5131091997;8246162.147456799;12808848.571607202;9456123.424238399;3300650.0250584;3868846.1290584006;7665438.56736;9068004.341482798;0.0;-4541478.35624;-5666898.966519999;54641985.0048832;;
66;Apeldoorn;48676077.34990001;36314009.12076;54640765.45832519;76619538.3794456;58768309.0119832;23578965.8184332;28344772.4311192;62647966.05564;45559679.89770119;0.0;-27870147.84386;-41644379.42966;365635757.12121344;;
67;Arnhem;56362250.91224;65429794.99332919;53473521.911404;93180708.0493352;58964283.4177544;29902846.453306403;32058863.849398404;71767512.33708;40822262.180266;0.0;-27633272.174200002;-37997795.00416;436331232.8371297;;
68;Barneveld;14487219.88161;6996073.704479999;12374046.546945998;20990411.2521012;21355117.536936395;7676676.3275524005;12274138.3246664;17216299.814;20008622.916288998;0.0;-10277670.2413;-17367480.16104;105733503.97258541;;
69;Berg en Dal;7612884.88184;7608716.989579999;10345842.880323999;14778471.564640002;12358896.31606;4461382.497334;5417335.8115128;8376161.572799998;8996451.9446704;0.0;-5904388.6132000005;-7368868.20578;66682934.2975392;;
70;Berkelland;9833235.11653;7006850.742749198;13350817.6633384;18229740.912966803;15305794.035159599;5231545.880727599;7128339.860056801;11465947.892560001;17250174.513565004;0.0;-7338311.56212;-10260316.710439999;87203872.5097774;;
71;Beuningen;6045632.48639;4052511.0901799994;5336421.994895599;9122320.2052724;9178452.6874628;3251171.9190608;2844615.9649040005;6824381.950119999;6537724.578340199;0.0;-4429625.03158;-5415232.194300001;43348401.37847582;;
72;Bronckhorst;7564753.728770001;4343963.975229199;10621655.5266444;12744065.637578797;12584828.286623599;4321529.0575716;4171246.5072488;8419216.487079998;14392623.938695801;0.0;-6047247.47942;-8989496.85364;64127176.9705862;;
73;Brummen;4707734.3411;3286539.18796;6255482.761485999;8136558.930612;7392934.206784001;2665399.2617;2592552.5065384;5116005.843199999;6342672.8659672;0.0;-3518128.7883;-4769758.77112;38208017.3567596;;
74;Buren;5619689.420310001;2531989.0859507998;5523943.78977;8603143.4117804;9452931.4162388;3428465.8919308;3162998.938372;6217535.824639999;10658534.996288199;0.0;-4621659.3535;-6069034.19108;44508563.75228899;;
75;Culemborg;7760291.879059999;5014681.943350799;6416467.177878799;11066332.2010752;10341246.7349744;4268373.578176401;5767619.0797232;9095481.16092;8706231.779730799;0.0;-4955719.05934;-6442835.36046;57038201.48639561;;
76;Doesburg;2648543.05254;2729824.6680907994;3789894.1356332;5503937.058239199;3887674.6928824;1674979.3508084;1218550.0502224;3437217.7711199997;2891808.7335592005;0.0;-1847163.47326;-2122172.17434;23813111.5984696;;
77;Doetinchem;15510465.61246;13820624.203399997;17433598.457114;28411856.9021224;20662709.4691528;7789592.8735968;11534675.6244328;19769374.74764;15785422.0659436;0.0;-9867596.9497;-12758544.33672;128092258.0344344;;
78;Druten;4433333.90409;3069541.2019692;4303821.902646;7446785.3416572;6736748.8767684;2516932.1244844003;3217870.6104943994;4975745.244399999;5209762.924534001;0.0;-3251414.4523;-3981057.85084;34678091.41402761;;
79;Duiven;6058716.30616;4344502.050870799;5711947.9820564;9600588.889136001;8601969.069791999;2984870.2049459997;3411965.9047208;7059066.13188;6871867.3022412;0.0;-4156909.62302;-6537889.622380001;43950721.585421205;;
80;Ede;33000487.829260003;18899379.344689198;30541297.034186397;47019301.102922395;42340372.6052328;16179431.505624799;19613780.347666398;40932271.38168;34135620.4070336;0.0;-20338968.47752;-30401666.85088;231921421.6292636;;
81;Elburg;5261685.045539999;2917124.1120307995;5720753.1155964;9893910.3794272;8246706.147758399;2760987.3310684;3766550.6271064;6327184.058719999;6071869.646371199;0.0;-4006882.80902;-5108378.31042;41851537.10524079;;
82;Epe;7576618.8290099995;4764337.2166908;10639478.528327597;13527193.6781548;11593944.268975599;4194638.8143296;4510970.551163999;8502894.68812;10334413.353593;0.0;-5548158.27818;-8450331.74546;61646039.820531435;;
83;Ermelo;6688142.6259200005;4126284.4898799993;7846212.911471199;9478421.785694398;9889599.993296798;3490485.5085408;5367144.0851672;7922067.293839999;8680810.741240397;0.0;-4583485.86416;-7490767.11012;51414941.25950279;;
84;Harderwijk;13323924.42178;8768795.3205692;12619644.673283199;20313142.30484;17020181.1248;6736704.740738;8948651.401485598;16527346.752559999;12207902.639967997;0.0;-8152457.07276;-11960741.06986;96353148.67105001;;
85;Hattem;2744687.13414;1416141.6978491999;3031348.9482835997;4705990.886452801;4341993.6604015995;1431537.3038316;1376653.5117496;3364027.40604;3015662.7836832004;0.0;-2094207.62698;-2553188.35218;20780660.584069606;;
86;Heerde;4148203.5896699997;2232884.54578;5350778.664660799;7188636.4718532;6605029.909780399;2133433.3579944;2691170.3500304003;4677133.811559999;5737346.6144442;0.0;-3202905.78244;-4031400.0129;33530332.143623408;;
87;Heumen;3641142.05847;2450926.6797092;3853032.6453527994;4733852.8619564;5829564.5580508;1996384.5125727998;1630458.4740080002;3956053.34096;4447161.7020809995;0.0;-2804501.24304;-3525515.33518;26208573.415039003;;
88;Lingewaard;10320354.355290001;6067623.287009198;10440714.220524;17243439.8610572;16239840.678608399;5391628.7575864;6155859.582376;11735694.9192;11168681.351742601;0.0;-7871406.8412;-9571795.09758;77320685.36635178;;
89;Lochem;7676200.2527;4532523.974999999;10677903.333260797;11095645.633156;12053928.512052;4349170.763266;4584886.0918;8942581.890759999;12681298.829432797;0.0;-5720022.32844;-9110907.40518;61763240.382905595;;
90;Maasdriel;5417799.963800001;3061641.0205107993;5785871.440243999;9574987.013054399;8851460.2964368;3235409.4049647995;2798164.8992024;5906267.536400001;9477413.909118399;0.0;-4337441.8892;-5663863.3768;44107738.95021161;;
91;Montferland;8377788.63432;5375524.3583692;11132169.9737304;16040120.093916798;12756192.203669598;4573172.3537556;5137453.9330856;9853123.712319998;11451123.587259999;0.0;-6148098.83772;-6907448.963099999;71641169.57101719;;
92;Neder-Betuwe;5196814.621110001;3103826.6468999996;4810751.8207056;10729141.6331204;8544019.2155388;2855917.6132928003;4285088.34124;5709768.02872;7691910.0817216;0.0;-4242091.51408;-4738344.18942;43946832.6758112;;
93;Nijkerk;10609533.72941;5480816.457479999;9556139.40463;15377196.439094;15400807.490277998;5353012.278166;7012060.6560088;12723696.198079998;12448079.3623382;0.0;-7497173.2885;-11697115.251759999;74767093.38396099;;
94;Nijmegen;59737806.00984;63483755.40975998;59244111.422216;98016264.4837152;64888481.6619144;29884595.078626398;30971484.770463996;79012458.1862;45246502.6288632;0.0;-30418770.020800002;-45651280.12696;454415679.86629516;;
95;Nunspeet;6685230.54948;3956616.8199599995;7515680.758093199;11483522.164856002;10006216.853191998;3447405.369632;4778363.7737332005;7909354.019839999;8585002.4911448;0.0;-4789355.99226;-6651356.523;52926710.6149712;;
96;Oldebroek;5250271.753649999;3538442.7254707995;5588599.2256808;9547948.617891598;8292449.0141052;2829129.1819391996;3160981.8775528;5979860.63696;7208022.245991;0.0;-4044722.90544;-5004406.15934;42346602.78493539;;
97;Oost Gelre;6881279.061860001;3754451.057669199;7801839.6118712;11553086.0452672;10414920.159218399;3535589.7350004;4465394.6513512;8440891.43856;10492297.462855604;0.0;-4975222.54516;-6964874.85806;55399683.945099205;;
98;Oude IJsselstreek;9383333.3405;7534862.044499999;12968834.4882236;19166614.392128;13727755.177696;4905798.445436;5382331.1759224;10938153.78432;12409290.142032;0.0;-6603346.86998;-8543627.6424;81270056.11301798;;
99;Overbetuwe;10694809.071730003;6527119.116669199;9771132.5951204;16636749.5312284;16689068.107574798;5803413.612194799;7565587.951440399;11944417.89128;13422469.456008201;0.0;-8119284.47722;-11558920.76564;79376607.7427902;;
100;Putten;5838104.17463;2756726.244330799;6737324.9666687995;8849316.3774764;8702956.8143308;2893209.8667248;3087186.7220488004;6952206.645159999;7668984.196256599;0.0;-4151408.63984;-6325326.96862;43009303.112248994;;
101;Renkum;7082324.289670001;6010405.019670798;9725018.9714692;11033231.9245652;11066631.1599844;4055776.2842743997;4652090.237541599;7792937.561639999;7003878.963411399;0.0;-5244437.32806;-7339192.18842;55838697.888609;;
102;Rheden;10410263.990699999;10359780.856770797;15163501.001683997;20057022.9164312;15413878.804066397;6301100.4469783995;6022597.221944799;11002936.364;11205672.628063198;0.0;-7262964.7622;-9148602.11816;89525252.51305479;;
103;Rozendaal;372364.44266;55869.71659079999;287199.9454968;256384.63048799997;597763.457676;279483.306046;627400.4254000001;371060.80536;646624.7056079999;0.0;-292385.59084;-530476.2109;2671290.0365756;;
104;Scherpenzeel;2204729.92516;1012681.5852691999;2164283.2368191993;3465710.7172576;3554906.977507199;1171864.1892551999;1201358.5590384002;2423949.4434399996;2527491.9299336;0.0;-1731309.43356;-2119896.77412;15875779.742132401;;
105;Tiel;11866725.166380001;11235340.1141492;12246609.7689488;20608097.014904004;14756917.710947998;6395493.014413999;8330850.526499201;14176152.07736;11738098.4177352;0.0;-7101935.9818400005;-9653907.425619999;94598499.95166042;;
106;Voorst;5433590.81587;3080267.3534891997;6408426.767778;8700908.1200692;8729298.735592399;2921782.5073164;3845684.170496;6014919.296399999;9259617.5268338;0.0;-4203251.2389;-6516078.5582;43675190.14276499;;
107;Wageningen;11610200.80724;6692915.642590798;10768394.823732;14090579.475476;14612040.113691999;6319861.478728;5160538.1872576;13344871.092559997;9595537.8806308;0.0;-6827887.0016;-9945041.14532;75422052.38643919;;
108;West Betuwe;11279902.857509999;5656898.483879999;10785927.204863999;16377980.733281998;17938482.965633996;6323235.530178;6905941.7803516;12924298.82268;19268685.998350605;0.0;-8788237.3712;-12631798.60148;86041361.2510782;;
109;West Maas en Waal;4168286.78721;2545345.5319907996;4639319.261878;7519303.008114801;6894795.509635599;2604603.1798556;2278569.5950808004;4565613.8374;8056196.628999401;0.0;-3344764.4699;-4402146.00788;35525145.71545301;;
110;Westervoort;3544175.08543;3474302.7035891996;3330161.9748208;6817927.974208401;5241327.996074799;2000350.4036207998;1775920.17204;3754426.27336;2854236.0646967995;0.0;-2519450.29644;-2492502.77366;27780897.012566794;;
111;Wijchen;10198180.64055;7399408.476989199;10995202.4946764;16526229.243756399;14392609.929490797;5015106.4261508;5522041.378616;12537803.698279997;11807927.8757678;0.0;-6924070.85902;-9450714.524840001;78019770.54594138;;
112;Winterswijk;7560954.26835;6086815.809059999;9879667.489151599;13654517.227274;10282120.208177999;3779493.4122539996;4697454.7126808;9197346.99352;10544019.2479174;0.0;-4876371.54438;-6405719.713719999;64400337.2469778;;
113;Zaltbommel;6625826.79752;3945189.3841107995;6116333.695642799;11312814.9357104;10315850.7005288;4054623.3378028;5466661.740002399;7744738.57192;11276948.135678401;0.0;-5059070.86454;-7179141.05702;54620807.507678404;;
114;Zevenaar;10638849.29352;8971023.7372;14137354.8748824;21289335.0287744;15673072.715456799;5925248.188932801;6145143.942531998;12470299.988720002;13001754.929385599;0.0;-7508341.95132;-9581021.56076;91162784.33595999;;
115;Zutphen;13399590.446340002;14443825.006379997;15987464.581732001;24754499.7344568;17158747.7182296;6958708.846955599;8835870.7535672;17764437.50788;12358818.7697548;0.0;-8086445.2746;-10722044.8079;112853545.16348605;;
116;Amersfoort;49513575.37455;33566804.5748308;36522587.3249748;63761397.6663132;56133088.10156039;25140768.336622402;30996112.361519203;62820887.11332;38739869.693088196;0.0;-26797956.21314;-41913873.041260004;328483416.6895649;;
117;Baarn;6037346.015120001;3744285.740969199;6768474.636117598;7797514.0806696005;8895691.064271199;3557750.4593931995;3342389.720812799;6331520.938119999;6411571.078164;0.0;-4168745.07168;-6661854.8225;42055966.640207596;;
118;Bunnik;3343096.34582;1403467.4109399999;2678037.7701672;3255763.6306720003;5492362.044624;1944954.768708;1663935.056924;3463455.5026399996;3862309.1864139996;0.0;-2671477.46796;-4312423.64308;20123487.876657207;;
119;Bunschoten;5064111.82403;2208255.1858107997;4073075.1042799996;7074780.4955996;7673197.9995412;2551565.0457752;2907273.8585687997;5680946.636399999;5554202.6916782;0.0;-3750670.35;-5557262.67334;33479494.046217784;;
120;De Bilt;10358581.993759999;5902027.066630798;10899216.4142848;13376804.7090608;15305066.2026976;5988700.8665456;7132624.426264401;10988506.550559998;10856979.641253198;0.0;-7315307.45064;-12654993.10064;70838243.4276812;;
121;De Ronde Venen;10224680.89531;4731053.7776908;9417749.3731384;12684503.3869652;15711224.462284397;5967718.9973464;5467872.2784112;10481925.75108;18853565.560444996;0.0;-7596691.07512;-12687581.26866;73256057.36021739;;
122;Eemnes;2087182.5921800002;897213.8220891999;1549368.2866256;2448733.0761824;3322349.5512928;1224183.9742888;1040998.5509056001;2146224.1763199996;2595342.065393;0.0;-1599952.62308;-2613138.34476;13098511.736473396;;
123;Houten;12759344.431890002;5554252.929259999;6847135.4354732;14162295.4013884;17415341.790114798;6309253.4063888;7442887.772544;14748179.159839997;13186505.216670798;0.0;-8431673.64326;-13399644.95162;76593908.78207198;;
