;Gemeenten;Sociale basisvoorzieningen;Participatie;Individuele voorzieningen Wmo;Individuele voorzieningen Jeugd;Bestuur en ondersteuning;Orde en veiligheid;Onderwijs;Sport, cultuur en recreatie;Infrastructuur, ruimte en milieu;Overig;Overige eigen middelen;Onroerendezaakbelasting;Totaal;index;0
0;Eemsdelta;11208990.432290003;13793770.692130798;16732607.349376798;25072071.508850805;16085229.510887599;6380172.1284336;7688342.430764801;13675758.800479999;20220985.000623405;0.0;-7567019.10524;-10234226.8091;113056760.01350778;;
1;Groningen;83224670.16934;89841191.13280918;79386965.9567684;120327503.1144144;87300303.5123968;43410566.4052508;37583771.740001194;108755151.79311998;86708754.1528852;0.0;-39698261.85962;-55935478.88842;640905480.5948076;;
2;Het Hogeland;10203211.843440002;10902087.455030797;14116271.030265598;23700055.391375996;16847990.805352;6612386.795392;7463480.110195199;11033442.39592;23640509.345061;0.0;-8051105.62508;-12050941.084;104417464.2533526;;
3;Midden-Groningen;15096979.39855;17375848.840249196;19604694.5515288;32660690.345295597;21521270.089393202;8716508.1556672;9130718.9718976;17482345.95016;20767103.3565786;0.0;-10260833.89884;-11572915.21374;140522511.43705422;;
4;Oldambt;9302270.68596;13169339.242530799;14745765.095896797;22908490.943212;13726598.330564;5358151.968792;6930526.758820001;11690458.62712;16037251.996836;0.0;-6508496.58424;-7533836.07596;99826593.88688757;;
5;Pekela;2842810.77332;3926753.5075999997;4315111.3496288;8091939.7641263995;4306918.9418808;1496190.8896648001;1838230.9145647998;3445514.9251599996;4073682.2071596;0.0;-2067702.88984;-1702817.60112;30566658.49997721;;
6;Stadskanaal;7850293.17702;10100484.774830798;13260546.810882;20141386.8367712;11232919.2610264;4199722.5829524;6185635.448734;9642604.4512;10459396.250113998;0.0;-5356790.7421;-5442900.62954;82273361.17458484;;
7;Veendam;7133371.004690001;8419931.9883308;10042032.6655152;15966487.8286676;9643957.705477199;3583102.5221152;5101186.304211199;8848861.716239998;8723132.957625799;0.0;-4603489.43936;-4691402.1780199995;68167220.971915;;
8;Westerkwartier;14055756.686790003;10293535.2112908;15400450.800011199;26459353.162124395;22293687.911966797;7734840.0334688;8837828.689956;16127428.69584;23780142.490269195;0.0;-10826268.29116;-12742227.80418;121414603.4573752;;
9;Westerwolde;6146783.591480001;5360294.605819999;9309540.0636364;13439912.1619672;9200933.8245384;3747133.3853884;4566511.6238952;6575226.298479999;12693365.011502;0.0;-4423623.95902;-5351208.30382;61264910.077669576;;
10;Achtkarspelen;6006649.50326;6487913.3507692;7599763.372182799;14252184.4054072;9677778.8685984;3433584.1270863996;4242936.7003408;7003553.5099599995;9108011.316546801;0.0;-4692338.65254;-4789720.54388;58330359.172399595;;
