;Gemeenten;Sociale basisvoorzieningen;Participatie;Individuele voorzieningen Wmo;Individuele voorzieningen Jeugd;Bestuur en ondersteuning;Orde en veiligheid;Onderwijs;Sport, cultuur en recreatie;Infrastructuur, ruimte en milieu;Overig;Overige eigen middelen;Onroerendezaakbelasting;Totaal
255;Bernheze;6910387.062600001;4083960.6726359995;7401848.142732001;10889851.408208001;11307316.952055998;3927610.889108;3779914.1374239996;7737584.9984;9815152.003704002;0.0;-5445143.4026;-10370541.245199999;50037972.79971199
256;Best;7812046.8878999995;4486388.128156;6786310.037068;10435145.255924001;10926128.167868001;4112719.2347839996;4060955.385128;8823218.3936;8154230.9141299995;1095744.0;-5226848.847399999;-11087280.962799998;50378784.85320999
257;Bladel;4506463.1244;2576177.798796;5470944.62226;6563623.458504;7459288.278448;2747674.928432;3503710.282568;4972695.87;8404724.551648002;325601.0;-3512968.743;-8677853.746199999;34340100.295384005
258;Boekel;2374787.9654000006;1392022.37814;2264475.9970879997;3397453.071268;3948483.456216;1351482.141414;1200610.6922000002;2657233.333599999;4213605.071116;-15461.0;-1890491.1134;-3740578.398799999;17153632.692608006
259;Boxtel;8281583.434900001;6481880.432844;9811814.972964;14088092.694668;11945291.569556;4600691.226199999;5589518.5164;9292229.852799999;9441226.57463;96839.82999999999;-5688213.720199999;-10460233.5146;63480763.42135002
260;Breda;57592992.5091;45276768.201735996;72724737.659148;82576888.22695999;67080835.0155;29768307.167902;32805237.99504;74436981.9768;53333295.354554005;-18981112.0;-31484971.896399997;-70307777.68999998;394822400.71285397
261;Cranendonck;4598782.8297999995;3747442.3995439997;6293661.444455999;7700274.2819799995;8146921.89052;2752519.3748139995;2851140.043512;5026062.537199999;8712685.358567998;-67948.0;-3488862.5958;-6873864.900599999;39398837.433552004
262;Deurne;7839861.264;5172707.851259999;9689259.89178;14284935.704772;11741290.629664;4089412.9509459995;5523237.888816;9508244.171999998;11816459.438083999;-1326981.0;-5554458.084;-11253762.274;61530249.23091597
263;Dongen;6363736.2159;4049136.5167639996;7009391.434419999;9948987.225724;9486151.443948;3410141.474916;3460664.1511359997;7118326.52;7002102.643386;0.0;-4535805.961;-7900699.049399999;45412161.69000998
264;Drimmelen;5929643.0168;2935503.6522239996;6960807.718572;9684259.206147999;9904526.314656;3563379.2984859995;3200451.182736;6404214.512399999;8558716.853823999;0.0;-4719447.929599999;-8615300.8008;43806782.75243599
265;Eersel;4374355.773400001;2044433.515004;4870198.310684;5861705.4793839995;7123042.872488;2555870.805104;2885327.355808;4849393.208799999;7415977.033904002;799247.0;-3381389.3562;-7584200.4608;31813977.279128
266;Eindhoven;90880761.7114;69906765.118724;108174329.868372;123256511.403352;88880054.481144;47757190.738404;44854074.273283996;112849154.89079998;71794757.095664;-49136863.0;-41251142.184599996;-99484579.3464;568481336.7184839
267;Etten-Leur;12088813.016299998;8150450.938776;12564171.399192;18361868.16968;15928628.36606;6160696.398250001;6982304.6882879995;14127897.966399997;12977087.595238;0.0;-7572845.700599999;-15449975.944999998;84319147.524814
268;Geertruidenberg;5022405.6425;3937677.9076039996;5917329.126959999;8942977.78134;7802712.826019999;2836512.2688559997;3038291.5370239997;6088062.190799999;6945872.758742;0.0;-3692927.8279999997;-8181507.159199999;38657434.132897995
269;Geldrop-Mierlo;9935012.5313;7420701.449259999;10955485.549128;15703510.582600001;14381494.45218;5476728.658922;5315776.594056;10794328.771599999;9743731.961566001;956795.0;-6818858.9854;-12251543.805;71613209.571506
270;Gemert-Bakel;6997019.992100001;4967347.366083999;7483675.65466;12955997.154644001;11045286.120948;3875281.7260399996;4843116.332168;8248119.3023999985;11466201.401341999;-1387147.0;-5262338.453;-10086182.226599999;55146415.356070004
271;Gilze en Rijen;6394040.0125;4502807.940699999;6267028.605488;10582482.335016;10232508.444452;3912761.9191819998;3517640.5921759997;6482700.8376;8734561.817678;316116.0;-4577322.103399999;-9759205.145599999;46606153.25336201
272;Goirle;5370232.1356;3673747.680464;5196956.909632;8109071.6585800005;8530087.04968;2977483.1772580002;4483167.253576;5795574.396399999;6091989.7084679995;3078682.0;-4072432.2425999995;-7374917.012599999;41859666.30960399
273;Halderberge;6971177.1028;5419076.117456;8806701.703927997;12169829.352052001;10952047.675584;4252096.94573;4383307.288432;7658217.279199999;9997595.13972;0.0;-5220152.6954;-11388014.157599999;54001919.23294402
274;Heeze-Leende;3531945.6258;1463240.5082999999;3975813.9425119995;4092733.644924;5973692.773527999;2069732.847538;3424983.065544;3855017.732399999;5763459.494092001;594463.0;-2813555.6665999996;-6146959.232599999;25784578.634648
275;Helmond;29024449.5706;27854663.258956;36130832.091584;50938551.435496;33779321.946952;14428210.054027999;18190134.077975996;36857443.3768;24772054.967640005;-9344894.0;-16049671.9212;-29355765.065799996;217225470.277324
276;Heusden;11389661.360000001;6652336.309096;12342224.976316001;18493541.2591;16081320.64336;5732151.6621739995;5751399.6267599985;14245170.6544;12459154.670379998;-2999616.0;-7704927.2988;-14361896.472;78080572.06618403
277;Hilvarenbeek;3315303.4942000005;1588587.855176;3726164.735376;4316064.1471959995;5718388.682712;1928415.2130420003;1716368.305952;3587684.3291999996;6633609.278772;0.0;-2671932.0518;-6167570.3763999995;23691095.688396003
278;Laarbeek;4872513.735100001;3078272.2978399997;5939123.142120001;8610299.291852;8104510.919563999;2851121.2241120003;2742124.4016960002;5354030.054;7315194.818662001;0.0;-3887116.2359999996;-7633389.459599999;37346710.20630202
279;Land van Cuijk;20820886.6297;14027672.717184;24760048.510452;35820026.94416801;32233846.814276002;11764734.104137998;13773176.230728;23604420.871999994;32176230.932162;5357358.16;-15354611.3436;-30204469.430399995;168779426.52142206
280;Loon op Zand;5281026.317100001;3148460.508796;6230873.096000001;8976626.053059999;8435610.28518;3090754.593724;2739504.4939119997;5751299.903999999;6503628.599269999;981324.0;-3992580.63;-8510611.315;38635943.35804998
281;Maashorst;14878613.3028;9826571.640556;17609398.594352;24925894.424760003;20853983.52896;7865205.394536;8693275.775832;17827287.930399995;19686748.733964004;1043844.15;-9913987.8436;-21920503.136799995;111376402.27399199
282;Meierijstad;20301272.1354;12309505.207544;21741098.283764;32307642.251036;29457583.104952;10725323.508965999;12443221.969552;23410658.662799995;27344328.46034;0.0;-14112809.9552;-32707069.535199996;143220844.51231202
283;Moerdijk;8334518.414000001;6076600.265179999;10008633.082655998;14521464.688428001;13401666.118256;5456168.435582001;5275575.687028;9727137.0584;17880275.009642;-2277019.0;-6376578.1458;-14321934.263999999;67706552.130634
284;Nuenen, Gerwen en Nederwetten;5507956.142200001;3175124.1818839996;6163785.357595999;5945665.297392;8507957.190504001;2920233.595156;2624863.847936;6134731.0872;6337034.854087999;693664.0;-4056361.4777999995;-8239658.729399999;35715010.15764
285;Oirschot;4093438.3676000005;1869982.7684839997;4465784.2046799995;5423303.986784;6799418.500128;2261712.1009;2420376.259888;4741465.483999999;7715902.610184001;0.0;-3227545.264;-8308614.539999998;28255239.584892
286;Oisterwijk;7331212.753900001;4137639.883904;8669355.194732;10191665.448600002;11633805.58254;4246965.587625999;4462715.109048;8540294.498;9592455.446273997;1270361.17;-5516290.0176;-12086407.389999997;52473801.87732599
287;Oosterhout;15499637.0207;10473713.505283998;17771345.518384002;25177430.509908002;20498261.081756;8455755.222568;9446948.172096001;18383482.476399995;17159074.399998;-353488.0;-9696697.711199999;-21236365.369599998;111579169.12445797
288;Oss;25502249.862499997;21991083.904276;32099235.386944;44747967.613676004;33277141.909172;13312693.342311999;16728623.165911999;30938237.1348;29904944.523756;-2652163.0;-15842091.209199999;-30242350.912399996;199765699.71628797
289;Reusel-De Mierden;2873337.7197000002;1435236.839904;2706575.393632;4225904.33172;4807870.04378;1779355.6716460001;1593958.739224;3179336.5763999997;5681676.8589940015;179.0;-2272841.3926;-4488582.114399999;21522019.214162
290;Roosendaal;22148753.583100002;19596808.362540003;26175521.483144;37456170.11666401;27519598.218828;12210776.264686;13512278.189000001;26262664.081199996;23521934.980054;-2636474.0;-12983671.324199999;-24832256.531999994;167952212.416962
291;Rucphen;5355989.0287999995;3946508.11918;6867494.78202;10285288.528964002;8377437.697248;2853449.219394;2799691.667256;6270608.245999998;6839300.433204;0.0;-4004298.8959999997;-7044146.1175999995;42547353.779628
292;'s-Hertogenbosch;49459727.88999999;41303262.28646;62106199.846112;72323198.97401999;57315534.21512;25280373.566502;26773689.400968;64927765.5592;44914067.579331994;-12593311.0;-26911332.676599998;-65214414.87759999;339684948.884688
293;Sint-Michielsgestel;6314016.33;3306137.0686439993;6391300.991504;8731114.906832;10464101.184864;3514951.955228;4100793.4156760005;6943507.110799999;7588453.038648001;1302105.0;-5037849.9572;-8793407.2118;44825247.341864005
294;Someren;4434632.982500001;2664148.9905;5095202.532308;7613064.533096;7170759.320612;2552877.699762;2586639.6594160004;5043237.0396;7559872.027754;-1659273.0;-3379547.9143999997;-6949331.269199999;32732304.74045799
295;Son en Breugel;3975865.7201000005;2107625.2735160002;4008670.008444;4900115.7436999995;6259912.4132199995;2034571.8038279996;2224432.319936;4486098.7047999995;5542263.827638;406162.0;-3006404.8441999997;-7689856.270799999;25249468.708837997
296;Steenbergen;5347275.745000001;4072623.8927359995;6969753.368116;10625782.91246;8653484.621399999;3198838.284522;3203868.289976;6177769.356;8705176.52673;-767185.0;-4097375.4088;-7942423.278599999;44147622.70609398
297;Tilburg;76259475.7071;71719618.259076;91454972.82897599;115457553.079316;82458322.42465201;40191447.977331996;40486821.092896;94271717.4888;70440351.38964199;-18799647.19;-38475419.7768;-85561041.2622;539904499.6071099
298;Valkenswaard;7951743.0753999995;6058644.35822;11365202.840524;14584173.376020001;11310894.050999999;4264709.357713999;4539382.4064960005;9351424.114799999;8936775.247252002;-1763577.0;-5309044.1132;-10495800.3114;60794571.865724
299;Veldhoven;12408826.843500001;6767762.15712;12386671.934532;17442229.971396003;16478212.564171998;6368889.931795999;6453355.988968001;14217015.036399998;11693930.932062;413534.0;-7839017.7425999995;-20067018.7286;76724440.95347397
300;Vught;7513979.662600001;4387536.087744;7625881.285995999;10148465.274588;11436192.575895999;4154380.7516899994;6034500.3550120015;8564764.733199999;8170361.3625799995;2512234.66;-5416517.3527999995;-12924896.814199999;52206909.099244
301;Waalre;4045259.0513000004;1923236.9032039999;3952093.2100079996;4576108.684148001;6327681.691796;2179861.9157519997;1821487.357736;4358465.7535999995;3805378.2167459996;1123567.0;-3011259.5544;-5972243.809999999;25129647.817661993
302;Waalwijk;12980634.361600002;9298237.428104;15764848.299331997;24131885.916372;17689561.941024;6895521.09645;8187715.818639999;15436563.008399999;15778541.232748;-2369953.0;-8420745.9476;-18969598.580799997;96403282.67807204
303;Woensdrecht;4934563.7324;3096269.3498199997;7054035.499428;8840962.7629;7910863.584960001;3023346.796934;2769332.7399280006;5469267.853599999;7040892.7338539995;-1217461.0;-3717703.5903999996;-7716959.725599999;37487437.253341995
304;Zundert;4843411.766000001;2943053.39056;5982144.688147999;8114345.584488002;7967786.149216;2672687.712628;2900570.38752;5406925.735599998;7555118.628536;0.0;-3775457.9014;-8429789.5868;36180820.92766
305;Beek;3630572.7045000005;2785242.568616;5095656.356639999;6533379.323816;5762130.763572;2145407.21923;1583998.717832;4014692.87;4375364.35351;427253.0;-2714452.6169999996;-5507777.628799999;28131488.168382
306;Beekdaelen;7471480.121800001;5586587.927695999;10843429.866435997;14598046.903916;12670862.966312;4554400.425266;3666043.0258880006;8183239.133199999;9672296.829608;499422.0;-6009126.8048;-8590899.222599998;63145829.41345998
307;Beesel;3183766.9302000003;2545497.288036;4478642.698304;6743394.149264;4792906.652888;1738094.7418799999;1757392.7930519998;3691750.9887999995;3750040.2998600006;-691495.0;-2242206.4971999996;-3295088.4444;26452717.325867996
308;Bergen (L.);2741875.4637000007;1982213.837716;3748367.424264;5434755.511092;4695230.837444;1878457.9743519998;1606658.122728;2943416.1008;5381807.3633779995;-287378.0;-2202029.5852;-3605931.5847999994;24317460.800549988
309;Brunssum;7174308.529700001;8304693.513599999;11371624.82432;17233260.673436;10082526.415091999;4030344.5372920004;3430447.4442000003;8541942.549999999;7292522.287218;165019.0;-4648803.526;-6479087.0512;66498855.69661799
310;Echt-Susteren;7408140.233100001;5365141.3334800005;10889454.886556;14435443.591715999;11473361.818492;4430489.448387999;4161890.2908479995;9368229.985199999;11596169.624809999;0.0;-5363785.1558;-9978712.267199999;63785868.519021995
311;Eijsden-Margraten;5481323.737500001;2861871.12874;6885281.314643999;7673465.890847999;9213133.116476;3148557.4931739997;2703605.371024;5927763.644799999;9011872.311697999;-841095.0;-4358190.5292;-7679881.9777999995;40027728.13176999
312;Gennep;3937953.5691000004;2940265.6560199996;4798787.017623999;6349713.563399999;6391530.877660001;2478240.097454;2494931.11792;4598482.219199999;5936276.89876;2426802.0;-2977946.1982;-5732929.505999999;33642126.04259601
313;Gulpen-Wittem;2941938.7464000005;2150622.6938199997;5186307.952764;5905246.7829;5103496.15496;1996818.188674;2311195.5720720002;3073813.4228;5868550.949736;-1988982.0;-2352693.0052;-4041536.763;26154798.209424
314;Heerlen;26741743.031600002;40727007.549035996;50087878.186675996;63428648.117616;31775100.863631997;14470155.271523999;19871179.811219998;34004758.691199996;24210426.443256002;-2184214.0;-14641303.751799999;-25087971.253799994;263403606.590364
315;Horst aan de Maas;9703980.714100001;5317206.654183999;11673999.788471999;16229496.154816;15558391.597732;5704960.816213999;5493262.482919999;11173170.6284;17068882.693178;-1933664.0;-7351872.684599999;-15939245.067399997;72698616.98264998
316;Kerkrade;12357186.345;16113705.613004;20000278.924276;31100918.519752;16450922.840184001;6880075.033679999;6538043.235448;15136999.2972;12669143.020911995;0.0;-7585233.5818;-10969386.8118;118692753.962448
317;Landgraaf;9467876.7498;10732511.414075999;14286382.529992;20431324.113152005;13288706.573144;4874532.186744;5032397.874416;11673261.116399998;8963213.657227999;1957311.0;-6212689.825599999;-8133640.237199999;86361251.24527197
318;Leudal;7585949.389900001;5008774.417283999;10138875.783696;12791114.597964;12766271.656987999;4741015.82278;5296330.286408;8312275.2431999985;13751250.68271;0.0;-6027541.2228;-10923343.439599998;63441012.19071401
319;Maasgouw;5182475.1079;3448018.91742;7638026.971996;8535013.598088;8771290.978796;3387808.4033899996;2339296.6191359996;6349226.119999998;8565747.282182;981346.0;-4085657.1427999996;-8195148.559599999;42917470.714045994
