Iv3naam	GFnaam
Beek (L.)	Beek
Groningen (gemeente)	Groningen
Hengelo (O.)	Hengelo
Laren (NH.)	Laren
Middelburg (Z.)	Middelburg
Rijswijk (ZH.)	Rijswijk
's-Gravenhage (gemeente)	's-Gravenhage
Stein (L.)	Stein
Utrecht (gemeente)	Utrecht
