Gemeenten	Provincie	Gemeentegrootte	Stedelijkheid	Inwonertal
Lopik	Utrecht	10000tot20000inwoners	Nietstedelijk	14704
Losser	Overijssel	20000tot50000inwoners	Weinigstedelijk	23362
Maasdriel	Gelderland	20000tot50000inwoners	Nietstedelijk	26020
Maasgouw	Limburg	20000tot50000inwoners	Nietstedelijk	24305
Maashorst	Noord-Brabant	50000tot100000inwoners	Matigstedelijk	58934
Maassluis	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	35303
Maastricht	Limburg	100000tot150000inwoners	Zeersterkstedelijk	122734
Medemblik	Noord-Holland	20000tot50000inwoners	Weinigstedelijk	46031
Meerssen	Limburg	10000tot20000inwoners	Weinigstedelijk	18600
Meierijstad	Noord-Brabant	50000tot100000inwoners	Matigstedelijk	83715
Meppel	Drenthe	20000tot50000inwoners	Matigstedelijk	35464
Middelburg (Z.)	Zeeland	20000tot50000inwoners	Sterkstedelijk	49956
Midden-Delfland	Zuid-Holland	10000tot20000inwoners	Matigstedelijk	19472
Midden-Drenthe	Drenthe	20000tot50000inwoners	Nietstedelijk	33987
Midden-Groningen	Groningen	50000tot100000inwoners	Weinigstedelijk	61554
Moerdijk	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	37711
Molenlanden	Zuid-Holland	20000tot50000inwoners	Nietstedelijk	45158
Montferland	Gelderland	20000tot50000inwoners	Weinigstedelijk	36882
Montfoort	Utrecht	10000tot20000inwoners	Weinigstedelijk	13929
Mook en Middelaar	Limburg	5000tot10000inwoners	Nietstedelijk	8043
Neder-Betuwe	Gelderland	20000tot50000inwoners	Nietstedelijk	25448
Nederweert	Limburg	10000tot20000inwoners	Weinigstedelijk	17499
Nieuwegein	Utrecht	50000tot100000inwoners	Sterkstedelijk	65426
Nieuwkoop	Zuid-Holland	20000tot50000inwoners	Weinigstedelijk	29463
Nijkerk	Gelderland	20000tot50000inwoners	Matigstedelijk	44975
Nijmegen	Gelderland	150000tot250000inwoners	Sterkstedelijk	182480
Nissewaard	Zuid-Holland	50000tot100000inwoners	Sterkstedelijk	86833
Noardeast-Fryslân	Fryslân	20000tot50000inwoners	Nietstedelijk	45812
Noord-Beveland	Zeeland	5000tot10000inwoners	Nietstedelijk	7857
Noordenveld	Drenthe	20000tot50000inwoners	Weinigstedelijk	31591
Noordoostpolder	Flevoland	20000tot50000inwoners	Weinigstedelijk	49729
Noordwijk	Zuid-Holland	20000tot50000inwoners	Matigstedelijk	45179
Nuenen, Gerwen en Nederwetten	Noord-Brabant	20000tot50000inwoners	Matigstedelijk	24015
Nunspeet	Gelderland	20000tot50000inwoners	Weinigstedelijk	28731
Oegstgeest	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	25746
Oirschot	Noord-Brabant	10000tot20000inwoners	Weinigstedelijk	19217
Oisterwijk	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	32941
Oldambt	Groningen	20000tot50000inwoners	Weinigstedelijk	39044
Oldebroek	Gelderland	20000tot50000inwoners	Weinigstedelijk	24264
Oldenzaal	Overijssel	20000tot50000inwoners	Matigstedelijk	31925
Olst-Wijhe	Overijssel	10000tot20000inwoners	Nietstedelijk	18682
Ommen	Overijssel	10000tot20000inwoners	Weinigstedelijk	18955
Oost Gelre	Gelderland	20000tot50000inwoners	Weinigstedelijk	29846
Oosterhout	Noord-Brabant	50000tot100000inwoners	Sterkstedelijk	57425
Ooststellingwerf	Fryslân	20000tot50000inwoners	Nietstedelijk	25837
Oostzaan	Noord-Holland	5000tot10000inwoners	Matigstedelijk	9720
Opmeer	Noord-Holland	10000tot20000inwoners	Weinigstedelijk	12180
Opsterland	Fryslân	20000tot50000inwoners	Nietstedelijk	30054
Oss	Noord-Brabant	50000tot100000inwoners	Matigstedelijk	94437
Oude IJsselstreek	Gelderland	20000tot50000inwoners	Weinigstedelijk	39613
Ouder-Amstel	Noord-Holland	10000tot20000inwoners	Matigstedelijk	14276
Oudewater	Utrecht	10000tot20000inwoners	Weinigstedelijk	10232
Overbetuwe	Gelderland	20000tot50000inwoners	Weinigstedelijk	48707
Papendrecht	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	32277
Peel en Maas	Limburg	20000tot50000inwoners	Weinigstedelijk	45276
Pekela	Groningen	10000tot20000inwoners	Weinigstedelijk	12404
Pijnacker-Nootdorp	Zuid-Holland	50000tot100000inwoners	Sterkstedelijk	57672
Purmerend	Noord-Holland	50000tot100000inwoners	Sterkstedelijk	93992
Putten	Gelderland	20000tot50000inwoners	Weinigstedelijk	24904
Raalte	Overijssel	20000tot50000inwoners	Weinigstedelijk	38500
Reimerswaal	Zeeland	20000tot50000inwoners	Weinigstedelijk	23255
Renkum	Gelderland	20000tot50000inwoners	Weinigstedelijk	31461
Renswoude	Utrecht	5000tot10000inwoners	Weinigstedelijk	5747
Reusel-De Mierden	Noord-Brabant	10000tot20000inwoners	Weinigstedelijk	13542
Rheden	Gelderland	20000tot50000inwoners	Matigstedelijk	43570
Rhenen	Utrecht	20000tot50000inwoners	Weinigstedelijk	20329
Ridderkerk	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	47477
Rijssen-Holten	Overijssel	20000tot50000inwoners	Matigstedelijk	38493
Rijswijk (ZH.)	Zuid-Holland	50000tot100000inwoners	Zeersterkstedelijk	57997
Roerdalen	Limburg	20000tot50000inwoners	Nietstedelijk	20702
Roermond	Limburg	50000tot100000inwoners	Sterkstedelijk	59981
De Ronde Venen	Utrecht	20000tot50000inwoners	Weinigstedelijk	45572
Roosendaal	Noord-Brabant	50000tot100000inwoners	Sterkstedelijk	77613
Rotterdam	Zuid-Holland	250000inwonersofmeer	Zeersterkstedelijk	663900
Rozendaal	Gelderland	minderdan5000inwoners	Weinigstedelijk	1754
Rucphen	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	23636
Schagen	Noord-Holland	20000tot50000inwoners	Weinigstedelijk	47450
Scherpenzeel	Gelderland	10000tot20000inwoners	Weinigstedelijk	10386
Schiedam	Zuid-Holland	50000tot100000inwoners	Zeersterkstedelijk	80628
Schiermonnikoog	Fryslân	minderdan5000inwoners	Nietstedelijk	982
Schouwen-Duiveland	Zeeland	20000tot50000inwoners	Nietstedelijk	34561
Simpelveld	Limburg	10000tot20000inwoners	Weinigstedelijk	10396
Sint-Michielsgestel	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	30135
Sittard-Geleen	Limburg	50000tot100000inwoners	Sterkstedelijk	92234
Sliedrecht	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	26184
Sluis	Zeeland	20000tot50000inwoners	Nietstedelijk	23243
Smallingerland	Fryslân	50000tot100000inwoners	Matigstedelijk	56098
Soest	Utrecht	20000tot50000inwoners	Matigstedelijk	47439
Someren	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	20061
Son en Breugel	Noord-Brabant	10000tot20000inwoners	Weinigstedelijk	18010
Stadskanaal	Groningen	20000tot50000inwoners	Weinigstedelijk	32135
Staphorst	Overijssel	10000tot20000inwoners	Nietstedelijk	17628
Stede Broec	Noord-Holland	20000tot50000inwoners	Matigstedelijk	22138
Steenbergen	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	24610
Steenwijkerland	Overijssel	20000tot50000inwoners	Weinigstedelijk	45376
Stein (L.)	Limburg	20000tot50000inwoners	Weinigstedelijk	24772
Stichtse Vecht	Utrecht	50000tot100000inwoners	Matigstedelijk	65771
Súdwest-Fryslân	Fryslân	50000tot100000inwoners	Weinigstedelijk	90883
Terneuzen	Zeeland	50000tot100000inwoners	Weinigstedelijk	54993
Terschelling	Fryslân	minderdan5000inwoners	Nietstedelijk	4928
Texel	Noord-Holland	10000tot20000inwoners	Nietstedelijk	13979
Teylingen	Zuid-Holland	20000tot50000inwoners	Matigstedelijk	38510
Tholen	Zeeland	20000tot50000inwoners	Nietstedelijk	26825
Tiel	Gelderland	20000tot50000inwoners	Matigstedelijk	42604
Tilburg	Noord-Brabant	150000tot250000inwoners	Zeersterkstedelijk	227707
Tubbergen	Overijssel	20000tot50000inwoners	Nietstedelijk	21408
Twenterand	Overijssel	20000tot50000inwoners	Weinigstedelijk	33867
Tynaarlo	Drenthe	20000tot50000inwoners	Weinigstedelijk	34592
Tytsjerksteradiel	Fryslân	20000tot50000inwoners	Nietstedelijk	32408
Uitgeest	Noord-Holland	10000tot20000inwoners	Matigstedelijk	13472
Uithoorn	Noord-Holland	20000tot50000inwoners	Matigstedelijk	31442
Urk	Flevoland	20000tot50000inwoners	Matigstedelijk	21829
Utrecht (gemeente)	Utrecht	250000inwonersofmeer	Zeersterkstedelijk	367947
Utrechtse Heuvelrug	Utrecht	50000tot100000inwoners	Weinigstedelijk	50429
Vaals	Limburg	10000tot20000inwoners	Matigstedelijk	10190
Valkenburg aan de Geul	Limburg	10000tot20000inwoners	Weinigstedelijk	16423
