Gemeenten	Provincie	Gemeentegrootte	Stedelijkheid	Inwonertal
Aa en Hunze	Drenthe	20000tot50000inwoners	Nietstedelijk	25845
Aalsmeer	Noord-Holland	20000tot50000inwoners	Weinigstedelijk	33279
Aalten	Gelderland	20000tot50000inwoners	Weinigstedelijk	27308
Achtkarspelen	Friesland	20000tot50000inwoners	Nietstedelijk	28226
Alblasserdam	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	20314
Albrandswaard	Zuid-Holland	20000tot50000inwoners	Matigstedelijk	26428
Alkmaar	Noord-Holland	100000tot150000inwoners	Sterkstedelijk	112304
Almelo	Overijssel	50000tot100000inwoners	Sterkstedelijk	74317
Almere	Flevoland	150000tot250000inwoners	Sterkstedelijk	226500
Alphen aan den Rijn	Zuid-Holland	100000tot150000inwoners	Sterkstedelijk	114966
Alphen-Chaam	Noord-Brabant	10000tot20000inwoners	Nietstedelijk	10455
Altena	Noord-Brabant	50000tot100000inwoners	Weinigstedelijk	58277
Ameland	Friesland	minderdan5000inwoners	Nietstedelijk	3839
Amersfoort	Utrecht	150000tot250000inwoners	Sterkstedelijk	161852
Amstelveen	Noord-Holland	50000tot100000inwoners	Zeersterkstedelijk	95014
Amsterdam	Noord-Holland	250000inwonersofmeer	Zeersterkstedelijk	931298
Apeldoorn	Gelderland	150000tot250000inwoners	Sterkstedelijk	168211
Arnhem	Gelderland	150000tot250000inwoners	Sterkstedelijk	167632
Assen	Drenthe	50000tot100000inwoners	Sterkstedelijk	69701
Asten	Noord-Brabant	10000tot20000inwoners	Matigstedelijk	17302
Baarle-Nassau	Noord-Brabant	5000tot10000inwoners	Nietstedelijk	7076
Baarn	Utrecht	20000tot50000inwoners	Sterkstedelijk	25065
Barendrecht	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	48690
Barneveld	Gelderland	50000tot100000inwoners	Weinigstedelijk	62592
Beek (L.)	Limburg	10000tot20000inwoners	Weinigstedelijk	16215
Beekdaelen	Limburg	20000tot50000inwoners	Weinigstedelijk	35896
Beesel	Limburg	10000tot20000inwoners	Weinigstedelijk	13394
Berg en Dal	Gelderland	20000tot50000inwoners	Weinigstedelijk	35474
Bergeijk	Noord-Brabant	10000tot20000inwoners	Weinigstedelijk	19196
Bergen (L.)	Limburg	10000tot20000inwoners	Nietstedelijk	13154
Bergen (NH.)	Noord-Holland	20000tot50000inwoners	Weinigstedelijk	29932
Bergen op Zoom	Noord-Brabant	50000tot100000inwoners	Sterkstedelijk	69694
Berkelland	Gelderland	20000tot50000inwoners	Weinigstedelijk	43933
Bernheze	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	32527
Best	Noord-Brabant	20000tot50000inwoners	Matigstedelijk	31223
Beuningen	Gelderland	20000tot50000inwoners	Matigstedelijk	26725
Beverwijk	Noord-Holland	20000tot50000inwoners	Zeersterkstedelijk	42866
De Bilt	Utrecht	20000tot50000inwoners	Matigstedelijk	43718
Bladel	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	20985
Blaricum	Noord-Holland	10000tot20000inwoners	Matigstedelijk	12724
Bloemendaal	Noord-Holland	20000tot50000inwoners	Matigstedelijk	23786
Bodegraven-Reeuwijk	Zuid-Holland	20000tot50000inwoners	Matigstedelijk	36569
Boekel	Noord-Brabant	10000tot20000inwoners	Weinigstedelijk	11293
Borger-Odoorn	Drenthe	20000tot50000inwoners	Nietstedelijk	26014
Borne	Overijssel	20000tot50000inwoners	Matigstedelijk	24639
Borsele	Zeeland	20000tot50000inwoners	Nietstedelijk	23121
Boxtel	Noord-Brabant	20000tot50000inwoners	Matigstedelijk	33979
Breda	Noord-Brabant	150000tot250000inwoners	Sterkstedelijk	188078
Bronckhorst	Gelderland	20000tot50000inwoners	Nietstedelijk	36119
Brummen	Gelderland	20000tot50000inwoners	Weinigstedelijk	21286
Brunssum	Limburg	20000tot50000inwoners	Sterkstedelijk	27770
Bunnik	Utrecht	10000tot20000inwoners	Weinigstedelijk	16108
Bunschoten	Utrecht	20000tot50000inwoners	Matigstedelijk	22619
Buren	Gelderland	20000tot50000inwoners	Nietstedelijk	27773
Capelle aan den IJssel	Zuid-Holland	50000tot100000inwoners	Sterkstedelijk	67925
Castricum	Noord-Holland	20000tot50000inwoners	Matigstedelijk	36366
Coevorden	Drenthe	20000tot50000inwoners	Weinigstedelijk	35725
Cranendonck	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	20841
Culemborg	Gelderland	20000tot50000inwoners	Sterkstedelijk	29944
Dalfsen	Overijssel	20000tot50000inwoners	Weinigstedelijk	29683
Dantumadiel	Friesland	10000tot20000inwoners	Nietstedelijk	19135
Delft	Zuid-Holland	100000tot150000inwoners	Zeersterkstedelijk	109577
Deurne	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	33180
Deventer	Overijssel	100000tot150000inwoners	Sterkstedelijk	103405
Diemen	Noord-Holland	20000tot50000inwoners	Zeersterkstedelijk	32977
Dijk en Waard	Noord-Holland	50000tot100000inwoners	Matigstedelijk	90076
Dinkelland	Overijssel	20000tot50000inwoners	Nietstedelijk	26739
Doesburg	Gelderland	10000tot20000inwoners	Weinigstedelijk	11079
Doetinchem	Gelderland	50000tot100000inwoners	Matigstedelijk	59623
Dongen	Noord-Brabant	20000tot50000inwoners	Matigstedelijk	27095
Dordrecht	Zuid-Holland	100000tot150000inwoners	Zeersterkstedelijk	122070
Drechterland	Noord-Holland	20000tot50000inwoners	Weinigstedelijk	20496
Drimmelen	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	28192
Dronten	Flevoland	20000tot50000inwoners	Weinigstedelijk	44354
Druten	Gelderland	10000tot20000inwoners	Weinigstedelijk	19590
Duiven	Gelderland	20000tot50000inwoners	Matigstedelijk	24872
Echt-Susteren	Limburg	20000tot50000inwoners	Weinigstedelijk	32041
Edam-Volendam	Noord-Holland	20000tot50000inwoners	Matigstedelijk	36917
Ede	Gelderland	100000tot150000inwoners	Sterkstedelijk	123532
Eemnes	Utrecht	5000tot10000inwoners	Weinigstedelijk	9755
Eemsdelta	Groningen	20000tot50000inwoners	Weinigstedelijk	45106
Eersel	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	20199
Eijsden-Margraten	Limburg	20000tot50000inwoners	Nietstedelijk	26034
Eindhoven	Noord-Brabant	150000tot250000inwoners	Zeersterkstedelijk	246417
Elburg	Gelderland	20000tot50000inwoners	Weinigstedelijk	23906
Emmen	Drenthe	100000tot150000inwoners	Weinigstedelijk	109346
Enkhuizen	Noord-Holland	10000tot20000inwoners	Matigstedelijk	18895
Enschede	Overijssel	150000tot250000inwoners	Sterkstedelijk	161738
Epe	Gelderland	20000tot50000inwoners	Weinigstedelijk	33168
Ermelo	Gelderland	20000tot50000inwoners	Weinigstedelijk	27856
Etten-Leur	Noord-Brabant	20000tot50000inwoners	Sterkstedelijk	45237
De Fryske Marren	Friesland	50000tot100000inwoners	Weinigstedelijk	51929
Geertruidenberg	Noord-Brabant	20000tot50000inwoners	Matigstedelijk	22060
Geldrop-Mierlo	Noord-Brabant	20000tot50000inwoners	Matigstedelijk	40733
Gemert-Bakel	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	31435
Gennep	Limburg	10000tot20000inwoners	Weinigstedelijk	17789
Gilze en Rijen	Noord-Brabant	20000tot50000inwoners	Matigstedelijk	27343
Goeree-Overflakkee	Zuid-Holland	50000tot100000inwoners	Weinigstedelijk	51867
Goes	Zeeland	20000tot50000inwoners	Matigstedelijk	39682
Goirle	Noord-Brabant	20000tot50000inwoners	Matigstedelijk	24327
Gooise Meren	Noord-Holland	50000tot100000inwoners	Sterkstedelijk	60370
Gorinchem	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	38671
