Gemeenten	Provincie	Gemeentegrootte	Stedelijkheid	Inwonertal
Gouda	Zuid-Holland	50000tot100000inwoners	Zeersterkstedelijk	75758
's-Gravenhage (gemeente)	Zuid-Holland	250000inwonersofmeer	Zeersterkstedelijk	566221
Groningen (gemeente)	Groningen	150000tot250000inwoners	Zeersterkstedelijk	243768
Gulpen-Wittem	Limburg	10000tot20000inwoners	Nietstedelijk	14054
Haaksbergen	Overijssel	20000tot50000inwoners	Matigstedelijk	24359
Haarlem	Noord-Holland	150000tot250000inwoners	Zeersterkstedelijk	167636
Haarlemmermeer	Noord-Holland	150000tot250000inwoners	Sterkstedelijk	163128
Halderberge	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	31183
Hardenberg	Overijssel	50000tot100000inwoners	Weinigstedelijk	62932
Harderwijk	Gelderland	20000tot50000inwoners	Sterkstedelijk	49387
Hardinxveld-Giessendam	Zuid-Holland	10000tot20000inwoners	Weinigstedelijk	18762
Harlingen	Friesland	10000tot20000inwoners	Matigstedelijk	16229
Hattem	Gelderland	10000tot20000inwoners	Weinigstedelijk	12624
Heemskerk	Noord-Holland	20000tot50000inwoners	Sterkstedelijk	39452
Heemstede	Noord-Holland	20000tot50000inwoners	Sterkstedelijk	27593
Heerde	Gelderland	10000tot20000inwoners	Weinigstedelijk	19226
Heerenveen	Friesland	50000tot100000inwoners	Matigstedelijk	51787
Heerlen	Limburg	50000tot100000inwoners	Sterkstedelijk	87461
Heeze-Leende	Noord-Brabant	10000tot20000inwoners	Weinigstedelijk	16807
Heiloo	Noord-Holland	20000tot50000inwoners	Matigstedelijk	24312
Den Helder	Noord-Holland	50000tot100000inwoners	Sterkstedelijk	56432
Hellendoorn	Overijssel	20000tot50000inwoners	Weinigstedelijk	36264
Helmond	Noord-Brabant	50000tot100000inwoners	Sterkstedelijk	95874
Hendrik-Ido-Ambacht	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	32689
Hengelo (O.)	Overijssel	50000tot100000inwoners	Sterkstedelijk	83058
's-Hertogenbosch	Noord-Brabant	150000tot250000inwoners	Sterkstedelijk	160757
Heumen	Gelderland	10000tot20000inwoners	Weinigstedelijk	16836
Heusden	Noord-Brabant	20000tot50000inwoners	Matigstedelijk	46026
Hillegom	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	22822
Hilvarenbeek	Noord-Brabant	10000tot20000inwoners	Weinigstedelijk	15961
Hilversum	Noord-Holland	50000tot100000inwoners	Zeersterkstedelijk	94435
Hoeksche Waard	Zuid-Holland	50000tot100000inwoners	Weinigstedelijk	90256
Hof van Twente	Overijssel	20000tot50000inwoners	Weinigstedelijk	35446
Het Hogeland	Groningen	20000tot50000inwoners	Nietstedelijk	48224
Hollands Kroon	Noord-Holland	20000tot50000inwoners	Nietstedelijk	49522
Hoogeveen	Drenthe	50000tot100000inwoners	Matigstedelijk	56591
Hoorn	Noord-Holland	50000tot100000inwoners	Sterkstedelijk	75645
Horst aan de Maas	Limburg	20000tot50000inwoners	Weinigstedelijk	43917
Houten	Utrecht	50000tot100000inwoners	Sterkstedelijk	50847
Huizen	Noord-Holland	20000tot50000inwoners	Sterkstedelijk	41193
Hulst	Zeeland	20000tot50000inwoners	Weinigstedelijk	27330
IJsselstein	Utrecht	20000tot50000inwoners	Sterkstedelijk	33421
Kaag en Braassem	Zuid-Holland	20000tot50000inwoners	Weinigstedelijk	29168
Kampen	Overijssel	50000tot100000inwoners	Matigstedelijk	56177
Kapelle	Zeeland	10000tot20000inwoners	Weinigstedelijk	13009
Katwijk	Zuid-Holland	50000tot100000inwoners	Sterkstedelijk	66966
Kerkrade	Limburg	20000tot50000inwoners	Sterkstedelijk	45311
Koggenland	Noord-Holland	20000tot50000inwoners	Nietstedelijk	23587
Krimpen aan den IJssel	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	29626
Krimpenerwaard	Zuid-Holland	50000tot100000inwoners	Weinigstedelijk	57785
Laarbeek	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	23220
Land van Cuijk	Noord-Brabant	50000tot100000inwoners	Weinigstedelijk	91722
Landgraaf	Limburg	20000tot50000inwoners	Matigstedelijk	37112
Landsmeer	Noord-Holland	10000tot20000inwoners	Matigstedelijk	11661
Lansingerland	Zuid-Holland	50000tot100000inwoners	Matigstedelijk	65594
Laren (NH.)	Noord-Holland	10000tot20000inwoners	Matigstedelijk	11439
Leeuwarden	Friesland	100000tot150000inwoners	Sterkstedelijk	128810
Leiden	Zuid-Holland	100000tot150000inwoners	Zeersterkstedelijk	130108
Leiderdorp	Zuid-Holland	20000tot50000inwoners	Zeersterkstedelijk	27736
Leidschendam-Voorburg	Zuid-Holland	50000tot100000inwoners	Zeersterkstedelijk	78229
Lelystad	Flevoland	50000tot100000inwoners	Matigstedelijk	84080
Leudal	Limburg	20000tot50000inwoners	Nietstedelijk	36006
Leusden	Utrecht	20000tot50000inwoners	Matigstedelijk	31681
Lingewaard	Gelderland	20000tot50000inwoners	Weinigstedelijk	47314
Lisse	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	23447
Lochem	Gelderland	20000tot50000inwoners	Weinigstedelijk	34289
Loon op Zand	Noord-Brabant	20000tot50000inwoners	Matigstedelijk	23850
Lopik	Utrecht	10000tot20000inwoners	Nietstedelijk	14724
Losser	Overijssel	20000tot50000inwoners	Weinigstedelijk	23376
Maasdriel	Gelderland	20000tot50000inwoners	Nietstedelijk	26197
Maasgouw	Limburg	20000tot50000inwoners	Nietstedelijk	24406
Maashorst	Noord-Brabant	50000tot100000inwoners	Matigstedelijk	59222
Maassluis	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	35832
Maastricht	Limburg	100000tot150000inwoners	Zeersterkstedelijk	125285
Medemblik	Noord-Holland	20000tot50000inwoners	Weinigstedelijk	46002
Meerssen	Limburg	10000tot20000inwoners	Weinigstedelijk	18576
Meierijstad	Noord-Brabant	50000tot100000inwoners	Matigstedelijk	84304
Meppel	Drenthe	20000tot50000inwoners	Matigstedelijk	35810
Middelburg (Z.)	Zeeland	50000tot100000inwoners	Sterkstedelijk	50004
Midden-Delfland	Zuid-Holland	10000tot20000inwoners	Matigstedelijk	19377
Midden-Drenthe	Drenthe	20000tot50000inwoners	Nietstedelijk	34092
Midden-Groningen	Groningen	50000tot100000inwoners	Weinigstedelijk	61433
Moerdijk	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	38091
Molenlanden	Zuid-Holland	20000tot50000inwoners	Nietstedelijk	45271
Montferland	Gelderland	20000tot50000inwoners	Weinigstedelijk	36873
Montfoort	Utrecht	10000tot20000inwoners	Weinigstedelijk	13868
Mook en Middelaar	Limburg	5000tot10000inwoners	Nietstedelijk	8153
Neder-Betuwe	Gelderland	20000tot50000inwoners	Nietstedelijk	25708
Nederweert	Limburg	10000tot20000inwoners	Weinigstedelijk	17492
Nieuwegein	Utrecht	50000tot100000inwoners	Sterkstedelijk	65971
Nieuwkoop	Zuid-Holland	20000tot50000inwoners	Weinigstedelijk	29501
Nijkerk	Gelderland	20000tot50000inwoners	Matigstedelijk	45361
Nijmegen	Gelderland	150000tot250000inwoners	Sterkstedelijk	187049
Nissewaard	Zuid-Holland	50000tot100000inwoners	Sterkstedelijk	87639
Noardeast-Fryslân	Friesland	20000tot50000inwoners	Nietstedelijk	45866
Noord-Beveland	Zeeland	5000tot10000inwoners	Nietstedelijk	7943
Noordenveld	Drenthe	20000tot50000inwoners	Weinigstedelijk	31686
Noordoostpolder	Flevoland	50000tot100000inwoners	Weinigstedelijk	50035
Noordwijk	Zuid-Holland	20000tot50000inwoners	Matigstedelijk	45734
Nuenen, Gerwen en Nederwetten	Noord-Brabant	20000tot50000inwoners	Matigstedelijk	24231
Nunspeet	Gelderland	20000tot50000inwoners	Weinigstedelijk	29072
Oegstgeest	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	25948
Oirschot	Noord-Brabant	10000tot20000inwoners	Weinigstedelijk	19280
Oisterwijk	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	32952
Oldambt	Groningen	20000tot50000inwoners	Weinigstedelijk	39405
Oldebroek	Gelderland	20000tot50000inwoners	Weinigstedelijk	24281
Oldenzaal	Overijssel	20000tot50000inwoners	Matigstedelijk	31794
Olst-Wijhe	Overijssel	10000tot20000inwoners	Nietstedelijk	18835
Ommen	Overijssel	10000tot20000inwoners	Weinigstedelijk	19031
Oost Gelre	Gelderland	20000tot50000inwoners	Weinigstedelijk	29969
Oosterhout	Noord-Brabant	50000tot100000inwoners	Sterkstedelijk	57924
Ooststellingwerf	Friesland	20000tot50000inwoners	Nietstedelijk	25824
Oostzaan	Noord-Holland	5000tot10000inwoners	Matigstedelijk	9694
Opmeer	Noord-Holland	10000tot20000inwoners	Weinigstedelijk	12199
Opsterland	Friesland	20000tot50000inwoners	Nietstedelijk	30059
Oss	Noord-Brabant	50000tot100000inwoners	Matigstedelijk	94634
Oude IJsselstreek	Gelderland	20000tot50000inwoners	Weinigstedelijk	39402
Ouder-Amstel	Noord-Holland	10000tot20000inwoners	Matigstedelijk	14447
Oudewater	Utrecht	10000tot20000inwoners	Weinigstedelijk	10223
Overbetuwe	Gelderland	20000tot50000inwoners	Weinigstedelijk	48919
Papendrecht	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	32178
Peel en Maas	Limburg	20000tot50000inwoners	Weinigstedelijk	45534
Pekela	Groningen	10000tot20000inwoners	Weinigstedelijk	12517
Pijnacker-Nootdorp	Zuid-Holland	50000tot100000inwoners	Sterkstedelijk	57932
Purmerend	Noord-Holland	50000tot100000inwoners	Sterkstedelijk	95168
Putten	Gelderland	20000tot50000inwoners	Weinigstedelijk	24978
Raalte	Overijssel	20000tot50000inwoners	Weinigstedelijk	38364
Reimerswaal	Zeeland	20000tot50000inwoners	Weinigstedelijk	23325
Renkum	Gelderland	20000tot50000inwoners	Weinigstedelijk	31419
Renswoude	Utrecht	5000tot10000inwoners	Weinigstedelijk	5753
Reusel-De Mierden	Noord-Brabant	10000tot20000inwoners	Weinigstedelijk	13577
Rheden	Gelderland	20000tot50000inwoners	Matigstedelijk	43661
Rhenen	Utrecht	20000tot50000inwoners	Weinigstedelijk	20235
Ridderkerk	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	47721
Rijssen-Holten	Overijssel	20000tot50000inwoners	Matigstedelijk	38675
Rijswijk (ZH.)	Zuid-Holland	50000tot100000inwoners	Zeersterkstedelijk	59642
Roerdalen	Limburg	20000tot50000inwoners	Nietstedelijk	20806
Roermond	Limburg	50000tot100000inwoners	Sterkstedelijk	60743
De Ronde Venen	Utrecht	20000tot50000inwoners	Weinigstedelijk	45813
Roosendaal	Noord-Brabant	50000tot100000inwoners	Sterkstedelijk	77559
Rotterdam	Zuid-Holland	250000inwonersofmeer	Zeersterkstedelijk	670610
Rozendaal	Gelderland	minderdan5000inwoners	Weinigstedelijk	1831
Rucphen	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	23920
Schagen	Noord-Holland	20000tot50000inwoners	Weinigstedelijk	47744
Scherpenzeel	Gelderland	10000tot20000inwoners	Weinigstedelijk	10343
Schiedam	Zuid-Holland	50000tot100000inwoners	Zeersterkstedelijk	81838
Schiermonnikoog	Friesland	minderdan5000inwoners	Nietstedelijk	972
Schouwen-Duiveland	Zeeland	20000tot50000inwoners	Nietstedelijk	34631
Simpelveld	Limburg	10000tot20000inwoners	Weinigstedelijk	10255
Sint-Michielsgestel	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	30094
Sittard-Geleen	Limburg	50000tot100000inwoners	Sterkstedelijk	92650
Sliedrecht	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	26261
Sluis	Zeeland	20000tot50000inwoners	Nietstedelijk	23150
Smallingerland	Friesland	50000tot100000inwoners	Matigstedelijk	56661
Soest	Utrecht	20000tot50000inwoners	Matigstedelijk	47682
Someren	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	20188
Son en Breugel	Noord-Brabant	10000tot20000inwoners	Weinigstedelijk	17959
Stadskanaal	Groningen	20000tot50000inwoners	Weinigstedelijk	32013
Staphorst	Overijssel	10000tot20000inwoners	Nietstedelijk	17739
Stede Broec	Noord-Holland	20000tot50000inwoners	Matigstedelijk	22217
Steenbergen	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	24476
Steenwijkerland	Overijssel	20000tot50000inwoners	Weinigstedelijk	45472
Stein (L.)	Limburg	20000tot50000inwoners	Weinigstedelijk	24744
Stichtse Vecht	Utrecht	50000tot100000inwoners	Matigstedelijk	65878
Súdwest-Fryslân	Friesland	50000tot100000inwoners	Weinigstedelijk	90421
Terneuzen	Zeeland	50000tot100000inwoners	Weinigstedelijk	55132
Terschelling	Friesland	minderdan5000inwoners	Nietstedelijk	4898
Texel	Noord-Holland	10000tot20000inwoners	Nietstedelijk	13815
Teylingen	Zuid-Holland	20000tot50000inwoners	Matigstedelijk	38470
Tholen	Zeeland	20000tot50000inwoners	Nietstedelijk	26851
Tiel	Gelderland	20000tot50000inwoners	Matigstedelijk	42370
Tilburg	Noord-Brabant	150000tot250000inwoners	Zeersterkstedelijk	229836
Tubbergen	Overijssel	20000tot50000inwoners	Nietstedelijk	21397
Twenterand	Overijssel	20000tot50000inwoners	Weinigstedelijk	34073
Tynaarlo	Drenthe	20000tot50000inwoners	Weinigstedelijk	34736
Tytsjerksteradiel	Friesland	20000tot50000inwoners	Nietstedelijk	32595
Uitgeest	Noord-Holland	10000tot20000inwoners	Matigstedelijk	13400
Uithoorn	Noord-Holland	20000tot50000inwoners	Matigstedelijk	31685
Urk	Flevoland	20000tot50000inwoners	Matigstedelijk	21958
Utrecht (gemeente)	Utrecht	250000inwonersofmeer	Zeersterkstedelijk	374238
Utrechtse Heuvelrug	Utrecht	50000tot100000inwoners	Weinigstedelijk	50550
Vaals	Limburg	10000tot20000inwoners	Matigstedelijk	10121
Valkenburg aan de Geul	Limburg	10000tot20000inwoners	Weinigstedelijk	16431
Valkenswaard	Noord-Brabant	20000tot50000inwoners	Sterkstedelijk	31714
Veendam	Groningen	20000tot50000inwoners	Matigstedelijk	27520
Veenendaal	Utrecht	50000tot100000inwoners	Sterkstedelijk	69440
Veere	Zeeland	20000tot50000inwoners	Nietstedelijk	22067
Veldhoven	Noord-Brabant	20000tot50000inwoners	Sterkstedelijk	46827
Velsen	Noord-Holland	50000tot100000inwoners	Sterkstedelijk	69241
Venlo	Limburg	100000tot150000inwoners	Sterkstedelijk	103789
Venray	Limburg	20000tot50000inwoners	Matigstedelijk	44662
Vijfheerenlanden	Utrecht	50000tot100000inwoners	Weinigstedelijk	61669
Vlaardingen	Zuid-Holland	50000tot100000inwoners	Zeersterkstedelijk	76409
Vlieland	Friesland	minderdan5000inwoners	Nietstedelijk	1255
Vlissingen	Zeeland	20000tot50000inwoners	Sterkstedelijk	45389
Voerendaal	Limburg	10000tot20000inwoners	Weinigstedelijk	12375
Voorne aan Zee	Zuid-Holland	50000tot100000inwoners	Matigstedelijk	74304
Voorschoten	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	25625
Voorst	Gelderland	20000tot50000inwoners	Weinigstedelijk	25377
Vught	Noord-Brabant	20000tot50000inwoners	Matigstedelijk	32356
Waadhoeke	Friesland	20000tot50000inwoners	Nietstedelijk	46911
Waalre	Noord-Brabant	10000tot20000inwoners	Weinigstedelijk	17988
Waalwijk	Noord-Brabant	50000tot100000inwoners	Matigstedelijk	50302
Waddinxveen	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	34000
Wageningen	Gelderland	20000tot50000inwoners	Sterkstedelijk	42579
Wassenaar	Zuid-Holland	20000tot50000inwoners	Matigstedelijk	27100
Waterland	Noord-Holland	10000tot20000inwoners	Weinigstedelijk	17525
Weert	Limburg	50000tot100000inwoners	Matigstedelijk	51079
West Betuwe	Gelderland	50000tot100000inwoners	Nietstedelijk	52948
West Maas en Waal	Gelderland	20000tot50000inwoners	Nietstedelijk	20330
Westerkwartier	Groningen	50000tot100000inwoners	Nietstedelijk	64896
Westerveld	Drenthe	20000tot50000inwoners	Nietstedelijk	20003
Westervoort	Gelderland	10000tot20000inwoners	Matigstedelijk	15151
Westerwolde	Groningen	20000tot50000inwoners	Nietstedelijk	26465
Westland	Zuid-Holland	100000tot150000inwoners	Matigstedelijk	115941
Weststellingwerf	Friesland	20000tot50000inwoners	Weinigstedelijk	26487
Wierden	Overijssel	20000tot50000inwoners	Weinigstedelijk	24931
Wijchen	Gelderland	20000tot50000inwoners	Matigstedelijk	41545
Wijdemeren	Noord-Holland	20000tot50000inwoners	Weinigstedelijk	24605
Wijk bij Duurstede	Utrecht	20000tot50000inwoners	Matigstedelijk	23945
Winterswijk	Gelderland	20000tot50000inwoners	Matigstedelijk	29231
Woensdrecht	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	22208
Woerden	Utrecht	50000tot100000inwoners	Matigstedelijk	53724
De Wolden	Drenthe	20000tot50000inwoners	Nietstedelijk	24580
Wormerland	Noord-Holland	10000tot20000inwoners	Matigstedelijk	16552
Woudenberg	Utrecht	10000tot20000inwoners	Matigstedelijk	14637
Zaanstad	Noord-Holland	150000tot250000inwoners	Sterkstedelijk	161389
Zaltbommel	Gelderland	20000tot50000inwoners	Weinigstedelijk	30385
Zandvoort	Noord-Holland	10000tot20000inwoners	Sterkstedelijk	17469
Zeewolde	Flevoland	20000tot50000inwoners	Weinigstedelijk	23899
Zeist	Utrecht	50000tot100000inwoners	Sterkstedelijk	66641
Zevenaar	Gelderland	20000tot50000inwoners	Matigstedelijk	45041
Zoetermeer	Zuid-Holland	100000tot150000inwoners	Zeersterkstedelijk	128434
Zoeterwoude	Zuid-Holland	5000tot10000inwoners	Weinigstedelijk	9732
Zuidplas	Zuid-Holland	20000tot50000inwoners	Matigstedelijk	47843
Zundert	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	22553
Zutphen	Gelderland	20000tot50000inwoners	Sterkstedelijk	48752
Zwartewaterland	Overijssel	20000tot50000inwoners	Weinigstedelijk	23448
Zwijndrecht	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	44874
Zwolle	Overijssel	100000tot150000inwoners	Sterkstedelijk	133141
